another_name,another_name_kana,post_id,prefecture_id
,,0000000,24
旭町,ｱｻﾋﾁｮｳ,5160045,24
朝熊町,ｱｻﾏﾁｮｳ,0000000,24
朝熊町池の浦,ｱｻﾏﾁｮｳｲｹﾉｳﾗ,5170081,24
朝熊町箕曲瀬,ｱｻﾏﾁｮｳﾐﾉｾ,5170081,24
有滝町,ｱﾘﾀｷﾁｮｳ,5150501,24
粟野町,ｱﾜﾉﾁｮｳ,5160054,24
磯町,ｲｿﾁｮｳ,5150504,24
一宇田町,ｲﾁｳﾀﾞﾁｮｳ,5160022,24
一志町,ｲﾁｼﾁｮｳ,5160075,24
一之木,ｲﾁﾉｷ,5160071,24
一色町,ｲｯｼｷﾁｮｳ,5160011,24
岩渕,ｲﾜﾌﾞﾁ,5160037,24
岩渕町,ｲﾜﾌﾞﾁﾁｮｳ,5160038,24
上地町,ｳｴｼﾞﾁｮｳ,5160051,24
上野町,ｳｴﾉﾁｮｳ,5161104,24
植山町,ｳｴﾔﾏﾁｮｳ,5150506,24
宇治今在家町,ｳｼﾞｲﾏｻﾞｲｹﾁｮｳ,5160024,24
宇治館町,ｳｼﾞﾀﾁﾁｮｳ,5160023,24
宇治中之切町,ｳｼﾞﾅｶﾉｷﾘﾁｮｳ,5160025,24
宇治浦田,ｳｼﾞｳﾗﾀ,5160026,24
浦口,ｳﾗｸﾞﾁ,5160062,24
浦口町,ｳﾗｸﾞﾁﾁｮｳ,5160063,24
円座町,ｴﾝｻﾞﾁｮｳ,5161108,24
大倉町,ｵｵｸﾗﾁｮｳ,5161101,24
大世古,ｵｵｾﾞｺ,5160079,24
大湊町,ｵｵﾐﾅﾄﾁｮｳ,5160001,24
岡本,ｵｶﾓﾄ,5160036,24
尾上町,ｵﾉｴﾁｮｳ,5160031,24
小俣町明野,ｵﾊﾞﾀﾁｮｳｱｹﾉ,5190501,24
小俣町新村,ｵﾊﾞﾀﾁｮｳｼﾑﾗ,5190507,24
小俣町相合,ｵﾊﾞﾀﾁｮｳｿｳｺﾞｳ,5190502,24
小俣町本町,ｵﾊﾞﾀﾁｮｳﾎﾝﾏﾁ,5190505,24
小俣町宮前,ｵﾊﾞﾀﾁｮｳﾐﾔﾏｴ,5190504,24
小俣町元町,ｵﾊﾞﾀﾁｮｳﾓﾄﾏﾁ,5190503,24
小俣町湯田,ｵﾊﾞﾀﾁｮｳﾕﾀ,5190506,24
柏町,ｶｼﾜﾁｮｳ,5150508,24
樫原町,ｶｼﾜﾗﾁｮｳ,5150503,24
鹿海町,ｶﾉﾐﾁｮｳ,5160013,24
神薗町,ｶﾐｿﾉﾁｮｳ,5161107,24
神社港,ｶﾐﾔｼﾛｺｳ,5160004,24
河崎,ｶﾜｻｷ,5160009,24
川端町,ｶﾜﾊﾞﾀﾁｮｳ,5160052,24
楠部町,ｸｽﾍﾞﾁｮｳ,5160014,24
久世戸町,ｸｾﾄﾞﾁｮｳ,5160015,24
黒瀬町,ｸﾛｾﾁｮｳ,5160018,24
小木町,ｺｳｷﾞﾁｮｳ,5160007,24
神田久志本町,ｺｳﾀﾞｸｼﾓﾄﾁｮｳ,5160016,24
桜木町,ｻｸﾗｷﾞﾁｮｳ,5160027,24
下野町,ｼﾓﾉﾁｮｳ,5160003,24
神久,ｼﾞﾝｷｭｳ,5160017,24
勢田町,ｾｲﾀﾁｮｳ,5160035,24
佐八町,ｿｳﾁﾁｮｳ,5161102,24
曽祢,ｿﾈ,5160078,24
竹ケ鼻町,ﾀｹｶﾞﾊﾅﾁｮｳ,5160005,24
田尻町,ﾀｼﾞﾘﾁｮｳ,5160006,24
辻久留,ﾂｼﾞｸﾙ,5160066,24
辻久留町,ﾂｼﾞｸﾙﾁｮｳ,5160046,24
津村町,ﾂﾑﾗﾁｮｳ,5161103,24
通町,ﾄｵﾘﾁｮｳ,5160012,24
常磐,ﾄｷﾜ,5160041,24
常磐町,ﾄｷﾜﾁｮｳ,5160047,24
豊川町,ﾄﾖｶﾜﾁｮｳ,5160042,24
中島,ﾅｶｼﾞﾏ,5160067,24
中須町,ﾅｶｽﾞﾁｮｳ,5160053,24
中之町,ﾅｶﾉﾁｮｳ,5160034,24
中村町,ﾅｶﾑﾗﾁｮｳ,5160028,24
西豊浜町,ﾆｼﾄﾖﾊﾏﾁｮｳ,5150505,24
野村町,ﾉﾑﾗﾁｮｳ,5150511,24
東大淀町,ﾋｶﾞｼｵｲｽﾞﾁｮｳ,5150509,24
東豊浜町,ﾋｶﾞｼﾄﾖﾊﾏﾁｮｳ,5150502,24
吹上,ﾌｷｱｹﾞ,5160073,24
藤里町,ﾌｼﾞｻﾄﾁｮｳ,5160043,24
二俣,ﾌﾀﾏﾀ,5160064,24
二俣町,ﾌﾀﾏﾀﾁｮｳ,5160065,24
二見町今一色,ﾌﾀﾐﾁｮｳｲﾏｲｼｷ,5190608,24
二見町江,ﾌﾀﾐﾁｮｳｴ,5190602,24
二見町荘,ﾌﾀﾐﾁｮｳｼｮｳ,5190606,24
二見町茶屋,ﾌﾀﾐﾁｮｳﾁｬﾔ,5190609,24
二見町西,ﾌﾀﾐﾁｮｳﾆｼ,5190607,24
二見町光の街,ﾌﾀﾐﾁｮｳﾋｶﾘﾉﾏﾁ,5190611,24
二見町松下,ﾌﾀﾐﾁｮｳﾏﾂｼﾀ,5190601,24
二見町溝口,ﾌﾀﾐﾁｮｳﾐｿﾞｸﾞﾁ,5190605,24
二見町三津,ﾌﾀﾐﾁｮｳﾐﾂ,5190603,24
二見町山田原,ﾌﾀﾐﾁｮｳﾔﾏﾀﾞﾊﾗ,5190604,24
船江,ﾌﾅｴ,5160008,24
古市町,ﾌﾙｲﾁﾁｮｳ,5160033,24
本町,ﾎﾝﾏﾁ,5160074,24
前山町,ﾏｴﾔﾏﾁｮｳ,5160044,24
馬瀬町,ﾏｾﾞﾁｮｳ,5160002,24
御薗町王中島,ﾐｿﾉﾁｮｳｵｳﾅｶｼﾞﾏ,5160803,24
御薗町小林,ﾐｿﾉﾁｮｳｵﾊﾔｼ,5160801,24
御薗町上條,ﾐｿﾉﾁｮｳｶﾐｼﾞｮｳ,0000000,24
御薗町上條三軒屋,ﾐｿﾉﾁｮｳｶﾐｼﾞｮｳｻﾝｹﾞﾝﾔ,5150521,24
御薗町新開,ﾐｿﾉﾁｮｳｼﾝｶﾞｲ,5160802,24
御薗町高向,ﾐｿﾉﾁｮｳﾀｶﾌﾞｸ,5160805,24
御薗町長屋,ﾐｿﾉﾁｮｳﾅｶﾞﾔ,5160804,24
宮川,ﾐﾔｶﾞﾜ,5160061,24
宮後,ﾐﾔｼﾞﾘ,5160072,24
宮町,ﾐﾔﾏﾁ,5160077,24
村松町,ﾑﾗﾏﾂﾁｮｳ,5150507,24
倭町,ﾔﾏﾄﾏﾁ,5160032,24
矢持町,ﾔﾓﾁﾁｮｳ,5161105,24
八日市場町,ﾖｳｶｲﾁﾊﾞﾁｮｳ,5160076,24
横輪町,ﾖｺﾜﾁｮｳ,5161106,24
