another_name,another_name_kana,post_id,prefecture_id
,,0000000,4
相野谷,ｱｲﾉﾔ,9860101,4
茜平,ｱｶﾈﾀﾞｲﾗ,9860866,4
あけぼの,ｱｹﾎﾞﾉ,9860862,4
あけぼの北,ｱｹﾎﾞﾉｷﾀ,9860869,4
旭町,ｱｻﾋﾁｮｳ,9860828,4
網地浜,ｱｼﾞﾊﾏ,9862526,4
鮎川大町,ｱﾕｶﾜｵｵﾏﾁ,9862522,4
鮎川浜,ｱﾕｶﾜﾊﾏ,9862523,4
鮎川浜丁,ｱﾕｶﾜﾊﾏﾁｮｳ,9862524,4
あゆみ野,ｱﾕﾐﾉ,9860850,4
飯野,ｲｲﾉ,9860131,4
泉町,ｲｽﾞﾐﾁｮｳ,9860832,4
伊勢町,ｲｾﾁｮｳ,9862123,4
鋳銭場,ｲｾﾝﾊﾞ,9860826,4
井内,ｲﾅｲ,9860003,4
伊原津,ｲﾊﾞﾗﾂ,9860041,4
宇田川町,ｳﾀﾞｶﾞﾜﾁｮｳ,9862113,4
浦屋敷南,ｳﾗﾔｼｷﾐﾅﾐ,9860882,4
駅前北通り,ｴｷﾏｴｷﾀﾄﾞｵﾘ,9860813,4
大瓜,ｵｳﾘ,9860005,4
大街道北,ｵｵｶｲﾄﾞｳｷﾀ,9860854,4
大街道西,ｵｵｶｲﾄﾞｳﾆｼ,9860859,4
大街道東,ｵｵｶｲﾄﾞｳﾋｶﾞｼ,9860855,4
大街道南,ｵｵｶｲﾄﾞｳﾐﾅﾐ,9860856,4
大手町,ｵｵﾃﾏﾁ,9860838,4
大橋,ｵｵﾊｼ,9860805,4
大原浜,ｵｵﾊﾗﾊﾏ,9862412,4
大宮町,ｵｵﾐﾔﾁｮｳ,9862132,4
大森,ｵｵﾓﾘ,9860121,4
大谷川浜,ｵｵﾔｶﾞﾜﾊﾏ,9862405,4
雄勝町伊勢畑,ｵｶﾞﾂﾁｮｳｲｾﾊﾀ,9861334,4
雄勝町大須,ｵｶﾞﾂﾁｮｳｵｵｽ,9861311,4
雄勝町大浜,ｵｶﾞﾂﾁｮｳｵｵﾊﾏ,9861302,4
雄勝町雄勝,ｵｶﾞﾂﾁｮｳｵｶﾞﾂ,9861333,4
雄勝町小島,ｵｶﾞﾂﾁｮｳｵｼﾞﾏ,9861332,4
