another_name,another_name_kana,post_id,prefecture_id
,,0000000,12
粟又,ｱﾜﾏﾀ,2980277,12
石神,ｲｼｶﾞﾐ,2980256,12
板谷,ｲﾀﾔ,2980261,12
市川,ｲﾁｶﾜ,2980272,12
伊保田,ｲﾎﾀ,2980263,12
上原,ｳｴﾊﾞﾗ,2980223,12
上原西部田柳原入会,ｳｴﾊﾞﾗﾆｼﾍﾞﾀﾔﾅﾊﾞﾗｲﾘｱｲ,2980205,12
宇筒原,ｳﾄｳﾊﾞﾗ,2980235,12
大多喜,ｵｵﾀｷ,2980216,12
大田代,ｵｵﾀﾀﾞｲ,2980264,12
大戸,ｵｵﾄ,2980225,12
押沼,ｵｼﾇﾏ,2980234,12
小土呂,ｵﾄﾞﾛ,2980201,12
面白,ｵﾓｼﾞﾛ,2980279,12
会所,ｶｲｼｮ,2980276,12
紙敷,ｶﾐｼｷ,2980241,12
川畑,ｶﾜﾊﾀ,2980253,12
久我原,ｸｶﾞﾊﾗ,2980251,12
葛藤,ｸｽﾞﾌｼﾞ,2980267,12
久保,ｸﾎﾞ,2980215,12
黒原,ｸﾛﾊﾗ,2980255,12
小内,ｺｳﾁ,2980232,12
小内笛倉入会,ｺｳﾁﾌｴｸﾞﾗｲﾘｱｲ,2980238,12
紺屋,ｺｳﾔ,2980211,12
小沢又,ｺｻﾞﾜﾏﾀ,2980278,12
小田代,ｺﾀﾀﾞｲ,2980265,12
小苗,ｺﾐｮｳ,2980242,12
小谷松,ｺﾔﾏﾂ,2980228,12
桜台,ｻｸﾗﾀﾞｲ,2980213,12
猿稲,ｻﾙｲﾈ,2980212,12
三条,ｻﾝｼﾞｮｳ,2980273,12
下大多喜,ｼﾓｵｵﾀｷ,2980202,12
庄司,ｼｮｳｼﾞ,2980246,12
新丁,ｼﾝﾏﾁ,2980214,12
泉水,ｾﾝｽﾞｲ,2980207,12
田代,ﾀｼﾛ,2980274,12
田丁,ﾀﾏﾁ,2980217,12
筒森,ﾂﾂﾓﾘ,2980266,12
中野,ﾅｶﾉ,2980271,12
西部田,ﾆｼﾍﾞﾀ,2980227,12
馬場内,ﾊﾞﾊﾞｳﾁ,2980231,12
原内,ﾊﾗｳﾁ,2980237,12
平沢,ﾋﾗｻﾜ,2980254,12
笛倉,ﾌｴｸﾞﾗ,2980233,12
船子,ﾌﾅｺ,2980204,12
部田,ﾍﾀ,2980226,12
堀切,ﾎﾘｷﾘ,2980262,12
堀之内,ﾎﾘﾉｳﾁ,2980224,12
松尾,ﾏﾂｵ,2980244,12
三又,ﾐﾏﾀ,2980252,12
百鉾,ﾓﾌｸ,2980236,12
森宮,ﾓﾘﾐﾔ,2980203,12
弥喜用,ﾔｷﾖｳ,2980245,12
八声,ﾔｺｴ,2980222,12
柳原,ﾔﾅﾊﾞﾗ,2980221,12
湯倉,ﾕｸﾞﾗ,2980243,12
弓木,ﾕﾐｷﾞ,2980275,12
横山,ﾖｺﾔﾏ,2980206,12
