another_name,another_name_kana,post_id,prefecture_id
,,0000000,36
奥野,ｵｸﾉ,0000000,36
奥野猪熊,ｵｸﾉｲﾉｸﾏ,7711202,36
奥野東中須,ｵｸﾉﾋｶﾞｼﾅｶｽﾞ,7711202,36
奥野前川,ｵｸﾉﾏｴｶﾞﾜ,7711202,36
奥野矢上前,ｵｸﾉﾔｶﾐﾏｴ,7711203,36
奥野和田,ｵｸﾉﾜﾀﾞ,7711202,36
乙瀬,ｵﾄｾﾞ,7711240,36
笠木,ｶｻｷﾞ,0000000,36
笠木中野,ｶｻｷﾞﾅｶﾉ,7711262,36
笠木東野,ｶｻｷﾞﾋｶﾞｼﾉ,7711261,36
笠木西野,ｶｻｷﾞﾆｼﾉ,7711262,36
勝瑞,ｼｮｳｽﾞｲ,0000000,36
勝瑞幸島,ｼｮｳｽﾞｲｺｳｼﾞﾏ,7711271,36
勝瑞正喜地,ｼｮｳｽﾞｲｼｮｳｷﾁ,7711273,36
勝瑞成長,ｼｮｳｽﾞｲｾｲﾁｮｳ,7711272,36
勝瑞東勝地,ｼｮｳｽﾞｲﾋｶﾞｼｶﾂﾁ,7711273,36
住吉,ｽﾐﾖｼ,0000000,36
住吉乾,ｽﾐﾖｼｲﾇｲ,7711267,36
住吉江端,ｽﾐﾖｼｴﾊﾞﾀ,7711267,36
住吉逆藤,ｽﾐﾖｼｻｶﾌｼﾞ,7711265,36
住吉神蔵,ｽﾐﾖｼｼﾞﾝｿﾞｳ,7711265,36
住吉千鳥ケ浜,ｽﾐﾖｼﾁﾄﾞﾘｶﾞﾊﾏ,7711265,36
住吉藤ノ木,ｽﾐﾖｼﾌｼﾞﾉｷ,7711266,36
住吉若宮,ｽﾐﾖｼﾜｶﾐﾔ,7711266,36
徳命,ﾄｸﾒｲ,0000000,36
徳命前須東,ﾄｸﾒｲﾏｴｽﾞﾋｶﾞｼ,7711212,36
徳命前須西,ﾄｸﾒｲﾏｴｽﾞﾆｼ,7711212,36
徳命元村,ﾄｸﾒｲﾓﾄﾑﾗ,7711211,36
徳命元村東,ﾄｸﾒｲﾓﾄﾑﾗﾋｶﾞｼ,7711211,36
富吉,ﾄﾐﾖｼ,0000000,36
富吉地神,ﾄﾐﾖｼｼﾞｶﾞﾐ,7711232,36
富吉須崎,ﾄﾐﾖｼｽｻﾞｷ,7711231,36
富吉豊吉,ﾄﾐﾖｼﾄﾖﾖｼ,7711231,36
富吉穂実,ﾄﾐﾖｼﾎｳﾐ,7711232,36
東中富,ﾋｶﾞｼﾅｶﾄﾐ,0000000,36
東中富大塚傍示,ﾋｶﾞｼﾅｶﾄﾐｵｵﾂｶﾎｳｼﾞ,7711224,36
東中富北傍示,ﾋｶﾞｼﾅｶﾄﾐｷﾀﾎｳｼﾞ,7711222,36
東中富慶長,ﾋｶﾞｼﾅｶﾄﾐｹｲﾁｮｳ,7711224,36
東中富敷地傍示,ﾋｶﾞｼﾅｶﾄﾐｼｷｼﾞﾎｳｼﾞ,7711223,36
東中富貞享,ﾋｶﾞｼﾅｶﾄﾐﾃｲｷｮｳ,7711224,36
東中富天王傍示,ﾋｶﾞｼﾅｶﾄﾐﾃﾝﾉｳﾎｳｼﾞ,7711223,36
東中富長江傍示,ﾋｶﾞｼﾅｶﾄﾐﾅｶﾞｴﾎｳｼﾞ,7711221,36
東中富東安永,ﾋｶﾞｼﾅｶﾄﾐﾋｶﾞｼｱﾝｴｲ,7711224,36
東中富西安永,ﾋｶﾞｼﾅｶﾄﾐﾆｼｱﾝｴｲ,7711224,36
東中富鑓場傍示,ﾋｶﾞｼﾅｶﾄﾐﾔﾘﾊﾞﾎｳｼﾞ,7711224,36
矢上,ﾔｶﾐ,0000000,36
矢上江ノ口,ﾔｶﾐｴﾉｸﾁ,7711253,36
矢上春日,ﾔｶﾐｶｽｶﾞ,7711252,36
矢上北分,ﾔｶﾐｷﾀﾌﾞﾝ,7711252,36
矢上西,ﾔｶﾐﾆｼ,7711251,36
矢上原,ﾔｶﾐﾊﾗ,7711251,36
矢上安任,ﾔｶﾐﾔｽﾄｳ,7711253,36
