another_name,another_name_kana,post_id,prefecture_id
,,0000000,40
有田,ｱﾘﾀ,8191132,40
有田中央,ｱﾘﾀﾁｭｳｵｳ,8191127,40
飯原,ｲｲﾊﾞﾙ,8191152,40
池田,ｲｹﾀﾞ,8191103,40
井田,ｲﾀ,8191562,40
板持,ｲﾀﾓﾁ,8191101,40
伊都の杜,ｲﾄﾉﾓﾘ,8191130,40
岩本,ｲﾜﾓﾄ,8191126,40
井原,ｲﾜﾗ,8191582,40
浦志,ｳﾗｼ,8191112,40
潤,ｳﾙｳ,8191105,40
王丸,ｵｳﾏﾙ,8191573,40
大浦,ｵｵｳﾗ,8191135,40
荻浦,ｵｷﾞﾉｳﾗ,8191121,40
加布里,ｶﾌﾘ,8191124,40
神在,ｶﾐｱﾘ,8191123,40
神在西,ｶﾐｱﾘﾆｼ,8191148,40
神在東,ｶﾐｱﾘﾋｶﾞｼ,8191120,40
川付,ｶﾜﾂｷ,8191155,40
川原,ｶﾜﾊﾞﾙ,8191574,40
蔵持,ｸﾗﾓﾁ,8191141,40
高来寺,ｺｳﾗｲｼﾞ,8191563,40
香力,ｺｳﾘｷ,8191147,40
志登,ｼﾄ,8191106,40
篠原,ｼﾉﾜﾗ,8191131,40
篠原西,ｼﾉﾜﾗﾆｼ,8191129,40
篠原東,ｼﾉﾜﾗﾋｶﾞｼ,8191128,40
志摩井田原,ｼﾏｲﾀﾞﾊﾗ,8191301,40
志摩稲留,ｼﾏｲﾅﾄﾞﾒ,8191313,40
志摩稲葉,ｼﾏｲﾅﾊﾞ,8191315,40
志摩岐志,ｼﾏｷｼ,8191334,40
志摩久家,ｼﾏｸｶﾞ,8191331,40
志摩芥屋,ｼﾏｹﾔ,8191335,40
志摩小金丸,ｼﾏｺｶﾞﾈﾏﾙ,8191323,40
志摩小富士,ｼﾏｺﾌｼﾞ,8191321,40
志摩桜井,ｼﾏｻｸﾗｲ,8191304,40
志摩新町,ｼﾏｼﾝﾏﾁ,8191333,40
志摩津和崎,ｼﾏﾂﾜｻﾞｷ,8191311,40
志摩西貝塚,ｼﾏﾆｼｶｲﾂﾞｶ,8191325,40
志摩野北,ｼﾏﾉｷﾞﾀ,8191303,40
志摩初,ｼﾏﾊﾂ,8191312,40
志摩馬場,ｼﾏﾊﾞﾊﾞ,8191305,40
志摩東貝塚,ｼﾏﾋｶﾞｼｶｲﾂﾞｶ,8191324,40
志摩姫島,ｼﾏﾋﾒｼﾏ,8191336,40
志摩船越,ｼﾏﾌﾅｺｼ,8191332,40
志摩松隈,ｼﾏﾏﾂｸﾞﾏ,8191306,40
志摩御床,ｼﾏﾐﾄｺ,8191322,40
志摩師吉,ｼﾏﾓﾛﾖｼ,8191314,40
志摩吉田,ｼﾏﾖｼﾀﾞ,8191302,40
白糸,ｼﾗｲﾄ,8191154,40
新田,ｼﾝﾃﾞﾝ,8191114,40
瑞梅寺,ｽﾞｲﾊﾞｲｼﾞ,8191581,40
末永,ｽｴﾅｶﾞ,8191572,40
瀬戸,ｾﾄ,8191156,40
曽根,ｿﾈ,8191561,40
大門,ﾀﾞｲﾓﾝ,8191564,40
高上,ﾀｶｳｴ,8191143,40
高祖,ﾀｶｽ,8191571,40
高田,ﾀｶﾀ,8191102,40
多久,ﾀｸ,8191134,40
千早新田,ﾁﾊﾔｼﾝﾃﾞﾝ,8191125,40
千早新田西,ﾁﾊﾔｼﾝﾃﾞﾝﾆｼ,8191149,40
