another_name,another_name_kana,post_id,prefecture_id
,,0000000,7
東田町,ｱｽﾞﾏﾀﾞﾏﾁ,9748212,7
石塚町,ｲｼﾂﾞｶﾏﾁ,9748213,7
石森,ｲｼﾓﾘ,9708017,7
泉玉露,ｲｽﾞﾐﾀﾏﾂﾕ,9718172,7
泉もえぎ台,ｲｽﾞﾐﾓｴｷﾞﾀﾞｲ,9718188,7
泉ケ丘,ｲｽﾞﾐｶﾞｵｶ,9718171,7
泉町,ｲｽﾞﾐﾏﾁ,9718185,7
泉町黒須野,ｲｽﾞﾐﾏﾁｸﾛｽﾉ,9718184,7
泉町下川,ｲｽﾞﾐﾏﾁｼﾓｶﾞﾜ,9718183,7
泉町滝尻,ｲｽﾞﾐﾏﾁﾀｷｼﾞﾘ,9718182,7
泉町玉露,ｲｽﾞﾐﾏﾁﾀﾏﾂﾕ,9718186,7
泉町本谷,ｲｽﾞﾐﾏﾁﾎﾝﾔ,9718181,7
岩間町,ｲﾜﾏﾏﾁ,9748222,7
植田町,ｳｴﾀﾞﾏﾁ,9748261,7
後田町,ｳｼﾛﾀﾞﾏﾁ,9748203,7
薄磯,ｳｽｲｿ,9700229,7
内郷内町,ｳﾁｺﾞｳｳﾁﾏﾁ,9738404,7
内郷小島町,ｳﾁｺﾞｳｵｼﾞﾏﾏﾁ,9738401,7
内郷高野町,ｳﾁｺﾞｳｺｳﾔﾏﾁ,9738406,7
内郷白水町,ｳﾁｺﾞｳｼﾗﾐｽﾞﾏﾁ,9738405,7
内郷高坂町,ｳﾁｺﾞｳﾀｶｻｶﾏﾁ,9738408,7
内郷綴町,ｳﾁｺﾞｳﾂﾂﾞﾗﾏﾁ,9738403,7
内郷御台境町,ｳﾁｺﾞｳﾐﾀﾞｲｻｶｲﾏﾁ,9738409,7
内郷御厩町,ｳﾁｺﾞｳﾐﾏﾔﾏﾁ,9738402,7
内郷宮町,ｳﾁｺﾞｳﾐﾔﾏﾁ,9738407,7
江名,ｴﾅ,9700311,7
江畑町,ｴﾊﾞﾀﾏﾁ,9748201,7
大久町大久,ｵｵﾋｻﾏﾁｵｵﾋｻ,9790338,7
大久町小山田,ｵｵﾋｻﾏﾁｵﾔﾏﾀﾞ,9790336,7
大久町小久,ｵｵﾋｻﾏﾁｺﾋｻ,9790337,7
小川町上平,ｵｶﾞﾜﾏﾁｳﾜﾀﾞｲﾗ,9793112,7
小川町上小川,ｵｶﾞﾜﾏﾁｶﾐｵｶﾞﾜ,9793124,7
小川町下小川,ｵｶﾞﾜﾏﾁｼﾓｵｶﾞﾜ,9793115,7
小川町塩田,ｵｶﾞﾜﾏﾁｼｵﾀﾞ,9793123,7
小川町柴原,ｵｶﾞﾜﾏﾁｼﾊﾞﾊﾗ,9793111,7
小川町関場,ｵｶﾞﾜﾏﾁｾｷﾊﾞ,9793114,7
小川町高萩,ｵｶﾞﾜﾏﾁﾀｶﾊｷﾞ,9793122,7
小川町西小川,ｵｶﾞﾜﾏﾁﾆｼｵｶﾞﾜ,9793121,7
小川町福岡,ｵｶﾞﾜﾏﾁﾌｸｵｶ,9793125,7
小川町三島,ｵｶﾞﾜﾏﾁﾐｼﾏ,9793113,7
小島町,ｵｼﾞﾏﾏﾁ,9738411,7
小名浜,ｵﾅﾊﾏ,9718101,7
小名浜相子島,ｵﾅﾊﾏｱｲｺｼﾏ,9718123,7
