another_name,another_name_kana,post_id,prefecture_id
,,0000000,7
旭町,ｱｻﾋﾏﾁ,9690404,7
池の台,ｲｹﾉﾀﾞｲ,9690402,7
池ノ原,ｲｹﾉﾊﾗ,9690401,7
大池,ｵｵｲｹ,9690401,7
大宮,ｵｵﾐﾔ,9690402,7
大山,ｵｵﾔﾏ,9690404,7
岡ノ内,ｵｶﾉｳﾁ,9690401,7
岡の台,ｵｶﾉﾀﾞｲ,9690404,7
鏡田かげ沼町,ｶｶﾞﾐﾀﾞｶｹﾞﾇﾏﾏﾁ,9690401,7
鏡沼,ｶｶﾞﾐﾇﾏ,9690401,7
笠石,ｶｻｲｼ,9690404,7
笠石原町,ｶｻｲｼﾊﾗﾏﾁ,9690404,7
鹿島,ｶｼﾏ,9690401,7
蒲之沢町,ｶﾊﾞﾉｻﾜﾏﾁ,9690401,7
借宿,ｶﾘﾔﾄﾞ,9690403,7
川崎町,ｶﾜｻｷﾏﾁ,9690401,7
河原,ｶﾜﾗ,9690402,7
北町,ｷﾀﾏﾁ,9690402,7
久来石,ｷｭｳﾗｲｼ,9690403,7
久来石南,ｷｭｳﾗｲｼﾐﾅﾐ,9690403,7
小栗山,ｺｸﾞﾘﾔﾏ,9690403,7
五斗蒔町,ｺﾞﾄﾏｷﾏﾁ,9690401,7
境,ｻｶｲ,9690401,7
桜岡,ｻｸﾗｵｶ,9690403,7
桜町,ｻｸﾗﾏﾁ,9690401,7
城ノ内,ｼﾞｮｳﾉｳﾁ,9690403,7
新町,ｼﾝﾏﾁ,9690402,7
諏訪町,ｽﾜﾏﾁ,9690402,7
高久田,ﾀｶｸﾀﾞ,9690401,7
中央,ﾁｭｳｵｳ,9690404,7
堂前,ﾄﾞｳﾏｴ,9690403,7
豊郷,ﾄﾖｻﾄ,9690404,7
豊郷中,ﾄﾖｻﾄﾅｶ,9690404,7
豊田,ﾄﾖﾀﾞ,9690401,7
中町,ﾅｶﾏﾁ,9690404,7
成田,ﾅﾘﾀ,9690402,7
成田原町,ﾅﾘﾀﾊﾗﾏﾁ,9690402,7
成田東,ﾅﾘﾀﾋｶﾞｼ,9690402,7
仁井田,ﾆｲﾀﾞ,9690401,7
羽鳥,ﾊﾄﾘ,9690404,7
東鹿島,ﾋｶﾞｼｶｼﾏ,9690401,7
東河原,ﾋｶﾞｼｶﾜﾗ,9690402,7
東町,ﾋｶﾞｼﾏﾁ,9690404,7
深内町,ﾌｺｳﾁﾏﾁ,9690401,7
不時沼,ﾌｼﾞﾇﾏ,9690401,7
堀米,ﾎﾘｺﾞﾒ,9690404,7
前山,ﾏｴﾔﾏ,9690401,7
緑町,ﾐﾄﾞﾘﾏﾁ,9690404,7
南高久田,ﾐﾅﾐﾀｶｸﾀﾞ,9690401,7
南町,ﾐﾅﾐﾏﾁ,9690404,7
本町,ﾓﾄﾏﾁ,9690401,7
