another_name,another_name_kana,post_id,prefecture_id
,,0000000,30
相谷,ｱｲﾀﾞﾆ,6496257,30
赤垣内,ｱｶｶﾞｲﾄ,6496242,30
尼ケ辻,ｱﾏｶﾞﾂｼﾞ,6496207,30
安上,ｱﾝｼﾞｮｳ,6496252,30
荊本,ｲﾊﾞﾗﾓﾄ,6496232,30
今中,ｲﾏﾅｶ,6496204,30
今畑,ｲﾏﾊﾀ,6496208,30
大町,ｵｵﾏﾁ,6496228,30
岡田,ｵｶﾀﾞ,6496222,30
押川,ｵｼｶﾞﾜ,6496201,30
金池,ｶﾅｲｹ,6496256,30
金屋,ｶﾅﾔ,6496243,30
川尻,ｶﾜｼﾘ,6496231,30
紀泉台,ｷｾﾝﾀﾞｲ,6496253,30
北大池,ｷﾀｵｲｹ,6496219,30
境谷,ｻｶｲﾀﾞﾆ,6496251,30
桜台,ｻｸﾗﾀﾞｲ,6496203,30
清水,ｼﾐｽﾞ,6496227,30
新田広芝,ｼﾝﾃﾞﾝﾋﾛｼﾊﾞ,6496212,30
曽屋,ｿｳﾔ,6496236,30
高瀬,ﾀｶｾ,6496234,30
高塚,ﾀｶﾂｶ,6496223,30
中黒,ﾅｶｸﾛ,6496248,30
中島,ﾅｶｼﾞﾏ,6496245,30
中迫,ﾅｶﾌﾞｻ,6496215,30
西安上,ﾆｼｱﾝｼﾞｮｳ,6496255,30
西国分,ﾆｼｺｸﾌﾞ,6496213,30
西野,ﾆｼﾉ,6496235,30
根来,ﾈｺﾞﾛ,6496202,30
野上野,ﾉｼﾞｮﾉ,6496216,30
畑毛,ﾊﾀｹ,6496244,30
波分,ﾊﾌﾞ,6496241,30
原,ﾊﾗ,6496254,30
東坂本,ﾋｶﾞｼｻｶﾓﾄ,6496211,30
備前,ﾋﾞｾﾞﾝ,6496233,30
船戸,ﾌﾅﾄ,6496225,30
堀口,ﾎﾘｸﾞﾁ,6496206,30
水栖,ﾐｽﾞｽ,6496214,30
溝川,ﾐｿﾞｶﾜ,6496221,30
南大池,ﾐﾅﾐｵｲｹ,6496218,30
宮,ﾐﾔ,6496226,30
森,ﾓﾘ,6496205,30
山,ﾔﾏ,6496258,30
山崎,ﾔﾏｻｷ,6496224,30
山田,ﾔﾏﾀﾞ,6496217,30
湯窪,ﾕｸﾎﾞ,6496248,30
吉田,ﾖｼﾀﾞ,6496246,30
