another_name,another_name_kana,post_id,prefecture_id
,,0000000,38
市場,ｲﾁﾊﾞ,7993122,38
稲荷,ｲﾅﾘ,7993121,38
上野,ｳｴﾉ,7993103,38
鵜崎,ｳﾉｻｷ,7993136,38
大平,ｵｵﾋﾗ,7993131,38
尾崎,ｵｻｷ,7993127,38
上吾川,ｶﾐｱｶﾞﾜ,7993112,38
上唐川,ｶﾐｶﾗｶﾜ,7993134,38
上三谷,ｶﾐﾐﾀﾆ,7993104,38
米湊,ｺﾐﾅﾄ,7993113,38
下吾川,ｼﾓｱｶﾞﾜ,7993111,38
下唐川,ｼﾓｶﾗｶﾜ,7993133,38
下三谷,ｼﾓﾐﾀﾆ,7993105,38
中村,ﾅｶﾑﾗ,7993123,38
中山町出渕,ﾅｶﾔﾏﾁｮｳｲｽﾞﾌﾞﾁ,0000000,38
中山町栗田,ﾅｶﾔﾏﾁｮｳｸﾘﾀﾞ,7913202,38
中山町佐礼谷,ﾅｶﾔﾏﾁｮｳｻﾚﾀﾆ,7913201,38
中山町中山,ﾅｶﾔﾏﾁｮｳﾅｶﾔﾏ,0000000,38
中山町中山泉町,ﾅｶﾔﾏﾁｮｳﾅｶﾔﾏｲｽﾞﾐﾏﾁ,7913205,38
灘町,ﾅﾀﾞﾏﾁ,7993114,38
平岡,ﾋﾗｵｶ,7993132,38
双海町大久保,ﾌﾀﾐﾁｮｳｵｵｸﾎﾞ,7993311,38
双海町上灘,ﾌﾀﾐﾁｮｳｶﾐﾅﾀﾞ,7993202,38
双海町串,ﾌﾀﾐﾁｮｳｸｼ,0000000,38
双海町串上浜,ﾌﾀﾐﾁｮｳｸｼｶﾐﾊﾏ,7993313,38
双海町串下浜,ﾌﾀﾐﾁｮｳｸｼｼﾓﾊﾏ,7993314,38
双海町高野川,ﾌﾀﾐﾁｮｳｺｳﾉｶﾜ,7993201,38
双海町高岸,ﾌﾀﾐﾁｮｳﾀｶｷﾞｼ,7993207,38
本郡,ﾎﾝｸﾞ,7993126,38
三秋,ﾐｱｷ,7993124,38
三島町,ﾐｼﾏﾏﾁ,7993128,38
湊町,ﾐﾅﾄﾏﾁ,7993115,38
宮下,ﾐﾔｼﾀ,7993102,38
森,ﾓﾘ,7993125,38
八倉,ﾔｸﾗ,7993101,38
両沢,ﾘｮｳｻﾞﾜ,7993135,38
