another_name,another_name_kana,post_id,prefecture_id
,,0000000,27
青葉町,ｱｵﾊﾞﾁｮｳ,5950053,27
旭町,ｱｻﾋﾁｮｳ,5950025,27
穴田,ｱﾅﾀﾞ,5950032,27
我孫子,ｱﾋﾞｺ,5950031,27
綾井,ｱﾔｲ,5950001,27
池浦,ｲｹｳﾗ,5950022,27
池浦町,ｲｹｳﾗﾁｮｳ,5950024,27
池園町,ｲｹｿﾞﾉﾁｮｳ,5950017,27
板原,ｲﾀﾊﾗ,5950033,27
板原町,ｲﾀﾊﾗﾁｮｳ,5950033,27
上之町,ｳｴﾉﾁｮｳ,5950046,27
宇多,ｳﾀﾞ,5950034,27
戎町,ｴﾋﾞｽﾁｮｳ,5950041,27
尾井千原町,ｵｲﾁﾊﾗﾁｮｳ,5950003,27
小津島町,ｵﾂﾞｼﾏﾁｮｳ,5950074,27
春日町,ｶｽｶﾞﾁｮｳ,5950061,27
要池住宅,ｶﾅﾒｲｹｼﾞｭｳﾀｸ,5950028,27
河原町,ｶﾜﾊﾗﾁｮｳ,5950044,27
北豊中町,ｷﾀﾄﾖﾅｶﾁｮｳ,5950012,27
楠町西,ｸｽﾉｷﾁｮｳﾆｼ,5950038,27
楠町東,ｸｽﾉｷﾁｮｳﾋｶﾞｼ,5950039,27
下条町,ｹﾞｼﾞｮｳﾁｮｳ,5950027,27
寿町,ｺﾄﾌﾞｷﾁｮｳ,5950014,27
小松町,ｺﾏﾂﾁｮｳ,5950067,27
汐見町,ｼｵﾐﾁｮｳ,5950054,27
式内町,ｼｷﾅｲﾁｮｳ,5950035,27
下之町,ｼﾀﾉﾁｮｳ,5950045,27
東雲町,ｼﾉﾉﾒﾁｮｳ,5950026,27
清水町,ｼﾐｽﾞﾁｮｳ,5950043,27
条南町,ｼﾞｮｳﾅﾝﾁｮｳ,5950016,27
昭和町,ｼｮｳﾜﾁｮｳ,5950036,27
新港町,ｼﾝﾐﾅﾄﾁｮｳ,5950073,27
神明町,ｼﾝﾒｲﾁｮｳ,5950064,27
末広町,ｽｴﾋﾛﾁｮｳ,5950002,27
菅原町,ｽｶﾞﾊﾗﾁｮｳ,5950066,27
助松町,ｽｹﾏﾂﾁｮｳ,5950071,27
助松団地,ｽｹﾏﾂﾀﾞﾝﾁ,5950007,27
曽根町,ｿﾈﾁｮｳ,5950011,27
高津町,ﾀｶﾂﾁｮｳ,5950042,27
田中町,ﾀﾅｶﾁｮｳ,5950062,27
千原町,ﾁﾊﾗﾁｮｳ,5950004,27
豊中町,ﾄﾖﾅｶﾁｮｳ,5950023,27
なぎさ町,ﾅｷﾞｻﾁｮｳ,5950055,27
西港町,ﾆｼﾐﾅﾄﾁｮｳ,5950052,27
東助松町,ﾋｶﾞｼｽｹﾏﾂﾁｮｳ,5950006,27
東豊中町,ﾋｶﾞｼﾄﾖﾅｶﾁｮｳ,5950021,27
東港町,ﾋｶﾞｼﾐﾅﾄﾁｮｳ,5950051,27
二田町,ﾌﾂﾀﾁｮｳ,5950015,27
本町,ﾎﾝﾏﾁ,5950063,27
松之浜町,ﾏﾂﾉﾊﾏﾁｮｳ,5950072,27
南曾根,ﾐﾅﾐｿﾈ,5950011,27
宮町,ﾐﾔﾁｮｳ,5950013,27
虫取,ﾑｼﾄﾘ,5950037,27
虫取町,ﾑｼﾄﾘﾁｮｳ,5950037,27
森町,ﾓﾘﾁｮｳ,5950005,27
夕凪町,ﾕｳﾅｷﾞﾁｮｳ,5950056,27
臨海町,ﾘﾝｶｲﾁｮｳ,5950075,27
若宮町,ﾜｶﾐﾔﾁｮｳ,5950065,27
