another_name,another_name_kana,post_id,prefecture_id
,,0000000,27
青葉台,ｱｵﾊﾞﾀﾞｲ,5941153,27
芦部町,ｱｼﾍﾞﾁｮｳ,5940053,27
あゆみ野,ｱﾕﾐﾉ,5941157,27
池上町,ｲｹｶﾞﾐﾁｮｳ,5940083,27
池田下町,ｲｹﾀﾞｼﾓﾁｮｳ,5940032,27
一条院町,ｲﾁｼﾞｮｳｲﾝﾁｮｳ,5940054,27
井ノ口町,ｲﾉｸﾁﾁｮｳ,5940072,27
いぶき野,ｲﾌﾞｷﾉ,5940041,27
今福町,ｲﾏﾌｸﾁｮｳ,5940063,27
上代町,ｳｴﾀﾞｲﾁｮｳ,5940011,27
内田町,ｳﾁﾀﾞﾁｮｳ,5941156,27
浦田町,ｳﾗﾀﾞﾁｮｳ,5941103,27
王子町,ｵｳｼﾞﾁｮｳ,5940004,27
大野町,ｵｵﾉﾁｮｳ,5941134,27
岡町,ｵｶﾁｮｳ,5941128,27
小田町,ｵﾀﾞﾁｮｳ,5940074,27
尾井町,ｵﾉｲﾁｮｳ,5940006,27
小野田町,ｵﾉﾀﾞﾁｮｳ,5941127,27
小野町,ｵﾉﾁｮｳ,5940012,27
鍛治屋町,ｶｼﾞﾔﾁｮｳ,5941117,27
上町,ｶﾐﾁｮｳ,5940002,27
唐国町,ｶﾗｸﾆﾁｮｳ,5941151,27
観音寺町,ｶﾝﾉﾝｼﾞﾁｮｳ,5940065,27
北田中町,ｷﾀﾀﾞﾅｶﾁｮｳ,5941122,27
九鬼町,ｸｷﾁｮｳ,5941126,27
葛の葉町,ｸｽﾞﾉﾊﾁｮｳ,5940081,27
黒石町,ｸﾛｲｼﾁｮｳ,5941113,27
黒鳥町,ｸﾛﾄﾞﾘﾁｮｳ,5940022,27
桑原町,ｸﾜﾊﾞﾗﾁｮｳ,5940066,27
光明台,ｺｳﾐｮｳﾀﾞｲ,5941111,27
国分町,ｺｸﾌﾞﾁｮｳ,5941114,27
幸,ｻｲﾜｲ,5940005,27
阪本町,ｻｶﾓﾄﾁｮｳ,5940052,27
山荘町,ｻﾝｿｳﾁｮｳ,5940021,27
下宮町,ｼﾓﾉﾐﾔﾁｮｳ,5941121,27
善正町,ｾﾞﾝｼｮｳﾁｮｳ,5941125,27
太町,ﾀｲﾁｮｳ,5940003,27
父鬼町,ﾁﾁｵﾆﾁｮｳ,5941132,27
坪井町,ﾂﾎﾞｲﾁｮｳ,5941135,27
鶴山台,ﾂﾙﾔﾏﾀﾞｲ,5940013,27
テクノステージ,ﾃｸﾉｽﾃｰｼﾞ,5941144,27
寺門町,ﾃﾗｶﾄﾞﾁｮｳ,5940064,27
寺田町,ﾃﾗﾀﾞﾁｮｳ,5940062,27
富秋町,ﾄﾐｱｷﾁｮｳ,5940082,27
南面利町,ﾅﾒﾘﾁｮｳ,5941124,27
納花町,ﾉｳｹﾁｮｳ,5941116,27
のぞみ野,ﾉｿﾞﾐﾉ,5941105,27
伯太町,ﾊｶﾀﾁｮｳ,5940023,27
はつが野,ﾊﾂｶﾞﾉ,5941106,27
春木川町,ﾊﾙｷｶﾞﾜﾁｮｳ,5941133,27
春木町,ﾊﾙｷﾁｮｳ,5941141,27
繁和町,ﾊﾝﾜﾁｮｳ,5940075,27
東阪本町,ﾋｶﾞｼｻｶﾓﾄﾁｮｳ,5940051,27
肥子町,ﾋｺﾁｮｳ,5940076,27
久井町,ﾋｻｲﾁｮｳ,5941142,27
平井町,ﾋﾗｲﾁｮｳ,5941115,27
福瀬町,ﾌｸｾﾞﾁｮｳ,5941123,27
伏屋町,ﾌｾﾔﾁｮｳ,5940031,27
府中町,ﾌﾁｭｳﾁｮｳ,5940071,27
仏並町,ﾌﾞﾂﾅﾐﾁｮｳ,5941136,27
舞町,ﾏｲﾁｮｳ,5940001,27
槇尾山町,ﾏｷｵｻﾝﾁｮｳ,5941131,27
松尾寺町,ﾏﾂｵｼﾞﾁｮｳ,5941154,27
まなび野,ﾏﾅﾋﾞﾉ,5941152,27
万町,ﾏﾝﾁｮｳ,5941104,27
箕形町,ﾐｶﾞﾀﾁｮｳ,5940042,27
みずき台,ﾐｽﾞｷﾀﾞｲ,5941118,27
緑ケ丘,ﾐﾄﾞﾘｶﾞｵｶ,5941155,27
三林町,ﾐﾊﾞﾔｼﾁｮｳ,5941112,27
室堂町,ﾑﾛﾄﾞｳﾁｮｳ,5941101,27
弥生町,ﾔﾖｲﾁｮｳ,5940061,27
若樫町,ﾜｶｶｼﾁｮｳ,5941143,27
和気町,ﾜｹﾁｮｳ,5940073,27
和田町,ﾜﾀﾞﾁｮｳ,5941102,27
