another_name,another_name_kana,post_id,prefecture_id
,,0000000,30
赤沼,ｱｶﾇﾏ,6401163,30
且来,ｱｯｿ,6420015,30
井田,ｲﾀﾞ,6420021,30
海老谷,ｴﾋﾞﾀﾆ,6401164,30
多田,ｵｵﾀ,6420013,30
大野中,ｵｵﾉﾅｶ,6420022,30
岡田,ｵｶﾀﾞ,6420012,30
沖野々,ｵｷﾉﾉ,6401175,30
小野田,ｵﾉﾀﾞ,6420014,30
上谷,ｶﾐﾀﾞﾆ,6401162,30
木津,ｷﾂﾞ,6401174,30
北赤坂,ｷﾀｱｶｻｶ,6420016,30
九品寺,ｸﾎﾝｼﾞ,6401167,30
扱沢,ｸﾞﾐｻﾞﾜ,6420027,30
黒江,ｸﾛｴ,6420011,30
阪井,ｻｶｲ,6420024,30
重根,ｼｺﾈ,6420023,30
重根西,ｼｺﾈﾆｼ,6420019,30
重根東,ｼｺﾈﾋｶﾞｼ,6420018,30
冷水,ｼﾐｽﾞ,6420035,30
下津町青枝,ｼﾓﾂﾁｮｳｱｵｼ,6490147,30
下津町市坪,ｼﾓﾂﾁｮｳｲﾁﾂﾎﾞ,6490145,30
下津町梅田,ｼﾓﾂﾁｮｳｳﾒﾀﾞ,6490132,30
下津町大窪,ｼﾓﾂﾁｮｳｵｵｸﾎﾞ,6490155,30
下津町大崎,ｼﾓﾂﾁｮｳｵｵｻｷ,6490112,30
下津町興,ｼﾓﾂﾁｮｳｵｷ,6490153,30
下津町小原,ｼﾓﾂﾁｮｳｵﾊﾞﾗ,6490162,30
下津町笠畑,ｼﾓﾂﾁｮｳｶｻﾊﾞﾀ,6490154,30
下津町方,ｼﾓﾂﾁｮｳｶﾀ,6490111,30
下津町上,ｼﾓﾂﾁｮｳｶﾐ,6490164,30
下津町鰈川,ｼﾓﾂﾁｮｳｶﾚｶﾞﾜ,6490163,30
下津町橘本,ｼﾓﾂﾁｮｳｷﾂﾓﾄ,6490144,30
下津町沓掛,ｼﾓﾂﾁｮｳｸﾂｶｹ,6490146,30
下津町黒田,ｼﾓﾂﾁｮｳｸﾛﾀﾞ,6490122,30
下津町小畑,ｼﾓﾂﾁｮｳｺﾊﾞﾀ,6490161,30
下津町小松原,ｼﾓﾂﾁｮｳｺﾏﾂﾊﾞﾗ,6490143,30
下津町小南,ｼﾓﾂﾁｮｳｺﾐﾅﾐ,6490141,30
下津町塩津,ｼﾓﾂﾁｮｳｼｵﾂ,6490131,30
下津町下,ｼﾓﾂﾁｮｳｼﾓ,6490133,30
下津町下津,ｼﾓﾂﾁｮｳｼﾓﾂ,6490101,30
下津町曽根田,ｼﾓﾂﾁｮｳｿﾈﾀﾞ,6490151,30
下津町中,ｼﾓﾂﾁｮｳﾅｶ,6490142,30
下津町引尾,ｼﾓﾂﾁｮｳﾋｷｵ,6490152,30
下津町丸田,ｼﾓﾂﾁｮｳﾏﾙﾀﾞ,6490121,30
下津町百垣内,ｼﾓﾂﾁｮｳﾓﾓｶﾞｲﾄ,6490156,30
下津町丁,ｼﾓﾂﾁｮｳﾖﾛ,6490123,30
下津野,ｼﾓﾂﾉ,6400443,30
高津,ﾀｶﾂﾞ,6400451,30
築地,ﾂｷｼﾞ,6420031,30
次ケ谷,ﾂｹﾞﾀﾞﾆ,6401166,30
鳥居,ﾄﾘｲ,6420033,30
名高,ﾅﾀｶ,6420032,30
七山,ﾅﾅﾔﾏ,6400441,30
野上新,ﾉｶﾐｼﾝ,6401161,30
野上中,ﾉｶﾐﾅｶ,6401171,30
野尻,ﾉｼﾞﾘ,6400453,30
幡川,ﾊﾀｶﾞﾜ,6420028,30
馬場町,ﾊﾞﾊﾞﾁｮｳ,6420004,30
原野,ﾊﾗﾉ,6400442,30
日方,ﾋｶﾀ,6420002,30
東畑,ﾋｶﾞｼﾊﾞﾀ,6420025,30
ひや水,ﾋﾔﾐｽﾞ,6401165,30
藤白,ﾌｼﾞｼﾛ,6420034,30
船尾,ﾌﾉｵ,6420001,30
別院,ﾍﾞﾂｲﾝ,6400454,30
別所,ﾍﾞｯｼﾖ,6420026,30
溝ノ口,ﾐｿﾞﾉｸﾁ,6401172,30
南赤坂,ﾐﾅﾐｱｶｻｶ,6420017,30
椋木,ﾑｸﾉｷ,6401173,30
孟子,ﾓｳｺ,6400452,30
山崎町,ﾔﾏｻｷﾁｮｳ,6420003,30
山田,ﾔﾏﾀﾞ,6420029,30
