another_name,another_name_kana,post_id,prefecture_id
,,0000000,22
葵町,ｱｵｲﾁｮｳ,4360018,22
青葉台,ｱｵﾊﾞﾀﾞｲ,4360019,22
秋葉路,ｱｷﾊﾐﾁ,4360041,22
上張,ｱｹﾞﾊﾘ,4360022,22
旭ケ丘,ｱｻﾋｶﾞｵｶ,4360062,22
旭台,ｱｻﾋﾀﾞｲ,4360069,22
安養寺,ｱﾝﾖｳｼﾞ,4360089,22
家代,ｲｴｼﾛ,4360225,22
家代の里,ｲｴｼﾛﾉｻﾄ,4360227,22
居尻,ｲｼﾞﾘ,4360332,22
板沢,ｲﾀｻﾜ,4360016,22
今滝,ｲﾏﾀｷ,4371436,22
入山瀬,ｲﾘﾔﾏｾ,4371438,22
岩滑,ｲﾜﾅﾒ,4371403,22
印内,ｲﾝﾅｲ,4360072,22
梅橋,ｳﾒﾊﾞｼ,4360034,22
駅前,ｴｷﾏｴ,4360077,22
大池,ｵｵｲｹ,4360043,22
大坂,ｵｵｻｶ,4371421,22
大多郎,ｵｵﾀﾛｳ,4360087,22
大坪台,ｵｵﾂﾎﾞﾀﾞｲ,4371439,22
大野,ｵｵﾉ,4360009,22
大渕,ｵｵﾌﾞﾁ,4371302,22
大和田,ｵｵﾜﾀﾞ,4360335,22
岡津,ｵｶﾂ,4360037,22
沖之須,ｵｷﾉｽ,4371303,22
小鷹町,ｵﾀﾞｶﾁｮｳ,4360045,22
小貫,ｵﾇｷ,4371407,22
海戸,ｶｲﾄ,4371422,22
各和,ｶｸﾜ,4360113,22
掛川,ｶｹｶﾞﾜ,4360079,22
葛ケ丘,ｶﾂﾗｶﾞｵｶ,4360088,22
金城,ｶﾈｼﾛ,4360073,22
上内田,ｶﾐｳﾁﾀﾞ,4360012,22
上西郷,ｶﾐｻｲｺﾞｳ,4360342,22
上垂木,ｶﾐﾀﾙｷ,4360221,22
上西之谷,ｶﾐﾆｼﾉﾔ,4360101,22
上土方,ｶﾐﾋｼﾞｶﾀ,4371433,22
上土方落合,ｶﾐﾋｼﾞｶﾀｵﾁｱｲ,4371431,22
上土方工業団地,ｶﾐﾋｼﾞｶﾀｺｳｷﾞｮｳﾀﾞﾝﾁ,4371432,22
上土方旦付新田,ｶﾐﾋｼﾞｶﾀﾀﾞﾝﾂﾞｸｼﾝﾃﾞﾝ,4371437,22
上土方嶺向,ｶﾐﾋｼﾞｶﾀﾐﾈﾑｶｲ,4371435,22
上屋敷,ｶﾐﾔｼｷ,4360049,22
亀の甲,ｶﾒﾉｺｳ,4360028,22
川久保,ｶﾜｸﾎﾞ,4371406,22
岩井寺,ｶﾞﾝｼｮｳｼﾞ,4360014,22
菊浜,ｷｸﾊﾏ,4371415,22
北池新田,ｷﾀｲｹｼﾝﾃﾞﾝ,4360063,22
北門,ｷﾀﾓﾝ,4360064,22
喜町,ｷﾏﾁ,4360094,22
清崎,ｷﾖｻｷ,4360044,22
葛川,ｸｽﾞｶﾜ,4360074,22
国包,ｸﾆｶﾈ,4371414,22
国安,ｸﾆﾔｽ,4371413,22
久保,ｸﾎﾞ,4360027,22
倉真,ｸﾗﾐ,4360341,22
黒田,ｸﾛﾀﾞ,4360223,22
黒俣,ｸﾛﾏﾀ,4360331,22
結縁寺,ｹﾂｴﾝｼﾞ,4360023,22
高御所,ｺｳｺﾞｼｮ,4360031,22
紺屋町,ｺｳﾔﾏﾁ,4360055,22
光陽,ｺｳﾖｳ,4360090,22
紅葉台,ｺｳﾖｳﾀﾞｲ,4360070,22
御所原,ｺﾞｼｮﾊﾞﾗ,4360068,22
子隣,ｺﾄﾅﾘ,4360013,22
小原子,ｺﾊﾞﾗｺ,4360007,22
五明,ｺﾞﾐｮｳ,4360343,22
細田,ｻｲﾀﾞ,4360048,22
逆川,ｻｶｶﾞﾜ,4360084,22
坂里,ｻｶｻﾄ,4371411,22
肴町,ｻｶﾅﾏﾁ,4360078,22
佐夜鹿,ｻﾖｼｶ,4360002,22
沢田,ｻﾜﾀﾞ,4360039,22
塩町,ｼｵﾏﾁ,4360076,22
篠場,ｼﾉﾝﾊﾞ,4360033,22
下西郷,ｼﾓｻｲｺﾞｳ,4360067,22
下垂木,ｼﾓﾀﾙｷ,4360222,22
下土方,ｼﾓﾋｼﾞｶﾀ,4371434,22
下俣,ｼﾓﾏﾀ,4360025,22
下俣南,ｼﾓﾏﾀﾐﾅﾐ,4360026,22
十九首,ｼﾞｭｳｸｼｭ,4360057,22
菖蒲ヶ池,ｼｮｳﾌﾞｶﾞｲｹ,4360040,22
城下,ｼﾛｼﾀ,4360091,22
城西,ｼﾛﾆｼ,4360054,22
城北,ｼﾞｮｳﾎｸ,4360059,22
杉谷,ｽｷﾞﾔ,4360017,22
杉谷南,ｽｷﾞﾔﾐﾅﾐ,4360030,22
炭焼,ｽﾐﾔｷ,4360337,22
千羽,ｾﾝﾊﾞ,4360008,22
薗ケ谷,ｿﾉｶﾞﾔ,4360083,22
高瀬,ﾀｶｾ,4371401,22
高田,ﾀｶﾀﾞ,4360114,22
伊達方,ﾀﾞﾃｶﾞﾀ,4360005,22
満水,ﾀﾏﾘ,4360011,22
丹間,ﾀﾝﾏ,4360333,22
淡陽,ﾀﾝﾖｳ,4360082,22
千浜,ﾁﾊﾏ,4371412,22
中央,ﾁｭｳｵｳ,4360056,22
中央高町,ﾁｭｳｵｳﾀｶﾏﾁ,4360046,22
寺島,ﾃﾗｼﾏ,4360106,22
天王町,ﾃﾝﾉｳﾁｮｳ,4360065,22
徳泉,ﾄｸｲｽﾞﾐ,4360035,22
富部,ﾄﾝﾍﾞ,4360224,22
中,ﾅｶ,4371405,22
中宿,ﾅｶｼﾞｭｸ,4360051,22
中西之谷,ﾅｶﾆｼﾉﾔ,4360102,22
中方,ﾅｶﾎｳ,4371402,22
中町,ﾅｶﾏﾁ,4360092,22
長谷,ﾅｶﾞﾔ,4360047,22
七日町,ﾅﾉｶﾏﾁ,4360058,22
成滝,ﾅﾙﾀｷ,4360085,22
西大渕,ﾆｼｵｵﾌﾞﾁ,4371304,22
西之谷,ﾆｼﾉﾔ,4371404,22
西山,ﾆｼﾔﾏ,4360116,22
日坂,ﾆｯｻｶ,4360003,22
仁藤,ﾆﾄｳ,4360071,22
仁藤町,ﾆﾄｳﾏﾁ,4360075,22
萩間,ﾊｷﾞﾏ,4360336,22
幡鎌,ﾊﾀｶﾏ,4360117,22
初馬,ﾊﾂﾏ,4360081,22
浜川新田,ﾊﾏｶﾞﾜｼﾝﾃﾞﾝ,4371423,22
浜野,ﾊﾏﾉ,4371424,22
