another_name,another_name_kana,post_id,prefecture_id
,,0000000,12
粟野,ｱﾜﾉ,2730132,12
右京塚,ｳｷｮｳﾂﾞｶ,2730102,12
鎌ケ谷,ｶﾏｶﾞﾔ,2730105,12
軽井沢,ｶﾙｲｻﾞﾜ,2730131,12
北中沢,ｷﾀﾅｶｻﾞﾜ,2730111,12
北初富,ｷﾀﾊﾂﾄﾐ,2730126,12
串崎新田,ｸｼｻﾞｷｼﾝﾃﾞﾝ,2730127,12
くぬぎ山,ｸﾇｷﾞﾔﾏ,2730128,12
佐津間,ｻﾂﾏ,2730136,12
新鎌ケ谷,ｼﾝｶﾏｶﾞﾔ,2730107,12
中央,ﾁｭｳｵｳ,2730124,12
富岡,ﾄﾐｵｶ,2730101,12
中佐津間,ﾅｶｻﾂﾏ,2730135,12
中沢,ﾅｶｻﾞﾜ,2730118,12
中沢新町,ﾅｶｻﾞﾜｼﾝﾏﾁ,2730119,12
西佐津間,ﾆｼｻﾂﾏ,2730134,12
西道野辺,ﾆｼﾐﾁﾉﾍﾞ,2730117,12
初富,ﾊﾂﾄﾐ,2730121,12
初富本町,ﾊﾂﾄﾐﾎﾝﾁｮｳ,2730125,12
東鎌ケ谷,ﾋｶﾞｼｶﾏｶﾞﾔ,2730104,12
東中沢,ﾋｶﾞｼﾅｶｻﾞﾜ,2730112,12
東初富,ﾋｶﾞｼﾊﾂﾄﾐ,2730122,12
東道野辺,ﾋｶﾞｼﾐﾁﾉﾍﾞ,2730115,12
馬込沢,ﾏｺﾞﾒｻﾞﾜ,2730116,12
丸山,ﾏﾙﾔﾏ,2730103,12
道野辺,ﾐﾁﾉﾍﾞ,2730114,12
道野辺中央,ﾐﾁﾉﾍﾞﾁｭｳｵｳ,2730113,12
道野辺本町,ﾐﾁﾉﾍﾞﾎﾝﾁｮｳ,2730137,12
南鎌ケ谷,ﾐﾅﾐｶﾏｶﾞﾔ,2730106,12
南佐津間,ﾐﾅﾐｻﾂﾏ,2730133,12
南初富,ﾐﾅﾐﾊﾂﾄﾐ,2730123,12
