another_name,another_name_kana,post_id,prefecture_id
,,0000000,4
赤塚,ｱｶﾂｶ,9814264,4
味ケ袋,ｱｼﾞｶﾞﾌｸﾛ,9814375,4
穴畑,ｱﾅﾊﾀ,9814275,4
石原,ｲｼﾊﾗ,9814323,4
板橋,ｲﾀﾊﾞｼ,9814311,4
一里塚,ｲﾁﾘﾂｶ,9814328,4
一本杉,ｲｯﾎﾟﾝｽｷﾞ,9814262,4
一本柳,ｲｯﾎﾟﾝﾔﾅｷﾞ,9814274,4
一本柳南,ｲｯﾎﾟﾝﾔﾅｷﾞﾐﾅﾐ,9814277,4
芋沢,ｲﾓｻﾞﾜ,9814356,4
上野原,ｳｴﾉﾊﾗ,9814327,4
内谷地,ｳﾁﾔｼﾞ,9814343,4
漆沢,ｳﾙｼｻﾞﾜ,9814368,4
岡町,ｵｶﾏﾁ,9814255,4
押登目,ｵｼﾄﾒ,9814226,4
鹿島越,ｶｼﾏｺﾞｼ,9814228,4
門沢,ｶﾄﾞｻﾜ,9814367,4
鹿原,ｶﾉﾊﾗ,9814355,4
上狼塚,ｶﾐｵｲﾉﾂﾞｶ,9814211,4
上川原,ｶﾐｶﾜﾗ,9814273,4
上多田川,ｶﾐﾀﾀﾞｶﾞﾜ,9814201,4
上野目,ｶﾐﾉﾒ,9814374,4
雁原,ｶﾞﾝﾊﾞﾗ,9814263,4
北川内,ｷﾀｶﾜｳﾁ,9814402,4
北下原,ｷﾀｼﾓﾊﾗ,9814322,4
北寺宿,ｷﾀﾃﾗｼｭｸ,9814331,4
北ノ口,ｷﾀﾉｸﾁ,9814326,4
北原,ｷﾀﾊﾗ,9814324,4
北町,ｷﾀﾏﾁ,9814254,4
木伏,ｷｯﾌﾟｼ,9814224,4
木舟,ｷﾌﾞﾈ,9814419,4
君ケ袋,ｷﾐｶﾞﾌｸﾛ,9814417,4
旧舘１番,ｷｭｳｶﾝ1ﾊﾞﾝ,9814234,4
旧舘２番,ｷｭｳｶﾝ2ﾊﾞﾝ,9814235,4
久保,ｸﾎﾞ,9814304,4
久保田,ｸﾎﾞﾀ,9814319,4
小泉,ｺｲｽﾞﾐ,9814418,4
小瀬,ｺｾﾞ,9814362,4
五百刈,ｺﾞﾋｬｸｶﾞﾘ,9814325,4
米泉,ｺﾒｲｽﾞﾐ,9814415,4
清水田,ｼﾐｽﾞﾀ,9814318,4
下狼塚,ｼﾓｵｲﾉﾂﾞｶ,9814212,4
下川原,ｼﾓｶﾜﾗ,9814256,4
下北浦,ｼﾓｷﾀｳﾗ,9814345,4
下タ川原,ｼﾓﾀｶﾜﾊﾗ,9814336,4
下多田川,ｼﾓﾀﾀﾞｶﾞﾜ,9814202,4
下新田,ｼﾓﾆｲﾀﾞ,9814222,4
下野目,ｼﾓﾉﾒ,9814302,4
下原,ｼﾓﾊﾗ,9814321,4
城生,ｼﾞｮｳ,9814272,4
城内,ｼﾞｮｳﾅｲ,9814357,4
新川原,ｼﾝｶﾜﾗ,9814227,4
新北雷屋敷,ｼﾝｷﾀｲｶｽﾞﾁﾔｼｷ,9814376,4
新木伏,ｼﾝｷﾂﾌﾟｼ,9814225,4
新小路,ｼﾝｺｳｼﾞ,9814335,4
神山西,ｼﾝｻﾞﾝﾆｼ,9814317,4
新松田,ｼﾝﾏﾂﾀ,9814369,4
新南雷屋敷,ｼﾝﾐﾅﾐｲｶｽﾞﾁﾔｼｷ,9814377,4
雑式ノ目,ｿﾞｳｼｷﾉﾒ,9814223,4
大門,ﾀﾞｲﾓﾝ,9814253,4
滝下,ﾀｷｼﾀ,9814363,4
田中,ﾀﾅｶ,9814314,4
長清水,ﾁｮｳｼﾐｽﾞ,9814372,4
月崎,ﾂｷｻﾞｷ,0000000,4
月崎皆屋敷,ﾂｷｻﾞｷﾐﾅﾔｼｷ,9814312,4
鶴羽美,ﾂﾙﾊﾞﾐ,9814329,4
照井,ﾃﾙｲ,9814353,4
天王,ﾃﾝﾉｳ,9814306,4
樋田,ﾄｲﾀﾞ,9814301,4
藤兵衛前,ﾄｳﾍﾞｲﾏｴ,9814361,4
百目木１番,ﾄﾞｳﾒｷ1ﾊﾞﾝ,9814231,4
百目木２番,ﾄﾞｳﾒｷ2ﾊﾞﾝ,9814232,4
百目木３番,ﾄﾞｳﾒｷ3ﾊﾞﾝ,9814233,4
鳥嶋,ﾄﾘｼﾏ,9814412,4
鳥屋ケ崎,ﾄﾘﾔｶﾞｻｷ,9814413,4
中嶋,ﾅｶｼﾞﾏ,9814315,4
長檀,ﾅｶﾞﾀﾞﾝ,9814337,4
中畑,ﾅｶﾊﾀ,9814333,4
中原,ﾅｶﾊﾗ,9814341,4
長町,ﾅｶﾞﾏﾁ,9814308,4
菜切谷,ﾅｷﾞﾘﾔ,9814203,4
西田,ﾆｼﾀﾞ,9814252,4
西八石,ﾆｼﾊｯｺｸ,9814358,4
西町,ﾆｼﾏﾁ,9814251,4
二ノ坪,ﾆﾉﾂﾎﾞ,9814313,4
沼ケ袋,ﾇﾏｶﾞﾌｸﾛ,9814416,4
伯治,ﾊｸｼﾞ,9814365,4
八石下,ﾊｯｺｸｼﾀ,9814352,4
羽場,ﾊﾊﾞ,9814271,4
原,ﾊﾗ,9814371,4
原高谷地屋敷,ﾊﾗﾀｶﾔｼﾞﾔｼｷ,9814347,4
原中原浦,ﾊﾗﾅｶﾊﾗｳﾗ,9814342,4
原町,ﾊﾗﾏﾁ,9814373,4
原道端屋敷,ﾊﾗﾐﾁﾊﾞﾀﾔｼｷ,9814344,4
原南江端,ﾊﾗﾐﾅﾐｴﾊﾞﾀ,9814346,4
平柳,ﾋﾗﾔﾅｷﾞ,9814213,4
麓山,ﾌﾓﾄﾔﾏ,9814354,4
前田下,ﾏｴﾀﾞｼﾓ,9814303,4
孫沢,ﾏｺﾞｻﾜ,9814414,4
町裏,ﾏﾁｳﾗ,9814261,4
町西,ﾏﾁﾆｼ,9814242,4
町屋敷,ﾏﾁﾔｼｷ,9814334,4
松田,ﾏﾂﾀ,9814364,4
水芋,ﾐｽﾞｲﾓ,9814366,4
南小路,ﾐﾅﾐｺｳｼﾞ,9814351,4
南寺宿,ﾐﾅﾐﾃﾗｼｭｸ,9814332,4
南町,ﾐﾅﾐﾏﾁ,9814241,4
宮崎,ﾐﾔｻﾞｷ,9814401,4
宮田,ﾐﾔﾀ,9814305,4
焼橋,ﾔｷﾊｼ,9814276,4
薬師堂,ﾔｸｼﾄﾞｳ,9814229,4
矢越,ﾔｺﾞｼ,9814265,4
谷地森,ﾔﾁﾓﾘ,9814411,4
柳沢,ﾔﾅｷﾞｻﾜ,9814403,4
四日市場,ﾖｯｶｲﾁﾊﾞ,9814221,4
蓬田,ﾖﾓｷﾞﾀﾞ,9814309,4
