another_name,another_name_kana,post_id,prefecture_id
,,0000000,1
基線,ｷｾﾝ,0711560,1
北一条東,ｷﾀ1ｼﾞｮｳﾋｶﾞｼ,0711512,1
北一条西,ｷﾀ1ｼﾞｮｳﾆｼ,0711511,1
北二条東,ｷﾀ2ｼﾞｮｳﾋｶﾞｼ,0711514,1
北二条西,ｷﾀ2ｼﾞｮｳﾆｼ,0711513,1
北三条東,ｷﾀ3ｼﾞｮｳﾋｶﾞｼ,0711515,1
栄岡,ｻｶｴｵｶ,0711581,1
志比内,ｼﾋﾞﾅｲ,0711582,1
東一線,ﾋｶﾞｼ1ｾﾝ,0711561,1
東二線,ﾋｶﾞｼ2ｾﾝ,0711562,1
東三線,ﾋｶﾞｼ3ｾﾝ,0711563,1
東四線,ﾋｶﾞｼ4ｾﾝ,0711564,1
東五線,ﾋｶﾞｼ5ｾﾝ,0711565,1
ひじり野北一条,ﾋｼﾞﾘﾉｷﾀ1ｼﾞｮｳ,0711521,1
ひじり野北二条,ﾋｼﾞﾘﾉｷﾀ2ｼﾞｮｳ,0711522,1
ひじり野南一条,ﾋｼﾞﾘﾉﾐﾅﾐ1ｼﾞｮｳ,0711523,1
ひじり野南二条,ﾋｼﾞﾘﾉﾐﾅﾐ2ｼﾞｮｳ,0711524,1
ひじり野南三条,ﾋｼﾞﾘﾉﾐﾅﾐ3ｼﾞｮｳ,0711525,1
南２線,ﾐﾅﾐ2ｾﾝ,0711572,1
南３線,ﾐﾅﾐ3ｾﾝ,0711573,1
南４線,ﾐﾅﾐ4ｾﾝ,0711574,1
南５線,ﾐﾅﾐ5ｾﾝ,0711575,1
南一条東,ﾐﾅﾐ1ｼﾞｮｳﾋｶﾞｼ,0711502,1
南一条西,ﾐﾅﾐ1ｼﾞｮｳﾆｼ,0711501,1
南１番通,ﾐﾅﾐ1ﾊﾞﾝﾄﾞｵﾘ,0711571,1
南二条東,ﾐﾅﾐ2ｼﾞｮｳﾋｶﾞｼ,0711504,1
南二条西,ﾐﾅﾐ2ｼﾞｮｳﾆｼ,0711503,1
南三条東,ﾐﾅﾐ3ｼﾞｮｳﾋｶﾞｼ,0711505,1
南１３号,ﾐﾅﾐ13ｺﾞｳ,0711570,1
八千代ケ岡,ﾔﾁﾖｶﾞｵｶ,0711577,1
３号,3ｺﾞｳ,0711533,1
４号,4ｺﾞｳ,0711534,1
５号,5ｺﾞｳ,0711535,1
６号,6ｺﾞｳ,0711536,1
７号,7ｺﾞｳ,0711537,1
８号,8ｺﾞｳ,0711538,1
９号,9ｺﾞｳ,0711539,1
１０号,10ｺﾞｳ,0711540,1
１１号,11ｺﾞｳ,0711541,1
１２号,12ｺﾞｳ,0711542,1
１３号,13ｺﾞｳ,0711543,1
１４号,14ｺﾞｳ,0711544,1
１５号,15ｺﾞｳ,0711545,1
１６号,16ｺﾞｳ,0711546,1
１７号,17ｺﾞｳ,0711547,1
１８号,18ｺﾞｳ,0711548,1
１９号,19ｺﾞｳ,0711549,1
２０号,20ｺﾞｳ,0711550,1
２１号,21ｺﾞｳ,0711551,1
２２号,22ｺﾞｳ,0711552,1
２３号,23ｺﾞｳ,0711553,1
２４号,24ｺﾞｳ,0711554,1
２５号,25ｺﾞｳ,0711555,1
２６号,26ｺﾞｳ,0711556,1
２７号,27ｺﾞｳ,0711557,1
