another_name,another_name_kana,post_id,prefecture_id
,,0000000,1
旭山,ｱｻﾋﾔﾏ,0890355,1
上然別,ｶﾐｼｶﾘﾍﾞﾂ,0890243,1
北一条,ｷﾀ1ｼﾞｮｳ,0890135,1
北二条,ｷﾀ2ｼﾞｮｳ,0890134,1
北三条,ｷﾀ3ｼﾞｮｳ,0890133,1
北四条,ｷﾀ4ｼﾞｮｳ,0890132,1
北五条,ｷﾀ5ｼﾞｮｳ,0890131,1
北一条西,ｷﾀ1ｼﾞｮｳﾆｼ,0890124,1
北二条西,ｷﾀ2ｼﾞｮｳﾆｼ,0890123,1
北三条西,ｷﾀ3ｼﾞｮｳﾆｼ,0890122,1
北四条西,ｷﾀ4ｼﾞｮｳﾆｼ,0890121,1
熊牛,ｸﾏｳｼ,0890241,1
清水,ｼﾐｽﾞ,0890103,1
下佐幌,ｼﾓｻﾎﾛ,0890102,1
羽帯,ﾊｵﾋﾞ,0890356,1
人舞,ﾋﾄﾏｲ,0890101,1
美蔓,ﾋﾞﾏﾝ,0890242,1
本通,ﾎﾝﾄﾞｵﾘ,0890136,1
本通西,ﾎﾝﾄﾞｵﾘﾆｼ,0890125,1
御影,ﾐｶｹﾞ,0890357,1
御影西一条,ﾐｶｹﾞﾆｼ1ｼﾞｮｳ,0890351,1
御影西二条,ﾐｶｹﾞﾆｼ2ｼﾞｮｳ,0890352,1
御影西三条,ﾐｶｹﾞﾆｼ3ｼﾞｮｳ,0890353,1
御影東一条,ﾐｶｹﾞﾋｶﾞｼ1ｼﾞｮｳ,0890371,1
御影東二条,ﾐｶｹﾞﾋｶﾞｼ2ｼﾞｮｳ,0890372,1
御影東三条,ﾐｶｹﾞﾋｶﾞｼ3ｼﾞｮｳ,0890373,1
御影東四条,ﾐｶｹﾞﾋｶﾞｼ4ｼﾞｮｳ,0890374,1
御影東五条,ﾐｶｹﾞﾋｶﾞｼ5ｼﾞｮｳ,0890375,1
御影東六条,ﾐｶｹﾞﾋｶﾞｼ6ｼﾞｮｳ,0890376,1
御影東七条,ﾐｶｹﾞﾋｶﾞｼ7ｼﾞｮｳ,0890377,1
御影東八条,ﾐｶｹﾞﾋｶﾞｼ8ｼﾞｮｳ,0890378,1
御影東一条南,ﾐｶｹﾞﾋｶﾞｼ1ｼﾞｮｳﾐﾅﾐ,0890361,1
御影東二条南,ﾐｶｹﾞﾋｶﾞｼ2ｼﾞｮｳﾐﾅﾐ,0890362,1
御影東三条南,ﾐｶｹﾞﾋｶﾞｼ3ｼﾞｮｳﾐﾅﾐ,0890363,1
御影本通,ﾐｶｹﾞﾎﾝﾄﾞｵﾘ,0890354,1
南一条,ﾐﾅﾐ1ｼﾞｮｳ,0890137,1
南二条,ﾐﾅﾐ2ｼﾞｮｳ,0890138,1
南三条,ﾐﾅﾐ3ｼﾞｮｳ,0890111,1
南四条,ﾐﾅﾐ4ｼﾞｮｳ,0890112,1
南五条,ﾐﾅﾐ5ｼﾞｮｳ,0890113,1
南六条,ﾐﾅﾐ6ｼﾞｮｳ,0890114,1
南七条,ﾐﾅﾐ7ｼﾞｮｳ,0890115,1
南八条,ﾐﾅﾐ8ｼﾞｮｳ,0890116,1
南九条,ﾐﾅﾐ9ｼﾞｮｳ,0890117,1
南十条,ﾐﾅﾐ10ｼﾞｮｳ,0890118,1
南一条西,ﾐﾅﾐ1ｼﾞｮｳﾆｼ,0890126,1
南二条西,ﾐﾅﾐ2ｼﾞｮｳﾆｼ,0890127,1
南三条西,ﾐﾅﾐ3ｼﾞｮｳﾆｼ,0890104,1
南四条西,ﾐﾅﾐ4ｼﾞｮｳﾆｼ,0890105,1
南五条西,ﾐﾅﾐ5ｼﾞｮｳﾆｼ,0890106,1
南六条西,ﾐﾅﾐ6ｼﾞｮｳﾆｼ,0890107,1
