another_name,another_name_kana,post_id,prefecture_id
,,0000000,1
上佐幌,ｶﾐｻﾎﾛ,0810035,1
屈足,ｸｯﾀﾘ,0810154,1
屈足旭町,ｸｯﾀﾘｱｻﾋﾏﾁ,0810151,1
屈足旭町東,ｸｯﾀﾘｱｻﾋﾏﾁﾋｶﾞｼ,0810152,1
屈足柏町,ｸｯﾀﾘｶｼﾜﾏﾁ,0810161,1
屈足柏町東,ｸｯﾀﾘｶｼﾜﾏﾁﾋｶﾞｼ,0810162,1
屈足幸町,ｸｯﾀﾘｻｲﾜｲﾏﾁ,0810155,1
屈足幸町西,ｸｯﾀﾘｻｲﾜｲﾏﾁﾆｼ,0810156,1
屈足緑町,ｸｯﾀﾘﾐﾄﾞﾘﾏﾁ,0810163,1
屈足緑町西,ｸｯﾀﾘﾐﾄﾞﾘﾏﾁﾆｼ,0810164,1
屈足南町,ｸｯﾀﾘﾐﾅﾐﾏﾁ,0810153,1
栄町,ｻｶｴﾏﾁ,0810006,1
下佐幌,ｼﾓｻﾎﾛ,0810036,1
新得,ｼﾝﾄｸ,0810038,1
拓鉄,ﾀｸﾃﾂ,0810037,1
新内,ﾆｲﾅｲ,0810039,1
西一条南,ﾆｼ1ｼﾞｮｳﾐﾅﾐ,0810031,1
西一条北,ﾆｼ1ｼﾞｮｳｷﾀ,0810021,1
西二条南,ﾆｼ2ｼﾞｮｳﾐﾅﾐ,0810032,1
西二条北,ﾆｼ2ｼﾞｮｳｷﾀ,0810022,1
西三条南,ﾆｼ3ｼﾞｮｳﾐﾅﾐ,0810033,1
西三条北,ﾆｼ3ｼﾞｮｳｷﾀ,0810023,1
西四条南,ﾆｼ4ｼﾞｮｳﾐﾅﾐ,0810034,1
本通南,ﾎﾝﾄﾞｵﾘﾐﾅﾐ,0810008,1
本通北,ﾎﾝﾄﾞｵﾘｷﾀ,0810005,1
元町,ﾓﾄﾏﾁ,0810007,1
一条南,1ｼﾞｮｳﾐﾅﾐ,0810011,1
一条北,1ｼﾞｮｳｷﾀ,0810001,1
二条南,2ｼﾞｮｳﾐﾅﾐ,0810012,1
二条北,2ｼﾞｮｳｷﾀ,0810002,1
三条南,3ｼﾞｮｳﾐﾅﾐ,0810013,1
三条北,3ｼﾞｮｳｷﾀ,0810003,1
四条南,4ｼﾞｮｳﾐﾅﾐ,0810014,1
五条南,5ｼﾞｮｳﾐﾅﾐ,0810015,1
