another_name,another_name_kana,post_id,prefecture_id
,,0000000,2
赤坂,ｱｶｻｶ,0393116,2
有戸,ｱﾘﾄ,0393108,2
有戸鳥井平,ｱﾘﾄﾄﾘｲﾀｲ,0393105,2
家ノ上,ｲｴﾉｳｴ,0393178,2
石神裏,ｲｼｶﾞﾐｳﾗ,0393111,2
一ノ渡,ｲﾁﾉﾜﾀﾘ,0393144,2
大平下,ｵｵﾀﾞｲｼﾀ,0393174,2
大月平,ｵｵﾂｷﾀｲ,0393104,2
小沢平,ｵｻﾞﾜﾀﾞｲ,0393107,2
蟹田,ｶﾆﾀ,0393106,2
上河渡頭,ｶﾐｶﾄﾞｶﾞｼﾗ,0393174,2
上川原,ｶﾐｶﾜﾗ,0393127,2
上小中野,ｶﾐｺﾅｶﾉ,0393154,2
上前田,ｶﾐﾏｴﾀﾞ,0393128,2
上御手洗瀬,ｶﾐﾐﾀﾗｾ,0393171,2
川目,ｶﾜﾒ,0393143,2
観音林後,ｶﾝﾉﾝﾊﾞﾔｼｳｼﾛ,0393158,2
観音林前田,ｶﾝﾉﾝﾊﾞﾔｼﾏｴﾀﾞ,0393165,2
観音林脇,ｶﾝﾉﾝﾊﾞﾔｼﾜｷ,0393159,2
木明,ｷﾐｮｳ,0393105,2
切明,ｷﾘｱｹ,0393155,2
久田,ｸﾝﾃﾞﾝ,0393142,2
笹館,ｻｻﾀﾞﾃ,0393162,2
獅子沢,ｼｼｻﾞﾜ,0393157,2
下道,ｼﾀﾐﾁ,0393108,2
柴崎,ｼﾊﾞｻｷ,0393177,2
下河渡頭,ｼﾓｶﾄﾞｶﾞｼﾗ,0393174,2
下小中野,ｼﾓｺﾅｶﾉ,0393152,2
下坂,ｼﾓｻｶ,0393117,2
下前田,ｼﾓﾏｴﾀﾞ,0393126,2
下松ノ木平,ｼﾓﾏﾂﾉｷﾀｲ,0393146,2
下御手洗瀬,ｼﾓﾐﾀﾗｾ,0393171,2
下与田川,ｼﾓﾖﾀｶﾞﾜ,0393147,2
白岩,ｼﾗｲﾜ,0393124,2
白岩向,ｼﾗｲﾜﾑｶｲ,0393151,2
新田,ｼﾝﾃﾞﾝ,0393129,2
新町裏,ｼﾝﾏﾁｳﾗ,0393163,2
地続山,ｼﾞﾂﾂﾞｷﾔﾏ,0393175,2
陣場川原,ｼﾞﾝﾊﾞｶﾞﾜﾗ,0393173,2
助佐小路,ｽｹｻｺｳｼﾞ,0393114,2
雑吉沢,ｿﾞｳﾖｼｻﾞﾜ,0393122,2
滝田,ﾀｷﾀ,0393171,2
田名部道,ﾀﾅﾌﾞﾐﾁ,0393103,2
種川,ﾀﾈｶﾜ,0393123,2
田狭沢,ﾀﾊﾞｻﾐｻﾞﾜ,0393113,2
田端,ﾀﾊﾞﾀ,0393174,2
タラノ木,ﾀﾗﾉｷ,0393115,2
槻ノ木,ﾂｷﾉｷ,0393171,2
寺ノ沢,ﾃﾗﾉｻﾜ,0393118,2
戸田ノ沢,ﾄﾀﾞﾉｻﾜ,0393129,2
鳥井平,ﾄﾘｲﾀｲ,0393172,2
中小中野,ﾅｶｺﾅｶﾉ,0393153,2
中田,ﾅｶﾀ,0393108,2
中道,ﾅｶﾐﾁ,0393112,2
中屋敷,ﾅｶﾔｼｷ,0393143,2
中渡,ﾅｶﾜﾀﾘ,0393176,2
鳴沢,ﾅﾙｻﾜ,0393141,2
二本木,ﾆﾎﾝｷ,0393171,2
二本木向,ﾆﾎﾝｷﾑｶｲ,0393167,2
二本木向前田,ﾆﾎﾝｷﾑｶｲﾏｴﾀﾞ,0393166,2
野辺地,ﾉﾍｼﾞ,0393131,2
二十平,ﾊﾀﾁﾀｲ,0393171,2
八ノ木谷地,ﾊﾉｷﾔﾁ,0393177,2
浜掛,ﾊﾏｶｹ,0393101,2
東太田沢,ﾋｶﾞｼｵｵﾀｻﾜ,0393105,2
干草橋,ﾋｸｻﾊﾞｼ,0393105,2
昼場,ﾋﾙﾊﾞ,0393128,2
枇杷野,ﾋﾞﾜﾉ,0393156,2
船橋,ﾌﾅﾊﾞｼ,0393121,2
古明前,ﾌﾙﾐｮｳﾏｴ,0393106,2
坊ノ塚,ﾎﾞｳﾉﾂｶ,0393125,2
前田,ﾏｴﾀﾞ,0393164,2
前平,ﾏｴﾋﾗ,0393168,2
馬門,ﾏｶﾄﾞ,0393179,2
馬門道,ﾏｶﾄﾞﾐﾁ,0393161,2
松ノ木,ﾏﾂﾉｷ,0393157,2
松ノ木平,ﾏﾂﾉｷﾀｲ,0393145,2
御手洗瀬,ﾐﾀﾗｾ,0393171,2
明前,ﾐｮｳﾏｴ,0393106,2
向田,ﾑｶｲﾀﾞ,0393109,2
餅粟川原,ﾓﾁｱﾜｶﾜﾗ,0393129,2
湯沢,ﾕｻﾞﾜ,0393175,2
湯沢尻,ﾕｻﾞﾜｼﾞﾘ,0393175,2
与田川尻,ﾖﾀｶﾞﾜｼﾞﾘ,0393148,2
米内沢,ﾖﾅｲｻﾜ,0393102,2
