another_name,another_name_kana,post_id,prefecture_id
,,0000000,2
青葉,ｱｵﾊﾞ,0392189,2
赤田前,ｱｶﾀﾞﾏｴ,0392147,2
秋堂,ｱｷﾄﾞｳ,0392116,2
明土,ｱｹﾄﾞ,0392141,2
阿光坊,ｱｺｳﾎﾞｳ,0392165,2
洗平,ｱﾗｲﾀﾞｲ,0392172,2
犬毛谷地,ｲﾇｹﾔﾁ,0392113,2
牛込平,ｳｼｺﾞﾒﾀｲ,0392217,2
後田,ｳｼﾛﾀﾞ,0392216,2
鶉久保,ｳｽﾞﾗｸﾎﾞ,0392182,2
鶉久保山,ｳｽﾞﾗｸﾎﾞﾔﾏ,0392183,2
獺野,ｳｿﾉ,0392253,2
上明堂,ｶﾐｱｹﾄﾞｳ,0392225,2
上川原,ｶﾐｶﾜﾗ,0392133,2
上久保,ｶﾐｸﾎﾞ,0392185,2
上前田,ｶﾐﾏｴﾀﾞ,0392221,2
上谷地,ｶﾐﾔﾁ,0392145,2
川端,ｶﾜﾊﾞﾀ,0392117,2
木崎,ｷｻﾞｷ,0392127,2
北下田,ｷﾀｼﾓﾀﾞ,0392186,2
木ノ下西,ｷﾉｼﾀﾆｼ,0392155,2
木ノ下東,ｷﾉｼﾀﾋｶﾞｼ,0392157,2
木ノ下南,ｷﾉｼﾀﾐﾅﾐ,0392156,2
黒坂谷地,ｸﾛｻｶﾔﾁ,0392252,2
小前谷地,ｺﾏｴﾔﾁ,0392142,2
境田,ｻｶｲﾀﾞ,0392124,2
三本木,ｻﾝﾎﾞﾝｷﾞ,0392125,2
下明堂,ｼﾓｱｹﾄﾞｳ,0392224,2
下境,ｼﾓｻｶｲ,0392121,2
下前田,ｼﾓﾏｴﾀﾞ,0392222,2
下屋敷,ｼﾓﾔｼｷ,0392215,2
上水下,ｼﾞｮｳｽｲｼﾀ,0392143,2
新助川原,ｼﾝｽｹｶﾜﾗ,0392226,2
新田,ｼﾝﾃﾞﾝ,0392211,2
神明前,ｼﾝﾒｲﾏｴ,0392164,2
住吉,ｽﾐﾖｼ,0392180,2
千刈田,ｾﾝｶﾞﾘﾀﾞ,0392235,2
染屋,ｿﾒﾔ,0392128,2
高田,ﾀｶﾀﾞ,0392114,2
丈の端,ﾀｹﾉﾊｼ,0392144,2
立蛇,ﾀﾁｼﾞｬ,0392135,2
館越,ﾀﾃｺﾞｼ,0392163,2
土取,ﾂﾁﾄﾘ,0392255,2
堤田,ﾂﾂﾐﾀﾞ,0392234,2
豊栄,ﾄﾖｻｶｴ,0392102,2
豊原,ﾄﾖﾊﾗ,0392154,2
苗平谷地,ﾅｴﾋﾗﾔﾁ,0392223,2
苗振谷地,ﾅｴﾌﾘﾔﾁ,0392254,2
中下田,ﾅｶｼﾓﾀﾞ,0392136,2
中平下長根山,ﾅｶﾀｲｼﾓﾅｶﾞﾈﾔﾏ,0392129,2
中野平,ﾅｶﾉﾀｲ,0392112,2
中谷地,ﾅｶﾔﾁ,0392146,2
菜飯,ﾅﾒｼ,0392115,2
西後谷地,ﾆｼｳｼﾛﾔﾁ,0392111,2
新敷,ﾆｼｷ,0392171,2
西下川原,ﾆｼｼﾓｶﾜﾗ,0392161,2
西下谷地,ﾆｼｼﾓﾔﾁ,0392123,2
西前川原,ﾆｼﾏｴｶﾜﾗ,0392132,2
沼小屋,ﾇﾏｺﾔ,0392122,2
沼端,ﾇﾏﾊﾀ,0392233,2
馳下り,ﾊｾｸﾀﾞﾘ,0392134,2
浜道,ﾊﾏﾐﾁ,0392184,2
東後谷地,ﾋｶﾞｼｳｼﾛﾔﾁ,0392232,2
東下川原,ﾋｶﾞｼｼﾓｶﾜﾗ,0392212,2
東下谷地,ﾋｶﾞｼｼﾓﾔﾁ,0392231,2
東前川原,ﾋｶﾞｼﾏｴｶﾜﾗ,0392214,2
彦七川原,ﾋｺｼﾁｶﾞﾜﾗ,0392118,2
一川目,ﾋﾄｶﾜﾒ,0392203,2
深沢,ﾌｶｻﾜ,0392204,2
深沢平,ﾌｶｻﾜﾀｲ,0392205,2
瓢,ﾌｸﾍﾞ,0392173,2
二川目,ﾌﾀｶﾜﾒ,0392201,2
古間木山,ﾌﾙﾏｷﾞﾔﾏ,0392181,2
堀ノ内,ﾎﾘﾉｳﾁ,0392213,2
間木,ﾏｷﾞ,0392126,2
松原,ﾏﾂﾊﾞﾗ,0392206,2
緑ケ丘,ﾐﾄﾞﾘｶﾞｵｶ,0392187,2
南下田,ﾐﾅﾐｼﾓﾀﾞ,0392162,2
向川原,ﾑｶｲｶﾜﾗ,0392131,2
向坂,ﾑｶｲｻｶ,0392251,2
向平,ﾑｶｲﾀｲ,0392202,2
向山,ﾑｶｲﾔﾏ,0392151,2
向山東,ﾑｶｲﾔﾏﾋｶﾞｼ,0392152,2
向山南,ﾑｶｲﾔﾏﾐﾅﾐ,0392158,2
山崎,ﾔﾏｻﾞｷ,0392153,2
洋光台,ﾖｳｺｳﾀﾞｲ,0392236,2
若葉,ﾜｶﾊﾞ,0392188,2
