another_name,another_name_kana,post_id,prefecture_id
,,0000000,12
天津,ｱﾏﾂ,2995503,12
天面,ｱﾏﾂﾗ,2992864,12
粟斗,ｱﾜﾄ,2960031,12
池田,ｲｹﾀﾞ,2960024,12
和泉,ｲｽﾞﾐ,2960045,12
磯村,ｲｿﾑﾗ,2960003,12
内浦,ｳﾁｳﾗ,2995502,12
打墨,ｳﾂﾂﾐ,2960035,12
江見青木,ｴﾐｱｵｷ,2992842,12
江見内遠野,ｴﾐｳﾄﾉ,2992847,12
江見外堀,ｴﾐｿﾄﾎﾞﾘ,2992846,12
江見太夫崎,ｴﾐﾀﾕｳｻﾞｷ,2992865,12
江見東真門,ｴﾐﾋｶﾞｼﾏｶﾄﾞ,2992844,12
江見西真門,ｴﾐﾆｼﾏｶﾄﾞ,2992845,12
江見吉浦,ｴﾐﾖｼｳﾗ,2992866,12
大川面,ｵｵｶﾜﾂﾞﾗ,2960121,12
大幡,ｵｵﾊﾀ,2960124,12
大山平塚,ｵｵﾔﾏﾋﾗﾂｶ,2960237,12
押切,ｵｼｷﾘ,2960023,12
太田学,ｵﾀﾞｶﾞｸ,2960025,12
貝渚,ｶｲｽｶ,2960004,12
釜沼,ｶﾏﾇﾏ,2960231,12
上,ｶﾐ,2992858,12
上小原,ｶﾐｺﾊﾞﾗ,2960103,12
川代,ｶﾜｼﾛ,2960015,12
北小町,ｷﾀｺﾏﾁ,2960101,12
京田,ｷｮｳﾃﾞﾝ,2960022,12
清澄,ｷﾖｽﾐ,2995505,12
金束,ｺﾂﾞｶ,2960233,12
古畑,ｺﾊﾞﾀ,2960234,12
小湊,ｺﾐﾅﾄ,2995501,12
佐野,ｻﾉ,2960236,12
下小原,ｼﾓｺﾊﾞﾗ,2960102,12
主基西,ｽｷﾆｼ,2960106,12
代,ﾀﾞｲ,2992854,12
大里,ﾀﾞｲﾘ,2960011,12
竹平,ﾀｹﾋﾗ,2960021,12
田原西,ﾀﾊﾞﾗﾆｼ,2960013,12
寺門,ﾃﾗｶﾄﾞ,2960122,12
仲,ﾅｶ,2960111,12
仲町,ﾅｶﾁｮｳ,2992851,12
北風原,ﾅﾗｲﾊﾗ,2960123,12
奈良林,ﾅﾗﾊﾞﾔｼ,2960235,12
成川,ﾅﾘｶﾞﾜ,2960105,12
西,ﾆｼ,2992856,12
西江見,ﾆｼｴﾐ,2992841,12
西町,ﾆｼﾁｮｳ,2960043,12
西山,ﾆｼﾔﾏ,2992867,12
滑谷,ﾇｶﾘﾔ,2960034,12
畑,ﾊﾀ,2992855,12
花房,ﾊﾅﾌﾞｻ,2960032,12
浜荻,ﾊﾏｵｷﾞ,2995504,12
坂東,ﾊﾞﾝﾄﾞｳ,2960016,12
東,ﾋｶﾞｼ,2992857,12
東江見,ﾋｶﾞｼｴﾐ,2992843,12
東町,ﾋｶﾞｼﾁｮｳ,2960041,12
東元浜荻飛地,ﾋｶﾞｼﾓﾄﾊﾏｵｷﾞﾄﾋﾞﾁ,2960042,12
平塚,ﾋﾗﾂｶ,2960232,12
広場,ﾋﾛﾊﾞ,2960044,12
二子,ﾌﾀｺﾞ,2992852,12
太尾,ﾌﾄｵ,2960014,12
太海,ﾌﾄﾐ,2992862,12
太海浜,ﾌﾄﾐﾊﾏ,2992863,12
太海西,ﾌﾄﾐﾆｼ,2992861,12
細野,ﾎｿﾉ,2960114,12
前原,ﾏｴﾊﾞﾗ,2960002,12
松尾寺,ﾏﾂｵｼﾞ,2960115,12
南小町,ﾐﾅﾐｺﾏﾁ,2960104,12
宮,ﾐﾔ,2992853,12
宮山,ﾐﾔﾔﾏ,2960112,12
八色,ﾔｲﾛ,2960033,12
横尾,ﾖｺｵ,2960125,12
横渚,ﾖｺｽｶ,2960001,12
吉尾西,ﾖｼｵﾆｼ,2960126,12
吉尾平塚,ﾖｼｵﾋﾗﾂｶ,2960113,12
四方木,ﾖﾓｷﾞ,2995506,12
来秀,ﾗｲｼｭｳ,2960012,12
