another_name,another_name_kana,post_id,prefecture_id
,,0000000,17
青草町,ｱｵｸｻﾏﾁ,9200907,17
相合谷町,ｱｵﾀﾞﾆﾏﾁ,9201322,17
暁町,ｱｶﾂｷﾏﾁ,9200926,17
赤土町,ｱｶﾂﾁﾏﾁ,9200353,17
浅丘町,ｱｻｵｶﾏﾁ,9200111,17
朝加屋町,ｱｻｶﾔﾏﾁ,9201132,17
浅川町,ｱｻｶﾜﾏﾁ,9201145,17
朝霧台,ｱｻｷﾞﾘﾀﾞｲ,9201158,17
浅野本町,ｱｻﾉﾎﾝﾏﾁ,9200841,17
朝日牧町,ｱｻﾋﾏｷﾏﾁ,9200126,17
旭町,ｱｻﾋﾏﾁ,9200941,17
小豆沢町,ｱｽﾞｷｻﾞﾜﾏﾁ,9201107,17
油車,ｱﾌﾞﾗｸﾞﾙﾏ,9200996,17
天池町,ｱﾏｲｹﾏﾁ,9201331,17
荒屋,ｱﾗﾔ,9203124,17
荒屋町,ｱﾗﾔﾏﾁ,9203125,17
荒山町,ｱﾗﾔﾏﾏﾁ,9201101,17
有松,ｱﾘﾏﾂ,9218161,17
粟崎町,ｱﾜｶﾞｻｷﾏﾁ,9200226,17
粟崎浜町,ｱﾜｶﾞｻｷﾊﾏﾏﾁ,9200227,17
池田町一番丁,ｲｹﾀﾞﾏﾁ1ﾊﾞﾝﾁｮｳ,9200983,17
池田町二番丁,ｲｹﾀﾞﾏﾁ2ﾊﾞﾝﾁｮｳ,9200984,17
池田町三番丁,ｲｹﾀﾞﾏﾁ3ﾊﾞﾝﾁｮｳ,9200985,17
池田町四番丁,ｲｹﾀﾞﾏﾁ4ﾊﾞﾝﾁｮｳ,9200986,17
池田町立丁,ｲｹﾀﾞﾏﾁﾀﾃﾁｮｳ,9200987,17
石黒町,ｲｼｸﾞﾛﾏﾁ,9201115,17
石引,ｲｼﾋﾞｷ,9200935,17
泉,ｲｽﾞﾐ,9218041,17
泉が丘,ｲｽﾞﾐｶﾞｵｶ,9218035,17
泉野出町,ｲｽﾞﾐﾉﾃﾞﾏﾁ,9218116,17
泉野町,ｲｽﾞﾐﾉﾏﾁ,9218034,17
泉本町,ｲｽﾞﾐﾎﾝﾏﾁ,9218042,17
出雲町,ｲｽﾞﾓﾏﾁ,9200056,17
磯部町,ｲｿﾍﾞﾏﾁ,9200012,17
板ケ谷町,ｲﾀｶﾞﾔﾏﾁ,9201116,17
市瀬町,ｲﾁﾉｾﾏﾁ,9200145,17
糸田,ｲﾄﾀﾞ,9218014,17
糸田新町,ｲﾄﾀﾞｼﾝﾏﾁ,9218026,17
いなほ,ｲﾅﾎ,9200378,17
茨木町,ｲﾊﾞﾗｷﾞﾁｮｳ,9200994,17
今泉町,ｲﾏｲｽﾞﾐﾏﾁ,9200125,17
今昭町,ｲﾏｼｮｳﾏﾁ,9200008,17
今町,ｲﾏﾏﾁ,9200106,17
入江,ｲﾘｴ,9218011,17
岩出町,ｲﾜﾃﾞﾏﾁ,9200171,17
上野本町,ｳｴﾉﾎﾝﾏﾁ,9200943,17
上山町,ｳｴﾔﾏﾏﾁ,9201113,17
魚帰町,ｳｵｶﾞｴﾘﾏﾁ,9201111,17
鶯町,ｳｸﾞｲｽﾏﾁ,9200837,17
卯辰町,ｳﾀﾂﾏﾁ,9200832,17
打尾町,ｳﾁｵﾏﾁ,9201149,17
打木町,ｳﾂｷﾞﾏﾁ,9200377,17
畝田中,ｳﾈﾀﾞﾅｶ,9200343,17
畝田町,ｳﾈﾀﾞﾏﾁ,9200342,17
畝田東,ｳﾈﾀﾞﾋｶﾞｼ,9200344,17
畝田西,ｳﾈﾀﾞﾆｼ,9200342,17
梅田町,ｳﾒﾀﾞﾏﾁ,9203111,17
