another_name,another_name_kana,post_id,prefecture_id
,,0000000,32
青原,ｱｵﾊﾗ,6995211,32
商人,ｱｷﾝﾄﾞ,0000000,32
池村,ｲｹﾑﾗ,6995216,32
後田,ｳｼﾛﾀﾞ,6995605,32
河村,ｶﾜﾑﾗ,6995212,32
耕田,ｺｳﾀﾞ,6995607,32
笹山,ｻｻﾔﾏ,6995603,32
左鐙,ｻﾌﾞﾐ,6995202,32
須川,ｽｶﾞﾜ,6995204,32
相撲ケ原,ｽﾓｳｶﾞﾊﾗ,6995203,32
添谷,ｿｴﾀﾞﾆ,6995213,32
高峯,ﾀｶﾐﾈ,6995614,32
瀧谷,ﾀｷﾀﾞﾆ,6995205,32
瀧元,ﾀｷﾓﾄ,6995206,32
直地,ﾀﾀﾞﾁ,6995602,32
田二穂,ﾀﾆﾎ,6995617,32
溪村,ﾀﾆﾑﾗ,6995214,32
寺田,ﾃﾗﾀﾞ,6995606,32
冨田,ﾄﾐﾀ,6995215,32
豊稼,ﾄﾖｶ,6995632,32
内美,ﾅｲﾐ,6995621,32
中川,ﾅｶｶﾞﾜ,6995634,32
中座,ﾅｶｻﾞ,6995612,32
中曽野,ﾅｶｿﾉ,6995636,32
中山,ﾅｶﾔﾏ,6995631,32
長福,ﾅｶﾞﾌｸ,6995633,32
名賀,ﾅﾖｼ,6995615,32
日原,ﾆﾁﾊﾗ,6995221,32
吹野,ﾌｷﾉ,6995637,32
部栄,ﾌﾞｻｶ,6995616,32
枕瀬,ﾏｸﾗｾ,6995207,32
町田,ﾏﾁﾀﾞ,6995611,32
邑輝,ﾑﾗｷ,6995622,32
森村,ﾓﾘﾑﾗ,6995604,32
柳村,ﾔﾅｷﾞﾑﾗ,6995217,32
山下,ﾔﾏｼﾀ,6995635,32
鷲原,ﾜｼﾊﾞﾗ,6995613,32
