another_name,another_name_kana,post_id,prefecture_id
,,0000000,21
相生町,ｱｲｵｲﾁｮｳ,5013851,21
赤渕,ｱｶﾌﾁ,5013978,21
上利町,ｱｶﾞﾘﾏﾁ,5013852,21
朝倉町,ｱｻｸﾗﾁｮｳ,5013853,21
旭ケ丘,ｱｻﾋｶﾞｵｶ,5013829,21
安桜台,ｱｻｸﾗﾀﾞｲ,5013808,21
安桜山,ｱｻｸﾗﾔﾏ,5013807,21
吾妻町,ｱﾂﾞﾏﾁｮｳ,5013845,21
池尻,ｲｹｼﾞﾘ,5013264,21
池田町,ｲｹﾀﾞﾁｮｳ,5013247,21
居敷町,ｲｼｷﾁｮｳ,5013966,21
伊勢町,ｲｾﾏﾁ,5013841,21
板取,ｲﾀﾄﾞﾘ,5012901,21
市平賀,ｲﾁﾋﾗｶﾞ,5013822,21
一本木町,ｲｯﾎﾟﾝｷﾞﾁｮｳ,5013979,21
稲口,ｲﾅｸﾞﾁ,5013932,21
稲河町,ｲﾅｺﾞﾁｮｳ,5013913,21
鋳物師屋,ｲﾓｼﾞﾔ,5013914,21
いろは町,ｲﾛﾊﾁｮｳ,5013855,21
植野,ｳｴﾉ,5013951,21
梅ケ枝町,ｳﾒｶﾞｴﾁｮｳ,5013974,21
円保通,ｴﾝﾎﾞﾄﾞｵﾘ,5013804,21
大杉,ｵｵｽｷﾞ,5013922,21
大坪,ｵｵﾂﾎﾞ,5013801,21
小瀬,ｵｾﾞ,5013265,21
小瀬長池町,ｵｾﾞﾅｶﾞｲｹﾁｮｳ,5013268,21
小瀬南,ｵｾﾞﾐﾅﾐ,5013266,21
小野,ｵﾉ,5013201,21
尾太町,ｵﾌﾞﾄﾁｮｳ,5013210,21
小屋名,ｵﾔﾅ,5013941,21
笠屋,ｶｻﾔ,5013910,21
貸上町,ｶｼｱｹﾞﾁｮｳ,5013214,21
鍛冶町,ｶｼﾞﾁｮｳ,5013871,21
春日町,ｶｽｶﾞﾁｮｳ,5013865,21
片倉町,ｶﾀｸﾗﾁｮｳ,5013963,21
金屋町,ｶﾅﾔﾁｮｳ,5013872,21
兼永町,ｶﾈﾅｶﾞﾁｮｳ,5013862,21
上大野,ｶﾐｵｵﾉ,5013204,21
上白金,ｶﾐｼﾛｶﾈ,5013947,21
神野,ｶﾐﾉ,5013203,21
上之保,ｶﾐﾉﾎ,5013601,21
河合町,ｶﾜｲﾁｮｳ,5013877,21
川間町,ｶﾜﾏﾁｮｳ,5013235,21
観音前,ｶﾝﾉﾝﾏｴ,5013835,21
観音山,ｶﾝﾉﾝﾔﾏ,5013806,21
北天神,ｷﾀﾃﾝｼﾞﾝ,5013917,21
北福野町,ｷﾀﾌｸﾉﾁｮｳ,5013245,21
吉田町,ｷｯﾀﾏﾁ,5013843,21
貴船町,ｷﾌﾞﾈﾁｮｳ,5013876,21
希望ケ丘,ｷﾎﾞｳｶﾞｵｶ,5013942,21
桐ヶ丘,ｷﾘｶﾞｵｶ,5013938,21
桐谷台,ｷﾘﾔﾀﾞｲ,5013934,21
倉知,ｸﾗﾁ,5013936,21
倉知南,ｸﾗﾁﾐﾅﾐ,5013930,21
黒屋,ｸﾛﾔ,5013207,21
向陽台,ｺｳﾖｳﾀﾞｲ,5013927,21
寿町,ｺﾄﾌﾞｷﾁｮｳ,5013908,21
小迫間,ｺﾊﾞｻﾏ,5013926,21
小柳町,ｺﾔﾅｷﾞﾁｮｳ,5013861,21
