another_name,another_name_kana,post_id,prefecture_id
,,0000000,41
旭が丘,ｱｻﾋｶﾞｵｶ,8470823,41
朝日町,ｱｻﾋﾏﾁ,8470841,41
石志,ｲｼｼ,8470832,41
魚屋町,ｳｵﾔﾏﾁ,8470042,41
宇木,ｳｷ,8470025,41
後川内,ｳｼﾛｶﾞﾜﾁ,8470804,41
浦,ｳﾗ,8470124,41
江川町,ｴｶﾞﾜﾏﾁ,8470853,41
枝去木,ｴｻﾞﾙｷ,8470123,41
相賀,ｵｳｶ,8470132,41
相知町伊岐佐,ｵｳﾁﾁｮｳｲｷｻ,8493223,41
相知町相知,ｵｳﾁﾁｮｳｵｳﾁ,8493201,41
相知町大野,ｵｳﾁﾁｮｳｵｵﾉ,8493221,41
相知町楠,ｵｳﾁﾁｮｳｸｽ,8493215,41
相知町久保,ｵｳﾁﾁｮｳｸﾎﾞ,8493232,41
相知町黒岩,ｵｳﾁﾁｮｳｸﾛｲﾜ,8493222,41
相知町佐里,ｵｳﾁﾁｮｳｻﾘ,8493233,41
相知町千束,ｵｳﾁﾁｮｳｾﾝｿﾞｸ,8493211,41
相知町田頭,ｵｳﾁﾁｮｳﾀｶﾞｼﾗ,8493214,41
相知町鷹取,ｵｳﾁﾁｮｳﾀｶﾄﾘ,8493219,41
相知町町切,ｵｳﾁﾁｮｳﾁｮｳｷﾞﾘ,8493216,41
相知町長部田,ｵｳﾁﾁｮｳﾅｶﾞﾍﾀ,8493217,41
相知町中山,ｵｳﾁﾁｮｳﾅｶﾔﾏ,8493218,41
相知町平山上,ｵｳﾁﾁｮｳﾋﾗﾔﾏｶﾐ,8493203,41
相知町平山下,ｵｳﾁﾁｮｳﾋﾗﾔﾏｼﾓ,8493202,41
相知町牟田部,ｵｳﾁﾁｮｳﾑﾀﾍﾞ,8493231,41
相知町山崎,ｵｳﾁﾁｮｳﾔﾏｻｷ,8493224,41
相知町湯屋,ｵｳﾁﾁｮｳﾕﾔ,8493213,41
相知町横枕,ｵｳﾁﾁｮｳﾖｺﾏｸﾗ,8493212,41
大石町,ｵｵｲｼﾏﾁ,8470066,41
海岸通,ｶｲｶﾞﾝﾄﾞｵﾘ,8470873,41
鏡,ｶｶﾞﾐ,8470022,41
鏡新開,ｶｶﾞﾐｼﾝｶｲ,8470028,41
水主町,ｶｺﾏﾁ,8470065,41
柏崎,ｶｼﾜｻﾞｷ,8470026,41
神集島,ｶｼﾜｼﾞﾏ,8470131,41
刀町,ｶﾀﾅﾏﾁ,8470055,41
北城内,ｷﾀｼﾞｮｳﾅｲ,8470015,41
北波多大杉,ｷﾀﾊﾀｵｵｽｷﾞ,8471212,41
北波多上平野,ｷﾀﾊﾀｶﾐﾋﾗﾉ,8471221,41
北波多岸山,ｷﾀﾊﾀｷｼﾔﾏ,8471211,41
北波多志気,ｷﾀﾊﾀｼｹﾞ,8471225,41
北波多下平野,ｷﾀﾊﾀｼﾓﾋﾗﾉ,8471223,41
北波多竹有,ｷﾀﾊﾀﾀｹｱﾘ,8471213,41
北波多田中,ｷﾀﾊﾀﾀﾅｶ,8471202,41
北波多徳須恵,ｷﾀﾊﾀﾄｸｽｴ,8471201,41
北波多成渕,ｷﾀﾊﾀﾅﾙﾌﾁ,8471222,41
北波多稗田,ｷﾀﾊﾀﾋｴﾀﾞ,8471214,41
北波多山彦,ｷﾀﾊﾀﾔﾏﾋｺ,8471203,41
北波多行合野,ｷﾀﾊﾀﾕｷｱｲﾉ,8471224,41
厳木町天川,ｷｭｳﾗｷﾞﾏﾁｱﾏｶﾞﾜ,8493101,41
厳木町岩屋,ｷｭｳﾗｷﾞﾏﾁｲﾜﾔ,8493123,41
厳木町うつぼ木,ｷｭｳﾗｷﾞﾏﾁｳﾂﾎﾞｷ,8493132,41
厳木町浦川内,ｷｭｳﾗｷﾞﾏﾁｳﾗｶﾞﾜﾁ,8493114,41
厳木町厳木,ｷｭｳﾗｷﾞﾏﾁｷｭｳﾗｷﾞ,8493131,41
厳木町瀬戸木場,ｷｭｳﾗｷﾞﾏﾁｾﾄｺﾊﾞ,8493121,41
厳木町鳥越,ｷｭｳﾗｷﾞﾏﾁﾄﾘｺﾞｴ,8493102,41
厳木町中島,ｷｭｳﾗｷﾞﾏﾁﾅｶｼﾏ,8493112,41
厳木町浪瀬,ｷｭｳﾗｷﾞﾏﾁﾅﾐｾ,8493122,41
厳木町平之,ｷｭｳﾗｷﾞﾏﾁﾋﾗﾉ,8493115,41
厳木町広川,ｷｭｳﾗｷﾞﾏﾁﾋﾛｶﾜ,8493103,41
厳木町広瀬,ｷｭｳﾗｷﾞﾏﾁﾋﾛｾ,8493111,41
厳木町星領,ｷｭｳﾗｷﾞﾏﾁﾎｼﾘｮｳ,8493104,41
厳木町牧瀬,ｷｭｳﾗｷﾞﾏﾁﾏｷｾ,8493113,41
厳木町本山,ｷｭｳﾗｷﾞﾏﾁﾓﾄﾔﾏ,8493133,41
京町,ｷｮｳﾏﾁ,8470045,41
木綿町,ｷﾜﾀﾏﾁ,8470044,41
熊原町,ｸﾏﾉﾊﾗﾏﾁ,8470817,41
熊ノ峰,ｸﾏﾉﾐﾈ,8470884,41
久里,ｸﾘ,8470033,41
神田,ｺｳﾀﾞ,8470824,41
呉服町,ｺﾞﾌｸﾏﾁ,8470052,41
米屋町,ｺﾒﾔﾏﾁ,8470054,41
紺屋町,ｺﾝﾔﾏﾁ,8470053,41
材木町,ｻﾞｲﾓｸﾏﾁ,8470061,41
栄町,ｻｶｴﾏﾁ,8470011,41
桜馬場,ｻｸﾗﾉﾊﾞﾊﾞ,8470843,41
桜町,ｻｸﾗﾏﾁ,8470104,41
佐志,ｻｼ,8470111,41
佐志中里,ｻｼﾅｶｻﾞﾄ,8470113,41
佐志中通,ｻｼﾅｶﾄﾞｵﾘ,8470114,41
佐志浜町,ｻｼﾊﾏﾏﾁ,8470115,41
佐志南,ｻｼﾐﾅﾐ,8470112,41
重河内,ｼｹﾞｶﾜﾁ,8470883,41
十人町,ｼﾞｭｳﾆﾝﾏﾁ,8470067,41
