another_name,another_name_kana,post_id,prefecture_id
,,0000000,23
愛知町,ｱｲﾁﾁｮｳ,4860933,23
明知町,ｱｹﾁﾁｮｳ,4800303,23
旭町,ｱｻﾋﾏﾁ,4860929,23
朝宮町,ｱｻﾐﾔﾁｮｳ,4860846,23
浅山町,ｱｻﾔﾏﾁｮｳ,4860857,23
味美上ノ町,ｱｼﾞﾖｼｶﾐﾉﾁｮｳ,4860965,23
味美西本町,ｱｼﾞﾖｼﾆｼﾎﾝﾏﾁ,4860967,23
味美白山町,ｱｼﾞﾖｼﾊｸｻﾝﾁｮｳ,4860969,23
味美町,ｱｼﾞﾖｼﾁｮｳ,4860968,23
穴橋町,ｱﾅﾊｼﾁｮｳ,4860853,23
石尾台,ｲｼｵﾀﾞｲ,4870006,23
稲口町,ｲﾅｸﾞﾁﾁｮｳ,4860905,23
杁ケ島町,ｲﾘｶﾞｼﾏﾁｮｳ,4860921,23
岩成台,ｲﾜﾅﾘﾀﾞｲ,4870033,23
岩野町,ｲﾜﾉﾁｮｳ,4860805,23
上野町,ｳｴﾉﾁｮｳ,4800306,23
牛山町,ｳｼﾔﾏﾁｮｳ,4860901,23
内津町,ｳﾂﾂﾁｮｳ,4800301,23
梅ケ坪町,ｳﾒｶﾞﾂﾎﾞﾁｮｳ,4860856,23
王子町,ｵｳｼﾞﾁｮｳ,4860834,23
大手田酉町,ｵｵﾃﾞﾀﾄﾘﾁｮｳ,4860806,23
大手町,ｵｵﾃﾞﾁｮｳ,4860807,23
大留町,ｵｵﾄﾞﾒﾁｮｳ,4870024,23
小木田町,ｵｷﾞﾀﾁｮｳ,4860827,23
押沢台,ｵｼｻﾞﾜﾀﾞｲ,4870005,23
乙輪町,ｵﾄﾜﾁｮｳ,4860832,23
小野町,ｵﾉﾁｮｳ,4860926,23
神屋町,ｶｷﾞﾔﾁｮｳ,4800304,23
柏井町,ｶｼﾜｲﾁｮｳ,4860927,23
柏原町,ｶｼﾊﾗﾁｮｳ,4860913,23
春日井上ノ町,ｶｽｶﾞｲｶﾐﾉﾁｮｳ,4860961,23
春日井町,ｶｽｶﾞｲﾁｮｳ,4860963,23
勝川新町,ｶﾁｶﾞﾜｼﾝﾏﾁ,4860941,23
勝川町,ｶﾁｶﾞﾜﾁｮｳ,4860945,23
勝川町西,ｶﾁｶﾞﾜﾁｮｳﾆｼ,4860946,23
