another_name,another_name_kana,post_id,prefecture_id
,,0000000,8
有河,ｱﾙｶﾞ,3000212,8
粟田,ｱﾜﾀﾞ,3150078,8
安食,ｱﾝｼﾞｷ,3000205,8
飯田,ｲｲﾀﾞ,3150063,8
市川,ｲﾁｶﾜ,3150071,8
稲吉,ｲﾅﾖｼ,3150054,8
稲吉東,ｲﾅﾖｼﾋｶﾞｼ,3150053,8
稲吉南,ｲﾅﾖｼﾐﾅﾐ,3150055,8
岩坪,ｲﾜﾂﾎﾞ,3000203,8
牛渡,ｳｼﾜﾀ,3000213,8
大峰,ｵｵﾐﾈ,3150064,8
大和田,ｵｵﾜﾀﾞ,3000124,8
男神,ｵｶﾞﾐ,3000132,8
柏崎,ｶｼﾜｻﾞｷ,3000201,8
上稲吉,ｶﾐｲﾅﾖｼ,3150056,8
上大堤,ｶﾐｵｵﾂﾞﾂﾐ,3000127,8
上軽部,ｶﾐｶﾙﾍﾞ,3000123,8
上佐谷,ｶﾐｻﾔ,3150065,8
上志筑,ｶﾐｼﾂﾞｸ,3150076,8
上土田,ｶﾐﾂﾁﾀﾞ,3150057,8
加茂,ｶﾓ,3000135,8
五反田,ｺﾞﾀﾝﾀﾞ,3150061,8
坂,ｻｶ,3000214,8
宍倉,ｼｼｸﾗ,3000121,8
志戸崎,ｼﾄｻﾞｷ,3000211,8
下稲吉,ｼﾓｲﾅﾖｼ,3150052,8
下大堤,ｼﾓｵｵﾂﾞﾂﾐ,3000131,8
下軽部,ｼﾓｶﾙﾍﾞ,3000204,8
下佐谷,ｼﾓｻﾔ,3150067,8
下志筑,ｼﾓｼﾂﾞｸ,3150074,8
下土田,ｼﾓﾂﾁﾀﾞ,3150058,8
高倉,ﾀｶｸﾗ,3150077,8
田伏,ﾀﾌﾞｾ,3000202,8
戸崎,ﾄｻﾞｷ,3000136,8
中佐谷,ﾅｶｻﾔ,3150066,8
中志筑,ﾅｶｼﾂﾞｸ,3150075,8
中台,ﾅｶﾀﾞｲ,3000133,8
新治,ﾆｲﾊﾘ,3150051,8
西成井,ﾆｼﾅﾙｲ,3000122,8
西野寺,ﾆｼﾉﾃﾞﾗ,3150073,8
東野寺,ﾋｶﾞｼﾉﾃﾞﾗ,3150072,8
深谷,ﾌｶﾔ,3000134,8
三ツ木,ﾐﾂｷﾞ,3000125,8
南根本,ﾐﾅﾐﾈﾓﾄ,3000126,8
山本,ﾔﾏﾓﾄ,3150068,8
雪入,ﾕｷｲﾘ,3150069,8
横堀,ﾖｺﾎﾞﾘ,3150062,8
