another_name,another_name_kana,post_id,prefecture_id
,,0000000,28
秋津,ｱｷﾂ,6731302,28
厚利,ｱﾂﾄｼ,6731338,28
家原,ｲｴﾊﾗ,6731451,28
池之内,ｲｹﾉｳﾁ,6731413,28
出水,ｲｽﾞﾐ,6731442,28
稲尾,ｲﾅｵ,6790203,28
岩屋,ｲﾜﾔ,6731321,28
上田,ｳｴﾀﾞ,6731446,28
馬瀬,ｳﾏｾﾞ,6731404,28
永福,ｴｲﾌｸ,6731313,28
多井田,ｵｲﾀﾞ,6790202,28
大畑,ｵｵﾊﾀ,6731325,28
岡本,ｵｶﾓﾄ,6731323,28
小沢,ｵｻﾞﾜ,6731333,28
貝原,ｶｲﾊﾗ,6731453,28
梶原,ｶｼﾞﾜﾗ,6731463,28
上鴨川,ｶﾐｶﾓｶﾞﾜ,6731401,28
上久米,ｶﾐｸﾒ,6731414,28
上滝野,ｶﾐﾀｷﾉ,6790211,28
上中,ｶﾐﾅｶ,6731464,28
上三草,ｶﾐﾐｸｻ,6731472,28
喜田,ｷﾀ,6731465,28
北野,ｷﾀﾉ,6790205,28
木梨,ｷﾅｼ,6731461,28
窪田,ｸﾎﾞﾀ,6731456,28
久米,ｸﾒ,6731416,28
黒谷,ｸﾛﾀﾞﾆ,6731301,28
河高,ｺｳﾀｶ,6790221,28
光明寺,ｺｳﾐｮｳｼﾞ,6790213,28
栄枝,ｻｶｴ,6731332,28
桜台,ｻｸﾗﾀﾞｲ,6790223,28
佐保,ｻﾎ,6731447,28
沢部,ｻﾜﾍﾞ,6731444,28
下鴨川,ｼﾓｶﾓｶﾞﾜ,6731403,28
下久米,ｼﾓｸﾒ,6731415,28
下滝野,ｼﾓﾀｷﾉ,6790212,28
下三草,ｼﾓﾐｸｻ,6731473,28
少分谷,ｼｮｳﾌﾞﾀﾞﾆ,6731303,28
新定,ｼﾝｼﾞｮｳ,6731324,28
新町,ｼﾝﾏﾁ,6790204,28
曽我,ｿｶﾞ,6790201,28
大門,ﾀﾞｲﾓﾝ,6731445,28
高岡,ﾀｶｵｶ,6790222,28
滝野団地,ﾀｷﾉﾀﾞﾝﾁ,6790207,28
田中,ﾀﾅｶ,6731441,28
天神,ﾃﾝｼﾞﾝ,6731311,28
東実,ﾄｳｼﾞﾂ,6731434,28
鳥居,ﾄﾘｲ,6731452,28
中古瀬,ﾅｶｺﾞｾ,6731424,28
長貞,ﾅｶﾞｻﾀﾞ,6731304,28
西古瀬,ﾆｼｺｾ,6731425,28
西垂水,ﾆｼﾀﾙﾐ,6731455,28
野村,ﾉﾑﾗ,6731454,28
掎鹿谷,ﾊｼｶﾀﾞﾆ,6731312,28
畑,ﾊﾀ,6731411,28
東古瀬,ﾋｶﾞｼｺﾞｾ,6731423,28
東垂水,ﾋｶﾞｼﾀﾙﾐ,6731336,28
平木,ﾋﾗｷ,6731402,28
ひろのが丘,ﾋﾛﾉｶﾞｵｶ,6731432,28
福吉,ﾌｸﾖｼ,6731443,28
藤田,ﾌｼﾞﾀ,6731462,28
穂積,ﾎﾂﾞﾐ,6790206,28
牧野,ﾏｷﾉ,6731474,28
松尾,ﾏﾂｵ,6731433,28
松沢,ﾏﾂｻﾞﾜ,6731337,28
廻渕,ﾏﾜﾘﾌﾞﾁ,6731412,28
南山,ﾐﾅﾐﾔﾏ,6731341,28
森,ﾓﾘ,6731322,28
森尾,ﾓﾘｵ,6731331,28
社,ﾔｼﾛ,6731431,28
屋度,ﾔﾄﾞ,6731422,28
藪,ﾔﾌﾞ,6731335,28
山口,ﾔﾏｸﾞﾁ,6731471,28
山国,ﾔﾏｸﾆ,6731421,28
横谷,ﾖｺﾀﾞﾆ,6731314,28
吉井,ﾖｼｲ,6731334,28
吉馬,ﾖｼﾏ,6731475,28
