another_name,another_name_kana,post_id,prefecture_id
,,0000000,29
今在家,ｲﾏｻﾞｲｹ,6390274,29
梅室,ｳﾒﾑﾛ,6392133,29
太田,ｵｵﾀ,6392153,29
大屋,ｵｵﾔ,6392145,29
忍海,ｵｼﾐ,6392123,29
大畑,ｵﾊﾞﾀｹ,6392152,29
柿本,ｶｷﾉﾓﾄ,6392111,29
勝根,ｶﾂﾈ,6390275,29
葛木,ｶﾂﾗｷﾞ,6392144,29
加守,ｶﾓﾘ,6390271,29
北花内,ｷﾀﾊﾅｳﾁ,6392113,29
北道穂,ｷﾀﾐﾂﾎﾞ,6392142,29
木戸,ｷﾄﾞ,6392161,29
新村,ｼﾑﾗ,6392121,29
尺土,ｼｬｸﾄﾞ,6392162,29
新在家,ｼﾝｻﾞｲｹ,6390272,29
新庄,ｼﾝｼﾞｮｳ,6392147,29
新町,ｼﾝﾏﾁ,6392127,29
染野,ｿﾒﾉ,6390273,29
當麻,ﾀｲﾏ,6390276,29
竹内,ﾀｹﾉｳﾁ,6392155,29
寺口,ﾃﾗｸﾞﾁ,6392135,29
長尾,ﾅｶﾞｵ,6392164,29
中戸,ﾅｶﾄ,6392146,29
西辻,ﾆｼﾂｼﾞ,6392125,29
西室,ﾆｼﾑﾛ,6392103,29
薑,ﾊｼﾞｶﾐ,6392122,29
八川,ﾊﾁｶﾞﾜ,6392163,29
林堂,ﾊﾔｼﾄﾞｳ,6392131,29
東室,ﾋｶﾞｼﾑﾛ,6392102,29
疋田,ﾋｷﾀﾞ,6392101,29
兵家,ﾋｮｳｹﾞ,6392154,29
平岡,ﾋﾗｵｶ,6392136,29
笛堂,ﾌｴﾄﾞｳ,6392112,29
笛吹,ﾌｴﾌｷ,6392132,29
弁之庄,ﾍﾞﾝﾉｼｮｳ,6392141,29
南今市,ﾐﾅﾐｲﾏｲﾁ,6392151,29
南新町,ﾐﾅﾐｼﾝﾏﾁ,6392123,29
南花内,ﾐﾅﾐﾊﾅｳﾁ,6392126,29
南藤井,ﾐﾅﾐﾌｼﾞｲ,6392137,29
南道穂,ﾐﾅﾐﾐﾂﾎﾞ,6392143,29
山口,ﾔﾏｸﾞﾁ,6392134,29
山田,ﾔﾏﾀﾞ,6392138,29
脇田,ﾜｷﾀﾞ,6392124,29
