another_name,another_name_kana,post_id,prefecture_id
,,0000000,12
赤羽根,ｱｶﾊﾞﾈ,2995263,12
荒川,ｱﾗｶﾜ,2995273,12
市野川,ｲﾁﾉｶﾜ,2995202,12
市野郷,ｲﾁﾉｺﾞｳ,2995201,12
出水,ｲﾃﾞﾐｽﾞ,2995235,12
上野,ｳｴﾉ,2995266,12
植野,ｳｴﾉﾓﾄﾐﾔﾀ,2995265,12
植野元宮田,ｳﾊﾞﾗ,2995267,12
鵜原,ｵｵｸｽ,2995243,12
大楠,ｵｵｻﾜ,2995217,12
大沢,ｵｵﾓﾘ,2995256,12
大森,ｵｵﾓﾘｶﾐｳｴﾉｲﾘｱｲﾁ,2995261,12
大森上植野入会地,ｵｷﾂ,2995251,12
興津,ｵｷﾂｸﾎﾞﾔﾏﾀﾞｲ,2995245,12
興津久保山台,ｶｲｶﾞｹ,2995246,12
貝掛,ｶﾂｳﾗ,2995272,12
勝浦,ｶﾆﾀ,2995234,12
蟹田,ｶﾐｳｴﾉ,2995212,12
上植野,ｶﾜﾂﾞ,2995252,12
川津,ｸｼﾊﾏ,2995232,12
串浜,ｺﾊﾞﾄﾞ,2995226,12
小羽戸,ｺﾏﾂﾉ,2995218,12
小松野,ｻﾉ,2995219,12
佐野,ｻﾜｸﾗ,2995206,12
沢倉,ｼｭｸﾄﾞ,2995231,12
宿戸,ｼﾗｲｸﾎﾞ,2995216,12
白井久保,ｼﾗｷ,2995215,12
白木,ｼﾝｶﾝ,2995214,12
新官,ｼﾝﾄﾞ,2995224,12
新戸,ｽｷﾞﾄﾞ,2995228,12
杉戸,ｾｷﾔﾂ,2995205,12
関谷,ﾀﾞｲｼﾞｭｸ,2995222,12
台宿,ﾄﾅ,2995254,12
墨名,ﾅｶｸﾞﾗ,2995225,12
中倉,ﾅｶｻﾞﾄ,2995204,12
中里,ﾅｶｼﾞﾏ,2995262,12
中島,ﾅｶﾔ,2995264,12
中谷,ﾅｷﾞ,2995227,12
名木,ﾊｶﾞ,2995253,12
芳賀,ﾊﾅｻﾞﾄ,2995213,12
花里,ﾊﾏｶﾂｳﾗ,2995203,12
浜勝浦,ﾊﾏﾅﾒｶﾞﾜ,2995233,12
浜行川,ﾋﾗﾀ,2995255,12
平田,ﾍﾊﾞﾗ,2995221,12
部原,ﾎｳｹﾞ,2995223,12
法花,ﾏﾂﾉ,2995271,12
松野,ﾏﾂﾍﾞ,2995211,12
松部,ﾐﾅﾐﾔﾏﾀﾞ,2995241,12
南山田,ﾓﾘﾔ,2995274,12
守谷,ﾖｼｵ,2995244,12
吉尾,,2995242,12
