another_name,another_name_kana,post_id,prefecture_id
,,0000000,11
安比奈新田,ｱｲﾅｼﾝﾃﾞﾝ,3501173,11
青柳,ｱｵﾔｷﾞ,3501164,11
旭町,ｱｻﾋﾁｮｳ,3501126,11
天沼新田,ｱﾏﾇﾏｼﾝﾃﾞﾝ,3500806,11
新宿,ｱﾗｼﾞｭｸ,3501125,11
新宿町,ｱﾗｼﾞｭｸﾏﾁ,3501124,11
池辺,ｲｹﾉﾍﾞ,3501171,11
伊佐沼,ｲｻﾇﾏ,3500855,11
石田,ｲｼﾀﾞ,3500837,11
石田本郷,ｲｼﾀﾞﾎﾝｺﾞｳ,3500835,11
石原町,ｲｼﾜﾗﾏﾁ,3500824,11
泉町,ｲｽﾞﾐﾁｮｳ,3500026,11
伊勢原町,ｲｾﾊﾗﾁｮｳ,3501108,11
稲荷町,ｲﾅﾘﾁｮｳ,3501144,11
今泉,ｲﾏｲｽﾞﾐ,3500015,11
今成,ｲﾏﾅﾘ,3501105,11
今福,ｲﾏﾌｸ,3501151,11
牛子,ｳｼｺ,3500017,11
上戸,ｳﾜﾄﾞ,3500816,11
上戸新町,ｳﾜﾄﾞｼﾝﾏﾁ,3500817,11
扇河岸,ｵｳｷﾞｶﾞｼ,3501134,11
大仙波,ｵｵｾﾝﾊﾞ,3500032,11
大仙波新田,ｵｵｾﾝﾊﾞｼﾝﾃﾞﾝ,3501128,11
大塚,ｵｵﾂｶ,3501129,11
大塚新田,ｵｵﾂｶｼﾝﾃﾞﾝ,3501161,11
大塚新町,ｵｵﾂｶｼﾝﾏﾁ,3501178,11
大手町,ｵｵﾃﾏﾁ,3500057,11
大中居,ｵｵﾅｶｲ,3500021,11
大袋,ｵｵﾌｸﾛ,3501168,11
大袋新田,ｵｵﾌｸﾛｼﾝﾃﾞﾝ,3501167,11
小ケ谷,ｵｶﾞﾔ,3501104,11
御成町,ｵﾅﾘﾁｮｳ,3500841,11
萱沼,ｶｲﾇﾏ,3500012,11
笠幡,ｶｻﾊﾀ,3501175,11
かし野台,ｶｼﾉﾀﾞｲ,3501179,11
霞ケ関東,ｶｽﾐｶﾞｾｷﾋｶﾞｼ,3501103,11
霞ケ関北,ｶｽﾐｶﾞｾｷｷﾀ,3501109,11
かすみ野,ｶｽﾐﾉ,3501174,11
上老袋,ｶﾐｵｲﾌﾞｸﾛ,3500845,11
上新河岸,ｶﾐｼﾝｶﾞｼ,3501135,11
上寺山,ｶﾐﾃﾗﾔﾏ,3500826,11
上野田町,ｶﾐﾉﾀﾞﾏﾁ,3501112,11
上松原,ｶﾐﾏﾂﾊﾞﾗ,3501154,11
鴨田,ｶﾓﾀﾞ,3500844,11
川越,ｶﾜｺﾞｴ,3500852,11
川鶴,ｶﾜﾂﾙ,3501176,11
かわつる三芳野,ｶﾜﾂﾙﾐﾖｼﾉ,3501177,11
岸,ｷｼ,3501132,11
岸町,ｷｼﾏﾁ,3501131,11
北田島,ｷﾀﾀｼﾞﾏ,3500842,11
喜多町,ｷﾀﾏﾁ,3500061,11
木野目,ｷﾉﾒ,3500016,11
久下戸,ｸｹﾞﾄﾞ,3500011,11
鯨井,ｸｼﾞﾗｲ,3500815,11
