another_name,another_name_kana,post_id,prefecture_id
,,0000000,11
青木,ｱｵｷ,3320031,11
赤井,ｱｶｲ,3340073,11
赤芝新田,ｱｶｼﾊﾞｼﾝﾃﾞﾝ,3330824,11
赤山,ｱｶﾔﾏ,3330825,11
朝日,ｱｻﾋ,3320001,11
新井宿,ｱﾗｲｼﾞｭｸ,3330826,11
新井町,ｱﾗｲﾁｮｳ,3320005,11
荒川町,ｱﾗｶﾜﾁｮｳ,3320029,11
安行,ｱﾝｷﾞｮｳ,3340059,11
安行北谷,ｱﾝｷﾞｮｳｷﾀﾔ,3340054,11
安行吉蔵,ｱﾝｷﾞｮｳｷﾁｿﾞｳ,3340053,11
安行小山,ｱﾝｷﾞｮｳｺﾔﾏ,3340055,11
安行慈林,ｱﾝｷﾞｮｳｼﾞﾘﾝ,3340071,11
安行藤八,ｱﾝｷﾞｮｳﾄｳﾊﾁ,3340051,11
安行西立野,ｱﾝｷﾞｮｳﾆｼﾀﾃﾉ,3330812,11
安行原,ｱﾝｷﾞｮｳﾊﾗ,3340057,11
安行吉岡,ｱﾝｷﾞｮｳﾖｼｵｶ,3340072,11
安行領家,ｱﾝｷﾞｮｳﾘｮｳｹ,3340058,11
安行出羽,ｱﾝｷﾞｮｳﾃﾞﾜ,3340052,11
安行領在家,ｱﾝｷﾞｮｳﾘｮｳｻﾞｲｹ,3330836,11
安行領根岸,ｱﾝｷﾞｮｳﾘｮｳﾈｷﾞｼ,3330834,11
飯塚,ｲｲﾂﾞｶ,3320023,11
飯原町,ｲｲﾊﾗﾁｮｳ,3320024,11
伊刈,ｲｶﾘ,3330865,11
石神,ｲｼｶﾞﾐ,3330823,11
江戸,ｴﾄﾞ,3340074,11
江戸袋,ｴﾄﾞﾌﾞｸﾛ,3340075,11
大竹,ｵｵﾀｹ,3340067,11
金山町,ｶﾅﾔﾏﾁｮｳ,3320014,11
上青木,ｶﾐｱｵｷ,3330844,11
上青木西,ｶﾐｱｵｷﾆｼ,3330845,11
川口,ｶﾜｸﾞﾁ,3320015,11
河原町,ｶﾜﾊﾗﾁｮｳ,3320007,11
木曽呂,ｷｿﾞﾛ,3330831,11
北園町,ｷﾀｿﾞﾉﾁｮｳ,3330862,11
北原台,ｷﾀﾊﾗﾀﾞｲ,3330815,11
久左衛門新田,ｷｭｳｻﾞｴﾓﾝｼﾝﾃﾞﾝ,3330804,11
行衛,ｷﾞｮｴ,3330814,11
源左衛門新田,ｹﾞﾝｻﾞｴﾓﾝｼﾝﾃﾞﾝ,3330822,11
神戸,ｺﾞｳﾄﾞ,3330832,11
小谷場,ｺﾔﾊﾞ,3330857,11
在家町,ｻﾞｲｹﾁｮｳ,3330863,11
幸町,ｻｲﾜｲﾁｮｳ,3320016,11
栄町,ｻｶｴﾁｮｳ,3320017,11
坂下町,ｻｶｼﾀﾁｮｳ,3340003,11
桜町,ｻｸﾗﾁｮｳ,3340001,11
差間,ｻｼﾏ,3330816,11
里,ｻﾄ,3340005,11
芝,ｼﾊﾞ,3330866,11
芝下,ｼﾊﾞｼﾓ,3330848,11
芝新町,ｼﾊﾞｼﾝﾏﾁ,3330851,11
芝園町,ｼﾊﾞｿﾞﾉﾁｮｳ,3330853,11
芝高木,ｼﾊﾞﾀｶｷﾞ,3330868,11
芝塚原,ｼﾊﾞﾂｶﾊﾞﾗ,3330856,11
芝中田,ｼﾊﾞﾅｶﾀﾞ,3330847,11
芝西,ｼﾊﾞﾆｼ,3330855,11
芝東町,ｼﾊﾞﾋｶﾞｼﾁｮｳ,3330867,11
芝樋ノ爪,ｼﾊﾞﾋﾉﾂﾒ,3330852,11
芝富士,ｼﾊﾞﾌｼﾞ,3330854,11
芝宮根町,ｼﾊﾞﾐﾔﾈﾁｮｳ,3330869,11
末広,ｽｴﾋﾛ,3320006,11
長蔵,ﾁｮｳｿﾞｳ,3330807,11
長蔵新田,ﾁｮｳｿﾞｳｼﾝﾃﾞﾝ,3330808,11
辻,ﾂｼﾞ,3340004,11
藤兵衛新田,ﾄｳﾍﾞｴｼﾝﾃﾞﾝ,3330803,11
戸塚,ﾄﾂﾞｶ,3330811,11
戸塚境町,ﾄﾂﾞｶｻｶｲﾁｮｳ,3330806,11
戸塚鋏町,ﾄﾂﾞｶﾊｻﾐﾁｮｳ,3330805,11
戸塚東,ﾄﾂﾞｶﾋｶﾞｼ,3330802,11
戸塚南,ﾄﾂﾞｶﾐﾅﾐ,3330817,11
中青木,ﾅｶｱｵｷ,3320032,11
仲町,ﾅｶﾁｮｳ,3320022,11
並木,ﾅﾐｷ,3320034,11
並木元町,ﾅﾐｷﾓﾄﾏﾁ,3320033,11
新堀,ﾆｲﾎﾘ,3340061,11
新堀町,ﾆｲﾎﾘﾁｮｳ,3340068,11
西青木,ﾆｼｱｵｷ,3320035,11
西新井宿,ﾆｼｱﾗｲｼﾞｭｸ,3330833,11
西川口,ﾆｼｶﾜｸﾞﾁ,3320021,11
西立野,ﾆｼﾀﾃﾉ,3330813,11
榛松,ﾊｴﾏﾂ,3340062,11
蓮沼,ﾊｽﾇﾏ,3340064,11
八幡木,ﾊﾁﾏﾝｷﾞ,3340012,11
鳩ヶ谷本町,ﾊﾄｶﾞﾔﾎﾝﾁｮｳ,3340002,11
鳩ヶ谷緑町,ﾊﾄｶﾞﾔﾐﾄﾞﾘﾁｮｳ,3340015,11
原町,ﾊﾗﾏﾁ,3320025,11
東内野,ﾋｶﾞｼｳﾁﾉ,3330821,11
東貝塚,ﾋｶﾞｼｶｲﾂﾞｶ,3340066,11
東川口,ﾋｶﾞｼｶﾜｸﾞﾁ,3330801,11
東本郷,ﾋｶﾞｼﾎﾝｺﾞｳ,3340063,11
東領家,ﾋｶﾞｼﾘｮｳｹ,3320003,11
舟戸町,ﾌﾅﾄﾁｮｳ,3320013,11
本町,ﾎﾝﾁｮｳ,3320012,11
本蓮,ﾎﾝﾊﾞｽ,3340076,11
本前川,ﾎﾝﾏｴｶﾜ,3330849,11
前上町,ﾏｴｶﾐﾁｮｳ,3330843,11
前川,ﾏｴｶﾜ,3330842,11
前川町,ﾏｴｶﾜﾁｮｳ,3330841,11
前田,ﾏｴﾀ,3340014,11
前野宿,ﾏｴﾉｼｭｸ,3340065,11
道合,ﾐﾁｱｲ,3330835,11
三ツ和,ﾐﾂﾜ,3340011,11
緑町,ﾐﾄﾞﾘﾁｮｳ,3320027,11
南町,ﾐﾅﾐﾁｮｳ,3320026,11
南鳩ヶ谷,ﾐﾅﾐﾊﾄｶﾞﾔ,3340013,11
南前川,ﾐﾅﾐﾏｴｶﾜ,3330846,11
峯,ﾐﾈ,3340056,11
宮町,ﾐﾔﾁｮｳ,3320028,11
元郷,ﾓﾄｺﾞｳ,3320011,11
柳崎,ﾔﾅｷﾞｻｷ,3330861,11
柳根町,ﾔﾅﾈﾁｮｳ,3330864,11
弥平,ﾔﾍｲ,3320002,11
領家,ﾘｮｳｹ,3320004,11
