another_name,another_name_kana,post_id,prefecture_id
,,0000000,28
赤松,ｱｶﾏﾂ,6660148,28
石道,ｲｼﾐﾁ,6660156,28
芋生,ｲﾓｵ,6660146,28
鴬が丘,ｳｸﾞｲｽｶﾞｵｶ,6660007,28
鴬台,ｳｸﾞｲｽﾀﾞｲ,6660133,28
鴬の森町,ｳｸﾞｲｽﾉﾓﾘﾁｮｳ,6660001,28
小戸,ｵｵﾍﾞ,6660014,28
小花,ｵﾊﾞﾅ,6660015,28
霞ケ丘,ｶｽﾐｶﾞｵｶ,6660031,28
加茂,ｶﾓ,6660025,28
絹延町,ｷﾇﾉﾍﾞﾁｮｳ,6660012,28
錦松台,ｷﾝｼｮｳﾀﾞｲ,6660135,28
久代,ｸｼﾛ,6660024,28
国崎,ｸﾆｻｷ,6660103,28
黒川,ｸﾛｶﾜ,6660101,28
下財町,ｹﾞｻﾞｲﾁｮｳ,6660107,28
けやき坂,ｹﾔｷｻﾞｶ,6660145,28
向陽台,ｺｳﾖｳﾀﾞｲ,6660115,28
栄町,ｻｶｴﾏﾁ,6660033,28
栄根,ｻｶﾈ,6660021,28
笹部,ｻｻﾍﾞ,6660104,28
下加茂,ｼﾀｶﾓ,6660022,28
新田,ｼﾝﾃﾞﾝ,6660125,28
水明台,ｽｲﾒｲﾀﾞｲ,6660116,28
清流台,ｾｲﾘｭｳﾀﾞｲ,6660158,28
清和台東,ｾｲﾜﾀﾞｲﾋｶﾞｼ,6660142,28
清和台西,ｾｲﾜﾀﾞｲﾆｼ,6660143,28
大和東,ﾀﾞｲﾜﾋｶﾞｼ,6660111,28
大和西,ﾀﾞｲﾜﾆｼ,6660112,28
滝山町,ﾀｷﾔﾏﾁｮｳ,6660002,28
多田院,ﾀﾀﾞｲﾝ,6660126,28
多田院多田所町,ﾀﾀﾞｲﾝﾀﾀﾞﾄﾞｺﾛﾁｮｳ,6660127,28
多田院西,ﾀﾀﾞｲﾝﾆｼ,6660128,28
多田桜木,ﾀﾀﾞｻｸﾗｷﾞ,6660124,28
中央町,ﾁｭｳｵｳﾁｮｳ,6660016,28
鼓が滝,ﾂﾂﾐｶﾞﾀｷ,6660123,28
出在家町,ﾃﾞｻﾞｲｹﾁｮｳ,6660011,28
寺畑,ﾃﾗﾊﾀ,6660034,28
長尾町,ﾅｶﾞｵﾁｮｳ,6660113,28
西畦野,ﾆｼｳﾈﾉ,6660155,28
西多田,ﾆｼﾀﾀﾞ,6660138,28
萩原,ﾊｷﾞﾊﾗ,6660004,28
萩原台東,ﾊｷﾞﾊﾗﾀﾞｲﾋｶﾞｼ,6660005,28
萩原台西,ﾊｷﾞﾊﾗﾀﾞｲﾆｼ,0000000,28
花屋敷,ﾊﾅﾔｼｷ,6660035,28
花屋敷山手町,ﾊﾅﾔｼｷﾔﾏﾃﾁｮｳ,6660036,28
火打,ﾋｳﾁ,6660017,28
東畦野,ﾋｶﾞｼｳﾈﾉ,6660117,28
東畦野山手,ﾋｶﾞｼｳﾈﾉﾔﾏﾃ,6660114,28
東久代,ﾋｶﾞｼｸｼﾛ,6660023,28
東多田,ﾋｶﾞｼﾀﾀﾞ,6660122,28
日高町,ﾋﾀﾞｶﾁｮｳ,6660032,28
一庫,ﾋﾄｸﾗ,6660153,28
平野,ﾋﾗﾉ,6660121,28
松が丘町,ﾏﾂｶﾞｵｶﾁｮｳ,6660037,28
丸の内町,ﾏﾙﾉｳﾁﾁｮｳ,6660003,28
丸山台,ﾏﾙﾔﾏﾀﾞｲ,6660152,28
満願寺町,ﾏﾝｶﾞﾝｼﾞﾁｮｳ,6650891,28
美園町,ﾐｿﾉﾁｮｳ,6660013,28
緑が丘,ﾐﾄﾞﾘｶﾞｵｶ,6660157,28
緑台,ﾐﾄﾞﾘﾀﾞｲ,6660129,28
南野坂,ﾐﾅﾐﾉｻｶ,6660136,28
南花屋敷,ﾐﾅﾐﾊﾅﾔｼｷ,6660026,28
見野,ﾐﾉ,6660105,28
美山台,ﾐﾔﾏﾀﾞｲ,6660151,28
虫生,ﾑｼｭｳ,6660141,28
矢問,ﾔﾄｳ,6660131,28
矢問東町,ﾔﾄｳﾋｶﾞｼﾏﾁ,6660132,28
柳谷,ﾔﾅｷﾞﾀﾆ,6660144,28
山下町,ﾔﾏｼﾀﾁｮｳ,6660106,28
山原,ﾔﾏﾊﾗ,6660154,28
湯山台,ﾕﾔﾏﾀﾞｲ,6660137,28
横路,ﾖｺｼﾞ,6660102,28
若宮,ﾜｶﾐﾔ,6660147,28
