another_name,another_name_kana,post_id,prefecture_id
,,0000000,14
明津,ｱｸﾂ,2130024,14
宇奈根,ｳﾅﾈ,2130031,14
梶ケ谷,ｶｼﾞｶﾞﾔ,2130015,14
蟹ケ谷,ｶﾆｶﾞﾔ,2130025,14
上作延,ｶﾐｻｸﾉﾍﾞ,2130034,14
北野川,ｷﾀﾉｶﾞﾜ,2130028,14
北見方,ｷﾀﾐｶﾞﾀ,2130005,14
久地,ｸｼﾞ,2130032,14
坂戸,ｻｶﾄﾞ,2130012,14
子母口,ｼﾎﾞｸﾁ,2130023,14
下作延,ｼﾓｻｸﾉﾍﾞ,2130033,14
下野毛,ｼﾓﾉｹﾞ,2130006,14
新作,ｼﾝｻｸ,2130014,14
末長,ｽｴﾅｶﾞ,2130013,14
諏訪,ｽﾜ,2130004,14
瀬田,ｾﾀ,2130003,14
千年,ﾁﾄｾ,2130022,14
千年新町,ﾁﾄｾｼﾝﾁｮｳ,2130021,14
東野川,ﾋｶﾞｼﾉｶﾞﾜ,2130029,14
久末,ﾋｻｽｴ,2130026,14
久本,ﾋｻﾓﾄ,2130011,14
二子,ﾌﾀｺﾞ,2130002,14
溝口,ﾐｿﾞﾉｸﾁ,2130001,14
向ケ丘,ﾑｶｲｶﾞｵｶ,2130035,14
