another_name,another_name_kana,post_id,prefecture_id
,,0000000,14
生田,ｲｸﾀ,2140038,14
栗谷,ｸﾘﾔ,2140039,14
宿河原,ｼｭｸｶﾞﾜﾗ,2140021,14
菅,ｽｹﾞ,2140001,14
菅稲田堤,ｽｹﾞｲﾅﾀﾞﾂﾞﾂﾐ,2140003,14
菅北浦,ｽｹﾞｷﾀｳﾗ,2140008,14
菅城下,ｽｹﾞｼﾛｼﾀ,2140007,14
菅仙谷,ｽｹﾞｾﾝｺﾞｸ,2140006,14
菅野戸呂,ｽｹﾞﾉﾄﾛ,2140002,14
菅馬場,ｽｹﾞﾊﾞﾝﾊﾞ,2140004,14
堰,ｾｷ,2140022,14
寺尾台,ﾃﾗｵﾀﾞｲ,2140005,14
中野島,ﾅｶﾉｼﾏ,2140012,14
長尾,ﾅｶﾞｵ,2140023,14
長沢,ﾅｶﾞｻﾜ,2140035,14
西生田,ﾆｼｲｸﾀ,2140037,14
登戸,ﾉﾎﾞﾘﾄ,2140014,14
登戸新町,ﾉﾎﾞﾘﾄｼﾝﾏﾁ,2140013,14
東生田,ﾋｶﾞｼｲｸﾀ,2140031,14
東三田,ﾋｶﾞｼﾐﾀ,2140033,14
布田,ﾌﾀﾞ,2140011,14
枡形,ﾏｽｶﾞﾀ,2140032,14
三田,ﾐﾀ,2140034,14
南生田,ﾐﾅﾐｲｸﾀ,2140036,14
