another_name,another_name_kana,post_id,prefecture_id
,,0000000,9
石田,ｲｼﾀ,3290521,9
磯岡,ｲｿｵｶ,3290606,9
大山,ｵｵﾔﾏ,3290525,9
上蒲生,ｶﾐｶﾓｳ,3290617,9
上神主,ｶﾐｺｳﾇｼ,3290527,9
上郷,ｶﾐｺﾞｳ,3290604,9
上三川,ｶﾐﾉｶﾜ,3290611,9
上文挾,ｶﾐﾌﾊﾞｻﾐ,3290601,9
川中子,ｶﾜﾅｺﾞ,3290522,9
五分一,ｺﾞﾌﾞｲﾁ,3290614,9
坂上,ｻｶｳｴ,3290613,9
鞘堂,ｻﾔﾄﾞｳ,3290526,9
三本木,ｻﾝﾎﾞﾝｷﾞ,3290612,9
下蒲生,ｼﾓｶﾓｳ,3290616,9
下神主,ｼﾓｺｳﾇｼ,3290529,9
しらさぎ,ｼﾗｻｷﾞ,3290618,9
多功,ﾀｺｳ,3290524,9
天神町,ﾃﾝｼﾞﾝﾁｮｳ,3290530,9
西木代,ﾆｼｷﾉｼﾛ,3290608,9
西蓼沼,ﾆｼﾀﾃﾇﾏ,3290605,9
西汗,ﾆｼﾌｻﾞｶｼ,3290607,9
東蓼沼,ﾋｶﾞｼﾀﾃﾇﾏ,3290603,9
東汗,ﾋｶﾞｼﾌｻﾞｶｼ,3290602,9
三村,ﾐﾑﾗ,3290615,9
梁,ﾔﾅ,3290523,9
ゆうきが丘,ﾕｳｷｶﾞｵｶ,3290528,9
