another_name,another_name_kana,post_id,prefecture_id
,,0000000,11
阿佐間,ｱｻﾞﾏ,3491144,11
愛宕,ｱﾀｺﾞ,3470057,11
新井新田,ｱﾗｲｼﾝﾃﾞﾝ,3491146,11
阿良川,ｱﾗｶﾜ,3470047,11
飯積,ｲｲﾂﾞﾐ,3491211,11
伊賀袋,ｲｶﾞﾌｸﾛ,3491215,11
今鉾,ｲﾏﾎﾞｺ,3470024,11
芋茎,ｲﾓｸﾞｷ,3470112,11
牛重,ｳｼｶﾞｻﾈ,3470103,11
内田ケ谷,ｳﾁﾀｶﾞﾔ,3470122,11
生出,ｵｲﾃﾞ,3491143,11
大桑,ｵｵｸﾜ,3470010,11
大越,ｵｵｺﾞｴ,3470001,11
大室,ｵｵﾑﾛ,3470027,11
岡古井,ｵｶﾌﾙｲ,3470058,11
小野袋,ｵﾉﾌｸﾛ,3491202,11
柏戸,ｶｼﾜﾄﾞ,3491203,11
上崎,ｶﾐｻｷ,3470125,11
上高柳,ｶﾐﾀｶﾔﾅｷﾞ,3470101,11
上種足,ｶﾐﾀﾅﾀﾞﾚ,3470115,11
上樋遣川,ｶﾐﾋﾔﾘｶﾜ,3470003,11
上三俣,ｶﾐﾐﾂﾏﾀ,3470006,11
川口,ｶﾜｸﾞﾁ,3470014,11
騎西,ｷｻｲ,3470105,11
北大桑,ｷﾀｵｵｸﾜ,3491147,11
北小浜,ｷﾀｺﾊﾞﾏ,3470011,11
北篠崎,ｷﾀｼﾉｻﾞｷ,3470013,11
北下新井,ｷﾀｼﾓｱﾗｲ,3491134,11
北辻,ｷﾀﾂｼﾞ,3470023,11
北平野,ｷﾀﾋﾗﾉ,3491135,11
久下,ｸｹﾞ,3470063,11
串作,ｸｼﾂｸﾘ,3470041,11
外記新田,ｹﾞｷｼﾝﾃﾞﾝ,3491154,11
鴻茎,ｺｳｸﾞｷ,3470111,11
琴寄,ｺﾄﾖﾘ,3491133,11
駒場,ｺﾏﾊﾞ,3491214,11
栄,ｻｶｴ,3491213,11
佐波,ｻﾞﾜ,3491151,11
志多見,ｼﾀﾞﾐ,3470042,11
下崎,ｼﾓｻｷ,3470123,11
下高柳,ｼﾓﾀｶﾔﾅｷﾞ,3470033,11
下種足,ｼﾓﾀﾅﾀﾞﾚ,3470113,11
下樋遣川,ｼﾓﾋﾔﾘｶﾜ,3470005,11
下三俣,ｼﾓﾐﾂﾏﾀ,3470007,11
下谷,ｼﾓﾔ,3470053,11
杓子木,ｼｬｸｼｷﾞ,3491142,11
正能,ｼｮｳﾉｳ,3470107,11
新川通,ｼﾝｶﾜﾄﾞｵﾘ,3491153,11
新利根,ｼﾝﾄﾈ,3491158,11
砂原,ｽﾅﾊﾗ,3491155,11
諏訪,ｽﾜ,3470061,11
外川,ｿﾄｶﾜ,3470106,11
外田ケ谷,ｿﾄﾀｶﾞﾔ,3470126,11
外野,ｿﾄﾉ,3470002,11
大門町,ﾀﾞｲﾓﾝﾁｮｳ,3470068,11
多門寺,ﾀﾓﾝｼﾞ,3470012,11
中央,ﾁｭｳｵｳ,3470055,11
常泉,ﾂﾈｲｽﾞﾐ,3470034,11
東栄,ﾄｳｴｲ,3470064,11
道地,ﾄﾞｳﾁ,3470121,11
道目,ﾄﾞｳﾒ,3491157,11
戸川,ﾄｶﾞﾜ,3470051,11
戸崎,ﾄｻｷ,3470108,11
土手,ﾄﾞﾃ,3470056,11
戸室,ﾄﾑﾛ,3470116,11
豊野台,ﾄﾖﾉﾀﾞｲ,3491148,11
中種足,ﾅｶﾀﾅﾀﾞﾚ,3470114,11
中ノ目,ﾅｶﾉﾒ,3470124,11
中樋遣川,ﾅｶﾋﾔﾘｶﾜ,3470008,11
中渡,ﾅｶﾜﾀ,3491131,11
西ノ谷,ﾆｼﾉﾔ,3470117,11
根古屋,ﾈｺﾞﾔ,3470104,11
旗井,ﾊﾀｲ,3491132,11
鳩山町,ﾊﾄﾔﾏﾁｮｳ,3470019,11
花崎,ﾊﾅｻｷ,3470032,11
花崎北,ﾊﾅｻｷｷﾀ,3470016,11
浜町,ﾊﾏﾁｮｳ,3470018,11
日出安,ﾋﾃﾞﾔｽ,3470102,11
平永,ﾋﾗﾅｶﾞ,3470046,11
富士見町,ﾌｼﾞﾐﾁｮｳ,3470045,11
不動岡,ﾌﾄﾞｵｶ,3470054,11
船越,ﾌﾅｺｼ,3470021,11
古川,ﾌﾙｶﾜ,3470004,11
細間,ﾎｿﾏ,3491156,11
本郷,ﾎﾝｺﾞｳ,3491216,11
本町,ﾎﾝﾁｮｳ,3470066,11
間口,ﾏｸﾁ,3491145,11
町屋新田,ﾏﾁﾔｼﾝﾃﾞﾝ,3470052,11
松永新田,ﾏﾂﾅｶﾞｼﾝﾃﾞﾝ,3491141,11
水深,ﾐｽﾞﾌﾞｶ,3470022,11
三俣,ﾐﾂﾏﾀ,3470009,11
南大桑,ﾐﾅﾐｵｵｸﾜ,3470015,11
南小浜,ﾐﾅﾐｵﾊﾞﾏ,3470028,11
南篠崎,ﾐﾅﾐｼﾉｻﾞｷ,3470017,11
南町,ﾐﾅﾐﾁｮｳ,3470031,11
向古河,ﾑｶｲｺｶﾞ,3491205,11
麦倉,ﾑｷﾞｸﾗ,3491212,11
向川岸町,ﾑｺｳｶﾞｼﾁｮｳ,3470067,11
睦町,ﾑﾂﾐﾁｮｳ,3470062,11
馬内,ﾓｳﾁ,3470043,11
元町,ﾓﾄﾏﾁ,3470065,11
柳生,ﾔｷﾞｭｳ,3491201,11
弥兵衛,ﾔﾍｴ,3491152,11
油井ケ島,ﾕｲｶﾞｼﾏ,3470026,11
陽光台,ﾖｳｺｳﾀﾞｲ,3491204,11
礼羽,ﾗｲﾊ,3470044,11
割目,ﾜﾘﾒ,3470025,11
