another_name,another_name_kana,post_id,prefecture_id
,,0000000,43
赤星,ｱｶﾎｼ,8611311,43
市野瀬,ｲﾁﾉｾ,8611686,43
出田,ｲﾃﾞﾀ,8611313,43
今,ｲﾏ,8611303,43
大平,ｵｵﾋﾗ,8611683,43
小木,ｵｷﾞ,8611673,43
片角,ｶﾀｶｸ,8611307,43
木柑子,ｷｺｳｼﾞ,8611315,43
北宮,ｷﾀﾐﾔ,8611305,43
木野,ｷﾉ,8611326,43
旭志伊坂,ｷｮｸｼｲｻｶ,8691206,43
旭志伊萩,ｷｮｸｼｲﾊｷﾞ,8691208,43
旭志尾足,ｷｮｸｼｵﾀﾙ,8691203,43
旭志小原,ｷｮｸｼｵﾊﾞﾙ,8691204,43
旭志川辺,ｷｮｸｼｶﾜﾍﾞ,8691205,43
旭志新明,ｷｮｸｼｼﾝﾒｲ,8691207,43
旭志麓,ｷｮｸｼﾌﾓﾄ,8691202,43
旭志弁利,ｷｮｸｼﾍﾞﾝﾘ,8691201,43
玉祥寺,ｷﾞｮｸｼｮｳｼﾞ,8611322,43
袈裟尾,ｹｻｵ,8611325,43
木庭,ｺﾊﾞ,8611301,43
重味,ｼｹﾞﾐ,8611682,43
泗水町亀尾,ｼｽｲﾏﾁｶﾒｵ,8611211,43
泗水町住吉,ｼｽｲﾏﾁｽﾐﾖｼ,8611203,43
泗水町田島,ｼｽｲﾏﾁﾀｼﾏ,8611214,43
泗水町富納,ｼｽｲﾏﾁﾄﾐﾉｳ,8611202,43
泗水町豊水,ｼｽｲﾏﾁﾄﾖﾐｽﾞ,8611212,43
泗水町永,ｼｽｲﾏﾁﾅｶﾞ,8611204,43
泗水町福本,ｼｽｲﾏﾁﾌｸﾓﾄ,8611205,43
泗水町南田島,ｼｽｲﾏﾁﾐﾅﾐﾀｼﾏ,8611213,43
泗水町吉富,ｼｽｲﾏﾁﾖｼﾄﾐ,8611201,43
七城町荒牧,ｼﾁｼﾞｮｳﾏﾁｱﾗﾏｷ,8611363,43
七城町台,ｼﾁｼﾞｮｳﾏﾁｳﾃﾅ,8611365,43
七城町岡田,ｼﾁｼﾞｮｳﾏﾁｵｶﾀﾞ,8611368,43
七城町小野崎,ｼﾁｼﾞｮｳﾏﾁｵﾉｻﾞｷ,8611345,43
七城町加恵,ｼﾁｼﾞｮｳﾏﾁｶｴ,8611356,43
七城町亀尾,ｼﾁｼﾞｮｳﾏﾁｶﾒｵ,8611342,43
七城町清水,ｼﾁｼﾞｮｳﾏﾁｷﾖﾐｽﾞ,8611341,43
七城町甲佐町,ｼﾁｼﾞｮｳﾏﾁｺｳｻﾏﾁ,8611353,43
七城町菰入,ｼﾁｼﾞｮｳﾏﾁｺﾓｲﾘ,8611354,43
七城町新古閑,ｼﾁｼﾞｮｳﾏﾁｼﾝｺｶﾞ,8611352,43
七城町砂田,ｼﾁｼﾞｮｳﾏﾁｽﾅﾀﾞ,8611351,43
七城町瀬戸口,ｼﾁｼﾞｮｳﾏﾁｾﾄｸﾞﾁ,8611366,43
七城町蘇崎,ｼﾁｼﾞｮｳﾏﾁｿｻｷ,8611344,43
七城町高島,ｼﾁｼﾞｮｳﾏﾁﾀｶｼﾞﾏ,8611355,43
七城町高田,ｼﾁｼﾞｮｳﾏﾁﾀｶﾀ,8611357,43
七城町流川,ｼﾁｼﾞｮｳﾏﾁﾅｶﾞﾚｶﾜ,8611367,43
七城町橋田,ｼﾁｼﾞｮｳﾏﾁﾊｼﾀ,8611346,43
七城町林原,ｼﾁｼﾞｮｳﾏﾁﾊﾔｼﾊﾞﾙ,8611343,43
七城町辺田,ｼﾁｼﾞｮｳﾏﾁﾍﾀ,8611364,43
七城町水次,ｼﾁｼﾞｮｳﾏﾁﾐﾂｷﾞ,8611361,43
七城町山崎,ｼﾁｼﾞｮｳﾏﾁﾔﾏｻｷ,8611362,43
四町分,ｼﾁｮｳﾌﾞﾝ,8611442,43
下河原,ｼﾓｶﾜﾊﾙ,8611302,43
大琳寺,ﾀﾞｲﾘﾝｼﾞ,8611306,43
豊間,ﾄﾖﾏ,8611684,43
長田,ﾅｶﾞﾀ,8611316,43
西寺,ﾆｼﾃﾞﾗ,8611323,43
西迫間,ﾆｼﾊｻﾞﾏ,8611685,43
野間口,ﾉﾏｸﾞﾁ,8611324,43
原,ﾊﾙ,8611441,43
班蛇口,ﾊﾝｼﾞｬｸ,8611671,43
稗方,ﾋｴｶﾞﾀ,8611321,43
広瀬,ﾋﾛｾ,8611314,43
深川,ﾌｶｶﾞﾜ,8611304,43
藤田,ﾌｼﾞﾀ,8611309,43
村田,ﾑﾗﾀﾞ,8611317,43
森北,ﾓﾘｷﾀ,8611312,43
雪野,ﾕｷﾉ,8611681,43
龍門,ﾘｭｳﾓﾝ,8611672,43
隈府,ﾜｲﾌ,8611331,43
亘,ﾜﾀﾙ,8611308,43
