another_name,another_name_kana,post_id,prefecture_id
,,0000000,22
青葉台,ｱｵﾊﾞﾀﾞｲ,4390012,22
赤土,ｱｶﾂﾁ,4371507,22
朝日,ｱｻﾋ,4390017,22
牛渕,ｳｼﾌﾞﾁ,4390013,22
小出,ｵｲﾃﾞ,4390021,22
大石,ｵｵｲｼ,4371524,22
河東,ｶﾄｳ,4371506,22
上平川,ｶﾐﾋﾗｶﾜ,4371521,22
加茂,ｶﾓ,4390031,22
川上,ｶﾜｶﾐ,4371503,22
神尾,ｶﾝﾉｵ,4390016,22
倉沢,ｸﾗｻﾜ,4390002,22
小沢,ｺｻﾞﾜ,4390014,22
沢水加,ｻﾊﾞｶ,4390003,22
猿渡,ｻﾙﾜﾀﾘ,4371512,22
下内田,ｼﾓｳﾁﾀﾞ,4390034,22
下平川,ｼﾓﾋﾗｶﾜ,4371514,22
高橋,ﾀｶﾊｼ,4371505,22
棚草,ﾀﾅｸｻ,4371513,22
丹野,ﾀﾝﾉ,4371501,22
潮海寺,ﾁｮｳｶｲｼﾞ,4390005,22
月岡,ﾂｷｵｶ,4390032,22
土橋,ﾂﾁﾊｼ,4390025,22
堂山新田,ﾄﾞｳﾔﾏｼﾝﾃﾞﾝ,4371523,22
富田,ﾄﾐﾀ,4390001,22
友田,ﾄﾓﾀﾞ,4390008,22
中内田,ﾅｶｳﾁﾀﾞ,4390036,22
仲島,ﾅｶｼﾞﾏ,4390011,22
奈良野,ﾅﾗﾉ,4390024,22
西方,ﾆｼｶﾀ,4390037,22
西横地,ﾆｼﾖｺｼﾞ,4390026,22
花水木,ﾊﾅﾐｽﾞｷ,4371504,22
半済,ﾊﾝｾｲ,4390019,22
東横地,ﾋｶﾞｼﾖｺｼﾞ,4390022,22
平尾,ﾋﾗｵ,4390035,22
古谷,ﾌﾙﾔ,4371502,22
堀之内,ﾎﾘﾉｳﾁ,4390006,22
本所,ﾎﾝｼﾞｮ,4390018,22
牧之原,ﾏｷﾉﾊﾗ,4390015,22
三沢,ﾐｻﾜ,4390023,22
嶺田,ﾐﾈﾀﾞ,4371522,22
耳川,ﾐﾐｶﾞﾜ,4390033,22
目木,ﾓｯｷ,4371511,22
柳,ﾔﾅｷﾞ,4390007,22
吉沢,ﾖｼｻﾜ,4390009,22
和田,ﾜﾀﾞ,4390004,22
