another_name,another_name_kana,post_id,prefecture_id
,,0000000,41
今泉,ｲﾏｲｽﾞﾐ,8491101,41
牛屋,ｳｼﾔ,8491201,41
大渡,ｵｵﾜﾀﾘ,8491102,41
坂田,ｻｶﾀ,8491204,41
新開,ｼﾝｶｲ,8491208,41
新拓,ｼﾝﾀｸ,8491221,41
新明,ｼﾝﾒｲ,8491202,41
田野上,ﾀﾉｳｴ,8491205,41
築切,ﾂｲｷﾘ,8491103,41
堤,ﾂﾂﾐ,8491104,41
遠江,ﾄｵﾉｴ,8491105,41
戸ケ里,ﾄｶﾞﾘ,8491203,41
廿治,ﾊﾀﾁ,8491106,41
八平,ﾊﾁﾍｲ,8490403,41
東郷,ﾋｶﾞｼｺﾞｳ,8491111,41
深浦,ﾌｶｳﾗ,8491207,41
福田,ﾌｸﾀ,8491112,41
福富,ﾌｸﾄﾞﾐ,8490401,41
福富下分,ﾌｸﾄﾞﾐｼﾓﾌﾞﾝ,8490402,41
福吉,ﾌｸﾖｼ,8491113,41
辺田,ﾍﾀ,8491206,41
馬洗,ﾓｳﾗｲ,8491114,41
湯崎,ﾕｻﾞｷ,8491115,41
横手,ﾖｺﾃ,8491116,41
