another_name,another_name_kana,post_id,prefecture_id
,,0000000,30
赤尾,ｱｶｵ,6496404,30
赤沼田,ｱｶﾝﾀ,6496614,30
穴伏,ｱﾅﾌﾞｼ,6496611,30
荒見,ｱﾗﾐ,6496561,30
池田新,ｲｹﾀﾞｼﾝ,6496407,30
井田,ｲﾀﾞ,6496541,30
猪垣,ｲﾉｶｹ,6496511,30
上野,ｳｴﾉ,6496416,30
打田,ｳﾁﾀ,6496414,30
馬宿,ｳﾏﾔﾄﾞ,6496521,30
江川中,ｴｶﾜﾅｶ,6496605,30
王子,ｵｳｼﾞ,6496624,30
麻生津中,ｵｳﾂﾞﾅｶ,6496615,30
尾崎,ｵｻﾞｷ,6496423,30
遠方,ｵﾁｶﾀ,6496562,30
風市,ｶｻﾞｼ,6496563,30
勝神,ｶｽｶﾐ,6496564,30
上鞆渕,ｶﾐﾄﾓﾌﾞﾁ,6496571,30
上丹生谷,ｶﾐﾆｭｳﾔ,6496522,30
貴志川町尼寺,ｷｼｶﾞﾜﾁｮｳｱﾏﾃﾗ,6400403,30
貴志川町井ノ口,ｷｼｶﾞﾜﾁｮｳｲﾉｸﾁ,6400424,30
貴志川町上野山,ｷｼｶﾞﾜﾁｮｳｳｴﾉﾔﾏ,6400412,30
貴志川町岸小野,ｷｼｶﾞﾜﾁｮｳｷｼｵﾉ,6400422,30
貴志川町岸宮,ｷｼｶﾞﾜﾁｮｳｷｼﾐﾔ,6400405,30
貴志川町北,ｷｼｶﾞﾜﾁｮｳｷﾀ,6400421,30
貴志川町北山,ｷｼｶﾞﾜﾁｮｳｷﾀﾔﾏ,6400402,30
貴志川町国主,ｷｼｶﾞﾜﾁｮｳｸﾆｼ,6400414,30
貴志川町神戸,ｷｼｶﾞﾜﾁｮｳｺｳﾄﾞ,6400413,30
貴志川町高尾,ｷｼｶﾞﾜﾁｮｳﾀｶｵ,6400423,30
貴志川町鳥居,ｷｼｶﾞﾜﾁｮｳﾄﾘｲ,6400404,30
貴志川町長原,ｷｼｶﾞﾜﾁｮｳﾅｶﾞﾊﾗ,6400415,30
貴志川町長山,ｷｼｶﾞﾜﾁｮｳﾅｶﾞﾔﾏ,6400416,30
貴志川町西山,ｷｼｶﾞﾜﾁｮｳﾆｼﾔﾏ,6400406,30
貴志川町前田,ｷｼｶﾞﾜﾁｮｳﾏｴﾀﾞ,6400411,30
貴志川町丸栖,ｷｼｶﾞﾜﾁｮｳﾏﾙｽ,6400401,30
北大井,ｷﾀｵｵｲ,6496406,30
北志野,ｷﾀｼﾉ,6496501,30
北勢田,ｷﾀｾｲﾀﾞ,6496402,30
北中,ｷﾀﾅｶ,6496443,30
北長田,ｷﾀﾅｶﾞﾀ,6496502,30
北涌,ｷﾀﾜｷ,6496612,30
切畑,ｷﾘﾊﾀ,6496606,30
窪,ｸﾎﾞ,6496415,30
久留壁,ｸﾙﾍﾞｷ,6496418,30
黒土,ｸﾛﾂﾁ,6496412,30
花野,ｹﾔ,6496422,30
上田井,ｺｳﾀﾞｲ,6496551,30
粉河,ｺｶﾜ,6496531,30
重行,ｼｹﾞｷ,6496401,30
嶋,ｼﾏ,6496552,30
下井阪,ｼﾓｲｻｶ,6496426,30
下鞆渕,ｼﾓﾄﾓﾌﾞﾁ,6496572,30
下丹生谷,ｼﾓﾆｭｳﾔ,6496523,30
後田,ｼﾚﾀﾞ,6496622,30
神通,ｼﾞﾝﾂﾞｳ,6496451,30
神領,ｼﾞﾝﾘｮｳ,6496442,30
杉原,ｽｲﾊﾞﾗ,6496565,30
高野,ﾀｶﾉ,6496161,30
竹房,ﾀｹﾌﾞｻ,0000000,30
田中馬場,ﾀﾅｶﾊﾞﾊﾞ,6496421,30
東毛,ﾄｳｹﾞ,6496512,30
豊田,ﾄﾖﾀﾞ,6496445,30
中井阪,ﾅｶｲｻｶ,6496425,30
長田中,ﾅｶﾞﾀﾅｶ,6496503,30
中津川,ﾅｶﾂｶﾞﾜ,6496513,30
中鞆渕,ﾅｶﾄﾓﾌﾞﾁ,6496573,30
中畑,ﾅｶﾊﾀ,6496452,30
中三谷,ﾅｶﾐﾀﾆ,6496434,30
中山,ﾅｶﾔﾏ,6496532,30
名手市場,ﾅﾃｲﾁﾊﾞ,6496631,30
名手上,ﾅﾃｶﾐ,6496601,30
名手下,ﾅﾃｼﾓ,6496603,30
名手西野,ﾅﾃﾆｼﾉ,6496621,30
西井阪,ﾆｼｲｻｶ,6496427,30
西大井,ﾆｼｵｵｲ,6496417,30
西川原,ﾆｼｶﾜﾊﾗ,6496524,30
西野山,ﾆｼﾉﾔﾏ,6496604,30
西三谷,ﾆｼﾐﾀﾆ,6496433,30
西山田,ﾆｼﾔﾏﾀﾞ,6496447,30
西脇,ﾆｼﾜｷ,6496616,30
野上,ﾉｶﾞﾐ,6496525,30
登尾,ﾉﾎﾞﾘｵ,6496444,30
畑野上,ﾊﾀﾉｳｴ,6496424,30
東大井,ﾋｶﾞｼｵｵｲ,6496405,30
東川原,ﾋｶﾞｼｶﾜﾊﾗ,6496526,30
東国分,ﾋｶﾞｼｺｸﾌﾞ,6496428,30
東野,ﾋｶﾞｼﾉ,6496542,30
東三谷,ﾋｶﾞｼﾐﾀﾆ,6496435,30
東山田,ﾋｶﾞｼﾔﾏﾀﾞ,6496441,30
平野,ﾋﾗﾉ,6496602,30
広野,ﾋﾛﾉ,6496411,30
枇杷谷,ﾋﾞﾜﾀﾞﾆ,6496446,30
深田,ﾌｹﾀﾞ,6496553,30
藤井,ﾌｼﾞｲ,6496514,30
藤崎,ﾌｼﾞｻｷ,6496623,30
古和田,ﾌﾙﾜﾀﾞ,6496432,30
別所,ﾍﾞｯｼﾖ,6496554,30
松井,ﾏﾂｲ,6496555,30
南志野,ﾐﾅﾐｼﾉ,6496504,30
南勢田,ﾐﾅﾐｾｲﾀﾞ,6496403,30
南中,ﾐﾅﾐﾅｶ,6496431,30
桃山町市場,ﾓﾓﾔﾏﾁｮｳｲﾁﾊﾞ,6496124,30
桃山町大原,ﾓﾓﾔﾏﾁｮｳｵｵﾊﾞﾗ,6496105,30
桃山町垣内,ﾓﾓﾔﾏﾁｮｳｶｲﾄ,6401333,30
桃山町黒川,ﾓﾓﾔﾏﾁｮｳｸﾛｶﾜ,6496102,30
桃山町神田,ﾓﾓﾔﾏﾁｮｳｺｳﾀﾞ,6496123,30
桃山町善田,ﾓﾓﾔﾏﾁｮｳｾﾞﾝﾀﾞ,6496101,30
桃山町段,ﾓﾓﾔﾏﾁｮｳﾀﾞﾝ,6496125,30
桃山町段新田,ﾓﾓﾔﾏﾁｮｳﾀﾞﾝｼﾝﾃﾞﾝ,6496121,30
桃山町調月,ﾓﾓﾔﾏﾁｮｳﾂｶﾂｷ,6496112,30
桃山町中畑,ﾓﾓﾔﾏﾁｮｳﾅｶﾊﾀ,6401332,30
桃山町野田原,ﾓﾓﾔﾏﾁｮｳﾉﾀﾊﾗ,6496103,30
桃山町峯,ﾓﾓﾔﾏﾁｮｳﾐﾈ,6401331,30
桃山町最上,ﾓﾓﾔﾏﾁｮｳﾓｶﾞﾐ,6496111,30
桃山町元,ﾓﾓﾔﾏﾁｮｳﾓﾄ,6496122,30
桃山町脇谷,ﾓﾓﾔﾏﾁｮｳﾜｷﾀﾞﾆ,6496104,30
横谷,ﾖｺﾀﾞﾆ,6496613,30
