another_name,another_name_kana,post_id,prefecture_id
,,0000000,27
阿間河滝町,ｱﾏｶﾀﾞｷﾁｮｳ,5960845,27
荒木町,ｱﾗｷﾁｮｳ,5960004,27
池尻町,ｲｹｼﾞﾘﾁｮｳ,5960813,27
磯上町,ｲｿﾉｶﾐﾁｮｳ,5960001,27
稲葉町,ｲﾅﾊﾞﾁｮｳ,5960103,27
今木町,ｲﾏｷﾁｮｳ,5960804,27
上町,ｳｴﾏﾁ,5960077,27
魚屋町,ｳｵﾔﾏﾁ,5960071,27
内畑町,ｳﾁﾊﾀﾁｮｳ,5960105,27
戎町,ｴﾋﾞｽﾁｮｳ,5960022,27
大北町,ｵｵｷﾀﾁｮｳ,5960061,27
大沢町,ｵｵｻﾜﾁｮｳ,5960114,27
大手町,ｵｵﾃﾁｮｳ,5960063,27
大町,ｵｵﾏﾁ,5960812,27
岡山町,ｵｶﾔﾏﾁｮｳ,5960814,27
尾生町,ｵﾌﾞﾁｮｳ,5960816,27
河合町,ｶｱｲﾁｮｳ,5960113,27
額原町,ｶﾞｸﾊﾗﾁｮｳ,5960822,27
葛城町,ｶﾂﾗｷﾞﾁｮｳ,5960824,27
包近町,ｶﾈﾁｶﾁｮｳ,5960101,27
上白原町,ｶﾐｼﾗﾊﾗﾁｮｳ,5960111,27
上野町東,ｶﾐﾉﾁｮｳﾋｶﾞｼ,5960047,27
上野町西,ｶﾐﾉﾁｮｳﾆｼ,5960048,27
上松町,ｶﾐﾏﾂﾁｮｳ,5960827,27
紙屋町,ｶﾐﾔﾁｮｳ,5960064,27
加守町,ｶﾓﾘﾁｮｳ,5960042,27
岸城町,ｷｼｷﾁｮｳ,5960073,27
岸之浦町,ｷｼﾉｳﾗﾁｮｳ,5960016,27
岸の丘町,ｷｼﾉｵｶﾁｮｳ,5960817,27
岸野町,ｷｼﾉﾁｮｳ,5960051,27
北阪町,ｷﾀｻｶﾁｮｳ,5960843,27
北町,ｷﾀﾏﾁ,5960056,27
神須屋町,ｺｳｽﾞﾔﾁｮｳ,5960833,27
神於町,ｺｳﾉﾁｮｳ,5960112,27
極楽寺町,ｺﾞｸﾗｸｼﾞﾁｮｳ,5960832,27
五軒屋町,ｺﾞｹﾝﾔﾏﾁ,5960055,27
小松里町,ｺﾏﾂﾘﾁｮｳ,5960821,27
堺町,ｻｶｲﾏﾁ,5960072,27
作才町,ｻﾞｸｻﾞｲﾁｮｳ,5960826,27
三ケ山町,ｻﾝｶﾞﾔﾏﾁｮｳ,5960815,27
地蔵浜町,ｼﾞｿﾞｳﾊﾏﾁｮｳ,5960015,27
下池田町,ｼﾓｲｹﾀﾞﾁｮｳ,5960811,27
下野町,ｼﾓﾉﾁｮｳ,5960041,27
下松町,ｼﾓﾏﾂﾁｮｳ,5960823,27
新港町,ｼﾝﾐﾅﾄﾏﾁ,5960012,27
筋海町,ｽｼﾞｶｲﾁｮｳ,5960057,27
相川町,ｿｳｶﾞﾜﾁｮｳ,5960115,27
大工町,ﾀﾞｲｸﾏﾁ,5960066,27
田治米町,ﾀｼﾞﾒﾁｮｳ,5960805,27
積川町,ﾂｶﾞﾜﾁｮｳ,5960104,27
天神山町,ﾃﾝｼﾞﾝﾔﾏﾁｮｳ,5960834,27
塔原町,ﾄﾉﾊﾗﾁｮｳ,5960116,27
中井町,ﾅｶｲﾁｮｳ,5960003,27
中北町,ﾅｶｷﾀﾁｮｳ,5960062,27
中之浜町,ﾅｶﾉﾊﾏﾁｮｳ,5960065,27
中町,ﾅｶﾏﾁ,5960075,27
流木町,ﾅｶﾞﾚｷﾞﾁｮｳ,5960835,27
並松町,ﾅﾝﾏﾂﾁｮｳ,5960052,27
西大路町,ﾆｼｵｵｼﾞﾁｮｳ,5960802,27
西之内町,ﾆｼﾉｳﾁﾁｮｳ,5960044,27
沼町,ﾇﾏﾁｮｳ,5960053,27
野田町,ﾉﾀﾞﾁｮｳ,5960076,27
畑町,ﾊﾀﾏﾁ,5960831,27
八幡町,ﾊﾁﾏﾝﾁｮｳ,5960023,27
八田町,ﾊﾂﾀﾁｮｳ,5960841,27
土生滝町,ﾊﾌﾞﾀｷﾁｮｳ,5960844,27
土生町,ﾊﾌﾞﾁｮｳ,5960825,27
春木旭町,ﾊﾙｷｱｻﾋﾏﾁ,5960005,27
春木泉町,ﾊﾙｷｲｽﾞﾐﾁｮｳ,5960035,27
春木大小路町,ﾊﾙｷｵｵｼｮｳｼﾞﾁｮｳ,5960031,27
春木大国町,ﾊﾙｷﾀﾞｲｺｸﾁｮｳ,5960026,27
春木中町,ﾊﾙｷﾅｶﾏﾁ,5960033,27
春木本町,ﾊﾙｷﾎﾝﾏﾁ,5960034,27
春木南浜町,ﾊﾙｷﾐﾅﾐﾊﾏﾁｮｳ,5960036,27
春木北浜町,ﾊﾙｷｷﾀﾊﾏﾁｮｳ,5960037,27
春木宮川町,ﾊﾙｷﾐﾔｶﾞﾜﾁｮｳ,5960024,27
春木宮本町,ﾊﾙｷﾐﾔﾓﾄﾁｮｳ,5960025,27
春木元町,ﾊﾙｷﾓﾄﾏﾁ,5960032,27
春木若松町,ﾊﾙｷﾜｶﾏﾂﾁｮｳ,5960006,27
東大路町,ﾋｶﾞｼｵｵｼﾞﾁｮｳ,5960803,27
東ケ丘町,ﾋｶﾞｼｶﾞｵｶﾁｮｳ,5960807,27
藤井町,ﾌｼﾞｲﾁｮｳ,5960046,27
別所町,ﾍﾞｯｼﾖﾁｮｳ,5960045,27
本町,ﾎﾝﾏﾁ,5960074,27
真上町,ﾏｶﾞﾐﾁｮｳ,5960842,27
松風町,ﾏﾂｶｾﾞﾁｮｳ,5960021,27
摩湯町,ﾏﾕﾁｮｳ,5960806,27
三田町,ﾐﾀﾁｮｳ,5960808,27
箕土路町,ﾐﾄﾞﾛﾁｮｳ,5960801,27
港緑町,ﾐﾅﾄﾐﾄﾞﾘﾏﾁ,5960014,27
南上町,ﾐﾅﾐｳｴﾏﾁ,5960078,27
南町,ﾐﾅﾐﾏﾁ,5960067,27
宮前町,ﾐﾔﾏｴﾁｮｳ,5960043,27
