another_name,another_name_kana,post_id,prefecture_id
,,0000000,11
内田,ｳﾁﾀﾞ,3450035,11
大島,ｵｵｼﾞﾏ,3450042,11
大塚,ｵｵﾂｶ,3450022,11
北蓮沼,ｷﾀﾊｽﾇﾏ,3450021,11
木津内,ｷﾂﾞｳﾁ,3450001,11
木野川,ｷﾉｶﾜ,3450003,11
倉松,ｸﾗﾏﾂ,3450034,11
才羽,ｻｲﾊﾞ,3450014,11
佐左エ門,ｻｻﾞｴﾓﾝ,3450033,11
下高野,ｼﾓﾀｶﾉ,3450043,11
下野,ｼﾓﾉ,3450044,11
杉戸,ｽｷﾞﾄ,3450036,11
清地,ｾｲｼﾞ,3450025,11
高野台東,ﾀｶﾉﾀﾞｲﾋｶﾞｼ,3450047,11
高野台西,ﾀｶﾉﾀﾞｲﾆｼ,3450045,11
高野台南,ﾀｶﾉﾀﾞｲﾐﾅﾐ,3450046,11
堤根,ﾂﾂﾐﾈ,3450024,11
椿,ﾂﾊﾞｷ,3450013,11
遠野,ﾄｵﾉ,3450031,11
並塚,ﾅﾗﾋﾞﾂｶ,3450015,11
茨島,ﾊﾞﾗｼﾞﾏ,3450041,11
屏風,ﾋﾞｮｳﾌﾞ,3450011,11
広戸沼,ﾋﾛﾄﾇﾏ,3450032,11
深輪,ﾌｶﾜ,3450012,11
本郷,ﾎﾝｺﾞｳ,3450023,11
宮前,ﾐﾔﾏｴ,3450004,11
目沼,ﾒﾇﾏ,3450005,11
本島,ﾓﾄｼﾞﾏ,3450037,11
鷲巣,ﾜｼﾉｽ,3450002,11
