another_name,another_name_kana,post_id,prefecture_id
,,0000000,1
青葉町,ｱｵﾊﾞﾁｮｳ,0611141,1
朝日町,ｱｻﾋﾁｮｳ,0611123,1
泉町,ｲｽﾞﾐﾁｮｳ,0611145,1
稲穂町東,ｲﾅﾎﾁｮｳﾋｶﾞｼ,0611125,1
稲穂町西,ｲﾅﾎﾁｮｳﾆｼ,0611124,1
大曲,ｵｵﾏｶﾞﾘ,0611270,1
大曲工業団地,ｵｵﾏｶﾞﾘｺｳｷﾞｮｳﾀﾞﾝﾁ,0611274,1
大曲幸町,ｵｵﾏｶﾞﾘｻｲﾜｲﾁｮｳ,0611278,1
大曲末広,ｵｵﾏｶﾞﾘｽｴﾋﾛ,0611272,1
大曲中央,ｵｵﾏｶﾞﾘﾁｭｳｵｳ,0611271,1
大曲並木,ｵｵﾏｶﾞﾘﾅﾐｷ,0611279,1
大曲柏葉,ｵｵﾏｶﾞﾘﾊｸﾖｳ,0611273,1
大曲光,ｵｵﾏｶﾞﾘﾋｶﾘ,0611277,1
大曲緑ケ丘,ｵｵﾏｶﾞﾘﾐﾄﾞﾘｶﾞｵｶ,0611276,1
大曲南ケ丘,ｵｵﾏｶﾞﾘﾐﾅﾐｶﾞｵｶ,0611275,1
北の里,ｷﾀﾉｻﾄ,0611111,1
希望ケ丘,ｷﾎﾞｳｶﾞｵｶ,0611261,1
共栄,ｷｮｳｴｲ,0611112,1
共栄町,ｷｮｳｴｲﾁｮｳ,0611113,1
広葉町,ｺｳﾖｳﾁｮｳ,0611134,1
栄町,ｻｶｴﾁｮｳ,0611133,1
里見町,ｻﾄﾐﾁｮｳ,0611147,1
島松,ｼﾏﾏﾂ,0611265,1
白樺町,ｼﾗｶﾊﾞﾁｮｳ,0611144,1
新富町東,ｼﾝﾄﾐﾁｮｳﾋｶﾞｼ,0611126,1
新富町西,ｼﾝﾄﾐﾁｮｳﾆｼ,0611127,1
高台町,ﾀｶﾀﾞｲﾁｮｳ,0611146,1
中央,ﾁｭｳｵｳ,0611121,1
輝美町,ﾃﾙﾐﾁｮｳ,0611135,1
富ケ岡,ﾄﾐｶﾞｵｶ,0611153,1
中の沢,ﾅｶﾉｻﾜ,0000000,1
虹ケ丘,ﾆｼﾞｶﾞｵｶ,0611103,1
西の里,ﾆｼﾉｻﾄ,0611102,1
西の里東,ﾆｼﾉｻﾄﾋｶﾞｼ,0611105,1
西の里南,ﾆｼﾉｻﾄﾐﾅﾐ,0611106,1
西の里北,ﾆｼﾉｻﾄｷﾀ,0611104,1
仁別,ﾆﾍﾞﾂ,0611267,1
東共栄,ﾋｶﾞｼｷｮｳｴｲ,0611114,1
東の里,ﾋｶﾞｼﾉｻﾄ,0611151,1
広島,ﾋﾛｼﾏ,0611122,1
北進町,ﾎｸｼﾝﾁｮｳ,0611132,1
松葉町,ﾏﾂﾊﾞﾁｮｳ,0611136,1
美咲き野,ﾐｻｷﾉ,0611115,1
美沢,ﾐｻﾜ,0611131,1
三島,ﾐｼﾏ,0611266,1
南町,ﾐﾅﾐﾁｮｳ,0611143,1
南の里,ﾐﾅﾐﾉｻﾄ,0611154,1
山手町,ﾔﾏﾃﾁｮｳ,0611148,1
緑陽町,ﾘｮｸﾖｳﾁｮｳ,0611137,1
輪厚,ﾜｯﾂ,0611264,1
輪厚工業団地,ﾜｯﾂｺｳｷﾞｮｳﾀﾞﾝﾁ,0611281,1
輪厚中央,ﾜｯﾂﾁｭｳｵｳ,0611268,1
輪厚元町,ﾜｯﾂﾓﾄﾏﾁ,0611269,1
若葉町,ﾜｶﾊﾞﾁｮｳ,0611142,1
