another_name,another_name_kana,post_id,prefecture_id
,,0000000,13
赤羽,ｱｶﾊﾞﾈ,1150045,13
赤羽台,ｱｶﾊﾞﾈﾀﾞｲ,1150053,13
赤羽西,ｱｶﾊﾞﾈﾆｼ,1150055,13
赤羽南,ｱｶﾊﾞﾈﾐﾅﾐ,1150044,13
赤羽北,ｱｶﾊﾞﾈｷﾀ,1150052,13
岩淵町,ｲﾜﾌﾞﾁﾏﾁ,1150041,13
浮間,ｳｷﾏ,1150051,13
王子,ｵｳｼﾞ,1140002,13
王子本町,ｵｳｼﾞﾎﾝﾁｮｳ,1140022,13
上十条,ｶﾐｼﾞｭｳｼﾞｮｳ,1140034,13
上中里,ｶﾐﾅｶｻﾞﾄ,1140016,13
神谷,ｶﾐﾔ,1150043,13
岸町,ｷｼﾏﾁ,1140021,13
桐ケ丘,ｷﾘｶﾞｵｶ,1150054,13
栄町,ｻｶｴﾁｮｳ,1140005,13
志茂,ｼﾓ,1150042,13
十条台,ｼﾞｭｳｼﾞｮｳﾀﾞｲ,1140033,13
十条仲原,ｼﾞｭｳｼﾞｮｳﾅｶﾊﾗ,1140031,13
昭和町,ｼｮｳﾜﾏﾁ,1140011,13
滝野川,ﾀｷﾉｶﾞﾜ,1140023,13
田端,ﾀﾊﾞﾀ,1140014,13
田端新町,ﾀﾊﾞﾀｼﾝﾏﾁ,1140012,13
豊島,ﾄｼﾏ,1140003,13
中里,ﾅｶｻﾞﾄ,1140015,13
中十条,ﾅｶｼﾞｭｳｼﾞｮｳ,1140032,13
西が丘,ﾆｼｶﾞｵｶ,1150056,13
西ケ原,ﾆｼｶﾞﾊﾗ,1140024,13
東十条,ﾋｶﾞｼｼﾞｭｳｼﾞｮｳ,1140001,13
東田端,ﾋｶﾞｼﾀﾊﾞﾀ,1140013,13
堀船,ﾎﾘﾌﾈ,1140004,13
