another_name,another_name_kana,post_id,prefecture_id
,,0000000,40
青葉台,ｱｵﾊﾞﾀﾞｲ,8000045,40
伊川,ｲｶﾜ,8000101,40
泉ケ丘,ｲｽﾞﾐｶﾞｵｶ,8000041,40
稲積,ｲﾅﾂﾞﾐ,8000048,40
今津,ｲﾏﾂﾞ,8000111,40
梅ノ木町,ｳﾒﾉｷﾁｮｳ,8000026,40
老松町,ｵｲﾏﾂﾁｮｳ,8010864,40
大久保,ｵｵｸﾎﾞ,8010883,40
大積,ｵｵﾂﾐ,8010811,40
奥田,ｵｸﾀﾞ,8000011,40
花月園,ｶｹﾞﾂｴﾝ,8010876,40
風師,ｶｻﾞｼ,0000000,40
春日町,ｶｽｶﾞﾏﾁ,8010823,40
片上海岸,ｶﾀｶﾞﾐｶｲｶﾞﾝ,8000061,40
片上町,ｶﾀｶﾞﾐﾏﾁ,8000003,40
上二十町,ｶﾐﾆｼﾞｯﾁｮｳ,8000016,40
上藤松,ｶﾐﾌｼﾞﾏﾂ,8000044,40
上本町,ｶﾐﾎﾝﾏﾁ,8010871,40
上馬寄,ｶﾐﾏｲｿｳ,8000042,40
吉志,ｷｼ,8000114,40
吉志新町,ｷｼｼﾝﾏﾁ,8000118,40
北川町,ｷﾀｶﾞﾜﾏﾁ,8000004,40
喜多久,ｷﾀｸ,8010812,40
旧門司,ｷｭｳﾓｼﾞ,8010854,40
清滝,ｷﾖﾀｷ,8010833,40
清見,ｷﾖﾐ,8010882,40
清見佐夜町,ｷﾖﾐｻﾔﾏﾁ,8010886,40
葛葉,ｸｽﾞﾊ,0000000,40
黒川,ｸﾛｶﾞﾜ,8010821,40
黒川東,ｸﾛｶﾞﾜﾋｶﾞｼ,8010826,40
黒川西,ｸﾛｶﾞﾜﾆｼ,8010825,40
黄金町,ｺｶﾞﾈﾏﾁ,8000027,40
小松町,ｺﾏﾂﾁｮｳ,8000034,40
小森江,ｺﾓﾘｴ,8000007,40
栄町,ｻｶｴﾏﾁ,8010863,40
猿喰,ｻﾙﾊﾐ,8000102,40
寺内,ｼﾞﾅｲ,8000015,40
下二十町,ｼﾓﾆｼﾞｯﾁｮｳ,8000028,40
下馬寄,ｼﾓﾏｲｿｳ,8000051,40
社ノ木,ｼｬﾉｷ,8000054,40
庄司町,ｼｮｳｼﾞﾏﾁ,8010865,40
白野江,ｼﾗﾉｴ,8010802,40
城山町,ｼﾛﾔﾏﾁｮｳ,8000013,40
新開,ｼﾝｶｲ,8010885,40
新原町,ｼﾝﾊﾗﾏﾁ,8000053,40
新門司,ｼﾝﾓｼﾞ,8000115,40
新門司北,ｼﾝﾓｼﾞｷﾀ,8000113,40
瀬戸町,ｾﾄﾏﾁ,8010884,40
大里,ﾀﾞｲﾘ,8000014,40
大里桜ケ丘,ﾀﾞｲﾘｻｸﾗｶﾞｵｶ,8000018,40
大里新町,ﾀﾞｲﾘｼﾝﾏﾁ,8000057,40
大里戸ノ上,ﾀﾞｲﾘﾄﾉｳｴ,8000024,40
大里原町,ﾀﾞｲﾘﾊﾗﾏﾁ,8000038,40
大里東,ﾀﾞｲﾘﾋｶﾞｼ,8000022,40
大里東口,ﾀﾞｲﾘﾋｶﾞｼｸﾞﾁ,8000029,40
大里本町,ﾀﾞｲﾘﾎﾝﾏﾁ,8000063,40
大里元町,ﾀﾞｲﾘﾓﾄﾏﾁ,8000062,40
大里桃山町,ﾀﾞｲﾘﾓﾓﾔﾏﾁｮｳ,8000033,40
高砂町,ﾀｶｻｺﾞﾏﾁ,8010822,40
高田,ﾀｶﾀﾞ,8000031,40
太刀浦海岸,ﾀﾁﾉｳﾗｶｲｶﾞﾝ,8010805,40
谷町,ﾀﾆﾏﾁ,8010872,40
田野浦,ﾀﾉｳﾗ,8010803,40
田野浦海岸,ﾀﾉｳﾗｶｲｶﾞﾝ,8010804,40
恒見,ﾂﾈﾐ,8000117,40
恒見町,ﾂﾈﾐﾏﾁ,8000116,40
中二十町,ﾅｶﾆｼﾞｯﾁｮｳ,8000023,40
中町,ﾅｶﾏﾁ,8000039,40
永黒,ﾅｶﾞｸﾞﾛ,8000017,40
長谷,ﾅｶﾞﾀﾆ,8010861,40
鳴竹,ﾅﾙﾀｹ,8010881,40
西海岸,ﾆｼｶｲｶﾞﾝ,8010841,40
錦町,ﾆｼｷﾏﾁ,8010862,40
西新町,ﾆｼｼﾝﾏﾁ,8000056,40
畑,ﾊﾀ,8000112,40
畑田町,ﾊﾀｹﾀﾞﾏﾁ,8010874,40
浜町,ﾊﾏﾏﾁ,8010856,40
羽山,ﾊﾔﾏ,8000005,40
原町別院,ﾊﾗﾏﾁﾍﾞﾂｲﾝ,8000037,40
光町,ﾋｶﾘﾏﾁ,8000046,40
東新町,ﾋｶﾞｼｼﾝﾏﾁ,8000055,40
東本町,ﾋｶﾞｼﾎﾝﾏﾁ,8010851,40
東馬寄,ﾋｶﾞｼﾏｲｿｳ,8000052,40
東港町,ﾋｶﾞｼﾐﾅﾄﾏﾁ,8010853,40
東門司,ﾋｶﾞｼﾓｼﾞ,8010873,40
柄杓田,ﾋｼｬｸﾀﾞ,8010813,40
柄杓田町,ﾋｼｬｸﾀﾞﾏﾁ,8010814,40
広石,ﾋﾛｲｼ,8010842,40
藤松,ﾌｼﾞﾏﾂ,8000047,40
二タ松町,ﾌﾀﾏﾂﾁｮｳ,8000002,40
不老町,ﾌﾛｳﾁｮｳ,8000032,40
別院,ﾍﾞﾂｲﾝ,8000035,40
法師庵,ﾎｳｼｱﾝ,8010875,40
本町,ﾎﾝﾏﾁ,8010834,40
松崎町,ﾏﾂｻﾞｷﾁｮｳ,8000012,40
松原,ﾏﾂﾊﾞﾗ,8000064,40
丸山,ﾏﾙﾔﾏ,8010831,40
丸山吉野町,ﾏﾙﾔﾏﾖｼﾉﾏﾁ,8010824,40
緑ケ丘,ﾐﾄﾞﾘｶﾞｵｶ,8000043,40
港町,ﾐﾅﾄﾏﾁ,8010852,40
南本町,ﾐﾅﾐﾎﾝﾏﾁ,8000021,40
門司,ﾓｼﾞ,8010855,40
元清滝,ﾓﾄｷﾖﾀｷ,8010832,40
桃山台,ﾓﾓﾔﾏﾀﾞｲ,8000030,40
柳原町,ﾔﾅｷﾞﾊﾗﾏﾁ,8000036,40
柳町,ﾔﾅｷﾞﾏﾁ,8000025,40
矢筈町,ﾔﾊｽﾞﾏﾁ,8000006,40
