another_name,another_name_kana,post_id,prefecture_id
,,0000000,40
青葉台東,ｱｵﾊﾞﾀﾞｲﾋｶﾞｼ,8080141,40
青葉台西,ｱｵﾊﾞﾀﾞｲﾆｼ,8080143,40
青葉台南,ｱｵﾊﾞﾀﾞｲﾐﾅﾐ,8080142,40
赤岩町,ｱｶｲﾜﾏﾁ,0000000,40
赤崎町,ｱｶｻｷﾏﾁ,8080003,40
赤島町,ｱｶｼﾏﾏﾁ,8080073,40
蜑住,ｱﾏｽﾐ,8080122,40
有毛,ｱﾘｹﾞ,8080123,40
安瀬,ｱﾝｾ,8080022,40
安屋,ｱﾝﾔ,8080124,40
今光,ｲﾏﾐﾂ,8080071,40
栄盛川町,ｴｲｾｲｶﾞﾜﾏﾁ,8080014,40
老松,ｵｲﾏﾂ,8080032,40
大池町,ｵｵｲｹﾏﾁ,8080061,40
大井戸町,ｵｵｲﾄﾞﾏﾁ,8080033,40
大谷町,ｵｵﾀﾆﾏﾁ,8080051,40
大鳥居,ｵｵﾄﾘｲ,8080133,40
小竹,ｵﾀﾞｹ,0000000,40
小竹相川,ｵﾀﾞｹｱｲｶﾜ,8080008,40
小竹鬼ケ坂,ｵﾀﾞｹｵﾆｶﾞｻｶ,8080008,40
小竹唐木,ｵﾀﾞｹｶﾗｷ,8080008,40
小竹椿,ｵﾀﾞｹﾂﾊﾞｷ,8080008,40
小竹脇ノ浦,ｵﾀﾞｹﾜｷﾉｳﾗ,8080008,40
乙丸,ｵﾄﾏﾙ,8080134,40
片山,ｶﾀﾔﾏ,8080106,40
上原町,ｶﾐﾊﾗﾏﾁ,8080015,40
鴨生田,ｶﾓｵﾀﾞ,8080105,40
北浜,ｷﾀﾊﾏ,8080023,40
北湊町,ｷﾀﾐﾅﾄﾏﾁ,8080027,40
響南町,ｷｮｳﾅﾝﾏﾁ,8080011,40
くきのうみ中央,ｸｷﾉｳﾐﾁｭｳｵｳ,8080066,40
久岐の浜,ｸｷﾉﾊﾏ,8080054,40
小石,ｺｲｼ,8080007,40
小石本村町,ｺｲｼﾎﾝﾑﾗﾏﾁ,8080001,40
小糸町,ｺｲﾄﾏﾁ,8080046,40
向洋町,ｺｳﾖｳﾏﾁ,8080002,40
小敷,ｺｼｷ,8080132,40
小敷ひびきの,ｺｼｷﾋﾋﾞｷﾉ,8080139,40
桜町,ｻｸﾗﾏﾁ,8080026,40
迫田町,ｻｺﾀﾞﾏﾁ,8080041,40
塩屋,ｼｵﾔ,8080131,40
下原町,ｼﾓﾊﾗﾏﾁ,8080005,40
新大谷町,ｼﾝｵｵﾀﾆﾏﾁ,8080052,40
修多羅,ｽﾀﾗ,8080053,40
高須,ﾀｶｽ,8080148,40
高須東,ﾀｶｽﾋｶﾞｼ,8080144,40
高須西,ﾀｶｽﾆｼ,8080146,40
高須南,ﾀｶｽﾐﾅﾐ,8080145,40
高須北,ﾀｶｽｷﾀ,8080147,40
竹並,ﾀｹﾅﾐ,8080121,40
棚田町,ﾀﾅﾀﾞﾏﾁ,8080042,40
童子丸,ﾄﾞｳｼﾞﾏﾙ,8080076,40
頓田,ﾄﾝﾀﾞ,8080112,40
中川町,ﾅｶｶﾞﾜﾏﾁ,8080025,40
中畑町,ﾅｶﾊﾀﾏﾁ,8080047,40
波打町,ﾅﾐｳﾁﾏﾁ,8080013,40
西小石町,ﾆｼｺｲｼﾏﾁ,8080004,40
西園町,ﾆｼｿﾞﾉﾏﾁ,8080031,40
西天神町,ﾆｼﾃﾝｼﾞﾝﾏﾁ,8080101,40
西畑町,ﾆｼﾊﾀﾏﾁ,8080043,40
白山,ﾊｸｻﾝ,8080035,40
畠田,ﾊﾀｹﾀﾞ,8080104,40
畑谷町,ﾊﾀﾀﾞﾆﾏﾁ,8080055,40
花野路,ﾊﾅﾉｼﾞ,8080136,40
浜町,ﾊﾏﾏﾁ,8080024,40
払川,ﾊﾗｲｶﾞﾜ,8080113,40
原町,ﾊﾗﾏﾁ,8080016,40
東小石町,ﾋｶﾞｼｺｲｼﾏﾁ,8080017,40
東畑町,ﾋｶﾞｼﾊﾀﾏﾁ,8080044,40
東二島,ﾋｶﾞｼﾌﾀｼﾞﾏ,8080102,40
ひびきの,ﾋﾋﾞｷﾉ,8080135,40
ひびきの北,ﾋﾋﾞｷﾉｷﾀ,8080138,40
ひびきの南,ﾋﾋﾞｷﾉﾐﾅﾐ,8080137,40
響町,ﾋﾋﾞｷﾏﾁ,8080021,40
深町,ﾌｶﾏﾁ,8080012,40
藤木,ﾌｼﾞﾉｷ,8080065,40
藤ノ木,ﾌﾀｼﾞﾏ,8080074,40
二島,ﾌﾙﾏｴ,8080103,40
古前,ﾎﾝﾏﾁ,8080062,40
本町,ﾐﾅﾐﾌﾀｼﾞﾏ,8080034,40
南二島,ﾐﾔﾏｴﾏﾁ,8080109,40
宮前町,ﾐﾔﾏﾙ,8080006,40
宮丸,ﾔﾅｶﾞｻｷﾏﾁ,8080064,40
柳崎町,ﾔﾏﾃﾏﾁ,8080111,40
山手町,ﾔﾏﾉﾄﾞｳﾏﾁ,8080036,40
山ノ堂町,ﾕﾘﾉﾏﾁ,8080045,40
百合野町,ﾖｳｼﾞｬｸﾏﾁ,8080072,40
用勺町,ﾜﾀﾞﾏﾁ,8080077,40
和田町,,8080063,40
