another_name,another_name_kana,post_id,prefecture_id
,,0000000,24
相賀,ｱｲｶﾞ,5193406,24
馬瀬,ｳﾏｾﾞ,5193401,24
小浦,ｵｳﾗ,5193414,24
大原,ｵｵﾊﾗ,5193202,24
小山浦,ｵﾔﾏｳﾗ,5193407,24
海野,ｶｲﾉ,5193206,24
上里,ｶﾐｻﾞﾄ,5193403,24
河内,ｺｳﾁ,5193402,24
島勝浦,ｼﾏｶﾂｳﾗ,5193412,24
島原,ｼﾏﾊﾞﾗ,5193203,24
十須,ｼﾞｭｳｽ,5193201,24
白浦,ｼﾛｳﾗ,5193411,24
道瀬,ﾄﾞｳｾﾞ,5193207,24
中里,ﾅｶｻﾞﾄ,5193404,24
長島,ﾅｶﾞｼﾏ,5193205,24
東長島,ﾋｶﾞｼﾅｶﾞｼﾏ,5193204,24
引本浦,ﾋｷﾓﾄｳﾗ,5193413,24
便ノ山,ﾋﾞﾝﾉﾔﾏ,5193408,24
船津,ﾌﾅﾂ,5193405,24
古里,ﾌﾙｻﾄ,5193209,24
三浦,ﾐｳﾗ,5193208,24
矢口浦,ﾔｸﾞﾁｳﾗ,5193415,24
