another_name,another_name_kana,post_id,prefecture_id
,,0000000,23
朝日,ｱｻﾋ,4520932,23
阿原,ｱﾜﾗ,4520901,23
一場,ｲﾁﾊﾞ,4520931,23
大嶋,ｵｵｼﾏ,4520934,23
下津町,ｵﾘﾂﾞﾁｮｳ,4520963,23
上河原,ｶﾐｶﾞﾜﾗ,4520913,23
北市場本町,ｷﾀｲﾁﾊﾞﾎﾝﾏﾁ,4520935,23
清洲,ｷﾖｽ,4520942,23
下河原,ｼﾓｶﾞﾜﾗ,4520916,23
上条,ｼﾞｮｳｼﾞｮｳ,4520944,23
新清洲,ｼﾝｷﾖｽ,4520943,23
須ケ口,ｽｶｸﾞﾁ,4520905,23
須ケ口駅前,ｽｶｸﾞﾁｴｷﾏｴ,4520912,23
助七,ｽｹｼﾁ,0000000,23
土田,ﾂﾁﾀﾞ,4520945,23
寺野,ﾃﾗﾉ,4520908,23
桃栄,ﾄｳｴｲ,4520918,23
土器野,ﾄﾞｷﾉ,4520914,23
中河原,ﾅｶｶﾞﾜﾗ,4520915,23
鍋片,ﾅﾍﾞｶﾀ,4520907,23
西市場,ﾆｼｲﾁﾊﾞ,4520941,23
西須ケ口,ﾆｼｽｶｸﾞﾁ,4520911,23
西田中,ﾆｼﾀﾅｶ,4520933,23
西枇杷島町旭,ﾆｼﾋﾞﾜｼﾞﾏﾁｮｳｱｻﾋ,4520064,23
西枇杷島町泉,ﾆｼﾋﾞﾜｼﾞﾏﾁｮｳｲｽﾞﾐ,4520015,23
西枇杷島町一反五畝割,ﾆｼﾋﾞﾜｼﾞﾏﾁｮｳｲｯﾀﾝｺﾞｾﾜﾘ,4520007,23
西枇杷島町稲株,ﾆｼﾋﾞﾜｼﾞﾏﾁｮｳｲﾅｶﾌﾞ,4520010,23
西枇杷島町恵比須,ﾆｼﾋﾞﾜｼﾞﾏﾁｮｳｴﾋﾞｽ,4520005,23
西枇杷島町大野,ﾆｼﾋﾞﾜｼﾞﾏﾁｮｳｵｵﾉ,4520051,23
西枇杷島町押花,ﾆｼﾋﾞﾜｼﾞﾏﾁｮｳｵｼﾊﾞﾅ,4520014,23
西枇杷島町小田井,ﾆｼﾋﾞﾜｼﾞﾏﾁｮｳｵﾀｲ,4520021,23
西枇杷島町小野田,ﾆｼﾋﾞﾜｼﾞﾏﾁｮｳｵﾉﾀﾞ,4520041,23
西枇杷島町替地,ﾆｼﾋﾞﾜｼﾞﾏﾁｮｳｶｴﾁ,4520067,23
西枇杷島町片町,ﾆｼﾋﾞﾜｼﾞﾏﾁｮｳｶﾀﾏﾁ,4520024,23
西枇杷島町上新,ﾆｼﾋﾞﾜｼﾞﾏﾁｮｳｶﾐｼﾝ,4520022,23
西枇杷島町川口,ﾆｼﾋﾞﾜｼﾞﾏﾁｮｳｶﾜｸﾞﾁ,4520042,23
西枇杷島町北二ツ杁,ﾆｼﾋﾞﾜｼﾞﾏﾁｮｳｷﾀﾌﾀﾂｲﾘ,4520055,23
西枇杷島町北大和,ﾆｼﾋﾞﾜｼﾞﾏﾁｮｳｷﾀﾔﾏﾄ,4520012,23
西枇杷島町古城,ﾆｼﾋﾞﾜｼﾞﾏﾁｮｳｺｼﾞｮｳ,4520001,23
西枇杷島町五畝割,ﾆｼﾋﾞﾜｼﾞﾏﾁｮｳｺﾞｾﾜﾘ,4520062,23
西枇杷島町小場塚,ﾆｼﾋﾞﾜｼﾞﾏﾁｮｳｺﾊﾞﾂﾞｶ,4520061,23
西枇杷島町芝野新田,ﾆｼﾋﾞﾜｼﾞﾏﾁｮｳｼﾊﾞﾉｼﾝﾃﾞﾝ,4520066,23
西枇杷島町下新,ﾆｼﾋﾞﾜｼﾞﾏﾁｮｳｼﾓｼﾝ,4520023,23
西枇杷島町下砂入,ﾆｼﾋﾞﾜｼﾞﾏﾁｮｳｼﾓｽｲﾘ,4520017,23
西枇杷島町十軒裏,ﾆｼﾋﾞﾜｼﾞﾏﾁｮｳｼﾞｭﾂｹﾝｳﾗ,4520025,23
西枇杷島町城並,ﾆｼﾋﾞﾜｼﾞﾏﾁｮｳｼﾞｮｳﾅﾐ,4520011,23
西枇杷島町砂入,ﾆｼﾋﾞﾜｼﾞﾏﾁｮｳｽｲﾘ,4520016,23
西枇杷島町末広,ﾆｼﾋﾞﾜｼﾞﾏﾁｮｳｽｴﾋﾛ,4520003,23
西枇杷島町住吉,ﾆｼﾋﾞﾜｼﾞﾏﾁｮｳｽﾐﾖｼ,4520018,23
西枇杷島町大黒,ﾆｼﾋﾞﾜｼﾞﾏﾁｮｳﾀﾞｲｺｸ,4520004,23
西枇杷島町辰新田,ﾆｼﾋﾞﾜｼﾞﾏﾁｮｳﾀﾂｼﾝﾃﾞﾝ,4520052,23
西枇杷島町地領,ﾆｼﾋﾞﾜｼﾞﾏﾁｮｳﾁﾘｮｳ,4520008,23
西枇杷島町問屋,ﾆｼﾋﾞﾜｼﾞﾏﾁｮｳﾄﾝﾔ,4520035,23
西枇杷島町七畝割,ﾆｼﾋﾞﾜｼﾞﾏﾁｮｳﾅﾅｾﾜﾘ,4520063,23
西枇杷島町西笹子原,ﾆｼﾋﾞﾜｼﾞﾏﾁｮｳﾆｼｻｻｺﾊﾗ,4520046,23
西枇杷島町西八丁,ﾆｼﾋﾞﾜｼﾞﾏﾁｮｳﾆｼﾊｯﾁｮｳ,4520009,23
西枇杷島町西六軒,ﾆｼﾋﾞﾜｼﾞﾏﾁｮｳﾆｼﾛｯｹﾝ,4520045,23
西枇杷島町子新田,ﾆｼﾋﾞﾜｼﾞﾏﾁｮｳﾈｼﾝﾃﾞﾝ,4520068,23
西枇杷島町橋詰,ﾆｼﾋﾞﾜｼﾞﾏﾁｮｳﾊｼﾂﾞﾒ,4520026,23
西枇杷島町花咲,ﾆｼﾋﾞﾜｼﾞﾏﾁｮｳﾊﾅｻｷ,4520002,23
西枇杷島町東笹子原,ﾆｼﾋﾞﾜｼﾞﾏﾁｮｳﾋｶﾞｼｻｻｺﾊﾗ,4520047,23
西枇杷島町東六軒,ﾆｼﾋﾞﾜｼﾞﾏﾁｮｳﾋｶﾞｼﾛｯｹﾝ,4520043,23
西枇杷島町日之出,ﾆｼﾋﾞﾜｼﾞﾏﾁｮｳﾋﾉﾃﾞ,4520034,23
西枇杷島町日の出,ﾆｼﾋﾞﾜｼﾞﾏﾁｮｳﾌﾀﾐ,4520034,23
西枇杷島町二見,ﾆｼﾋﾞﾜｼﾞﾏﾁｮｳﾍﾞﾝﾃﾝ,4520033,23
西枇杷島町弁天,ﾆｼﾋﾞﾜｼﾞﾏﾁｮｳﾐﾅﾐﾄﾝﾔ,4520006,23
西枇杷島町南問屋,ﾆｼﾋﾞﾜｼﾞﾏﾁｮｳﾐﾅﾐﾌﾀﾂｲﾘ,4520036,23
西枇杷島町南二ツ杁,ﾆｼﾋﾞﾜｼﾞﾏﾁｮｳﾐﾅﾐﾏﾂﾊﾞﾗ,4520054,23
西枇杷島町南松原,ﾆｼﾋﾞﾜｼﾞﾏﾁｮｳﾐﾅﾐﾔﾏﾄ,4520053,23
西枇杷島町南大和,ﾆｼﾋﾞﾜｼﾞﾏﾁｮｳﾐﾅﾐﾛｯｹﾝ,4520013,23
西枇杷島町南六軒,ﾆｼﾋﾞﾜｼﾞﾏﾁｮｳﾐﾔﾏｴ,4520044,23
西枇杷島町宮前,ﾆｼﾋﾞﾜｼﾞﾏﾁｮｳﾖｳﾜ,4520031,23
