another_name,another_name_kana,post_id,prefecture_id
,,0000000,40
青柳,ｱｵﾔｷﾞ,8113134,40
青柳町,ｱｵﾔｷﾞﾏﾁ,8113133,40
糸ケ浦,ｲﾄｶﾞｳﾗ,8113136,40
今在家,ｲﾏｻﾞｲｹ,8113131,40
今の庄,ｲﾏﾉｼｮｳ,8113117,40
駅東,ｴｷﾋｶﾞｼ,8113102,40
小竹,ｵﾀﾞｹ,8113135,40
小山田,ｵﾔﾏﾀﾞ,8113126,40
花鶴丘,ｶﾂﾞﾙｶﾞｵｶ,8113104,40
川原,ｶﾜﾊﾞﾙ,8113132,40
久保,ｸﾎﾞ,8113115,40
玄望園,ｹﾞﾝﾎﾞｳｴﾝ,8113128,40
古賀,ｺｶﾞ,8113137,40
薦野,ｺﾓﾉ,8113122,40
鹿部,ｼｼﾌﾞ,8113105,40
庄,ｼｮｳ,8113116,40
新久保,ｼﾝｸﾎﾞ,8113118,40
新原,ｼﾝﾊﾞﾙ,8113127,40
谷山,ﾀﾆﾔﾏ,8113125,40
千鳥,ﾁﾄﾞﾘ,8113113,40
中央,ﾁｭｳｵｳ,8113103,40
天神,ﾃﾝｼﾞﾝ,8113101,40
米多比,ﾈﾀﾋﾞ,8113123,40
花見東,ﾊﾅﾐﾋｶﾞｼ,8113112,40
花見南,ﾊﾅﾐﾐﾅﾐ,8113111,40
日吉,ﾋﾖｼ,8113106,40
舞の里,ﾏｲﾉｻﾄ,8113114,40
美明,ﾐｱｹ,8113107,40
美郷,ﾐｻﾄ,8113119,40
筵内,ﾑｼﾛｳﾁ,8113121,40
薬王寺,ﾔｸｵｳｼﾞ,8113124,40
