another_name,another_name_kana,post_id,prefecture_id
,,0000000,20
相生町,ｱｲｵｲﾁｮｳ,3840025,20
赤坂,ｱｶｻｶ,3840011,20
天池,ｱﾏｲｹ,3840021,20
荒堀,ｱﾗﾎﾘ,3840062,20
荒町,ｱﾗﾏﾁ,3840014,20
池ノ前,ｲｹﾉﾏｴ,3840096,20
井子,ｲｺ,3840047,20
石峠,ｲｼﾄｳｹﾞ,3840054,20
市,ｲﾁ,3840083,20
市町,ｲﾁﾏﾁ,3840033,20
上ノ平,ｳｴﾉﾀﾞｲﾗ,3840075,20
後平,ｳｼﾛﾀﾞｲﾗ,3840042,20
大杭,ｵｵｸｲ,3840077,20
大久保,ｵｵｸﾎﾞ,3840071,20
大手,ｵｵﾃ,3840031,20
押出,ｵｼﾀﾞｼ,3840037,20
乙,ｵﾂ,3840802,20
乙女,ｵﾄﾒ,3840004,20
柏木,ｶｼﾜｷﾞ,3840055,20
加増,ｶﾏｽ,3840061,20
唐松,ｶﾗﾏﾂ,3840002,20
己,ｷ,3840805,20
久保,ｸﾎﾞ,3840076,20
熊ノ堂,ｸﾏﾉﾄﾞｳ,3840024,20
甲,ｺｳ,3840801,20
古城,ｺｼﾞｮｳ,3840032,20
小原,ｺﾊﾞﾗ,3840001,20
紺屋町,ｺﾝﾔﾏﾁ,3840015,20
坂ノ上,ｻｶﾉｳｴ,3840018,20
塩野,ｼｵﾉ,3840806,20
滋野甲,ｼｹﾞﾉｺｳ,3840809,20
東雲,ｼﾉﾉﾒ,3840023,20
芝生田,ｼﾎﾞｳﾀ,3840046,20
新町,ｼﾝﾏﾁ,3840034,20
諏訪山,ｽﾜﾔﾏ,3840082,20
滝原,ﾀｷﾊﾞﾗ,3840045,20
田町,ﾀﾏﾁ,3840028,20
鶴巻,ﾂﾙﾏｷ,3840007,20
丁,ﾃｲ,3840804,20
鴇久保,ﾄｷｸﾎﾞ,3840072,20
栃木,ﾄﾁｷﾞ,3840038,20
西浦,ﾆｼｳﾗ,3840074,20
西原,ﾆｼﾊﾞﾗ,3840044,20
糠地,ﾇｶﾁ,3840048,20
乗瀬,ﾉﾘｾ,3840064,20
八満,ﾊﾁﾏﾝ,3840051,20
八幡町,ﾊﾁﾏﾝﾁｮｳ,3840016,20
東区,ﾋｶﾞｼｸ,3840052,20
東小諸,ﾋｶﾞｼｺﾓﾛ,3840008,20
東山,ﾋｶﾞｼﾔﾏ,3840003,20
菱平,ﾋｼﾀﾞｲﾗ,3840041,20
一ツ谷,ﾋﾄﾂﾔ,3840094,20
ひばりケ丘,ﾋﾊﾞﾘｶﾞｵｶ,3840065,20
平原,ﾋﾗﾊﾗ,3840092,20
藤塚,ﾌｼﾞﾂｶ,3840053,20
富士見平,ﾌｼﾞﾐﾀﾞｲﾗ,3840036,20
丙,ﾍｲ,3840803,20
本町,ﾎﾝﾏﾁ,3840026,20
松井,ﾏﾂｲ,3840022,20
御影,ﾐｶｹﾞ,3840091,20
御影新田,ﾐｶｹﾞｼﾝﾃﾞﾝ,3840808,20
三和,ﾐﾂﾜ,3840017,20
緑ケ丘,ﾐﾄﾞﾘｶﾞｵｶ,3840013,20
南ケ原,ﾐﾅﾐｶﾞﾊﾗ,3840063,20
南町,ﾐﾅﾐﾁｮｳ,3840012,20
御牧ケ原,ﾐﾏｷｶﾞﾊﾗ,3840081,20
耳取,ﾐﾐﾄﾘ,3840084,20
宮沢,ﾐﾔｻﾞﾜ,3840078,20
御幸町,ﾐﾕｷﾁｮｳ,3840005,20
森山,ﾓﾘﾔﾏ,3840085,20
諸,ﾓﾛ,3840043,20
谷地原,ﾔﾁﾊﾗ,3840095,20
山浦,ﾔﾏｳﾗ,3840807,20
四ツ谷,ﾖﾂﾔ,3840056,20
与良町,ﾖﾗﾏﾁ,3840006,20
両神,ﾘｮｳｼﾞﾝ,3840035,20
六供,ﾛｯｸ,3840027,20
和田,ﾜﾀﾞ,3840093,20
