another_name,another_name_kana,post_id,prefecture_id
,,0000000,22
新居町新居,ｱﾗｲﾁｮｳｱﾗｲ,4310302,22
新居町内山,ｱﾗｲﾁｮｳｳﾁﾔﾏ,4310304,22
新居町中之郷,ｱﾗｲﾁｮｳﾅｶﾉｺﾞｳ,4310301,22
新居町浜名,ｱﾗｲﾁｮｳﾊﾏﾅ,4310303,22
入出,ｲﾘﾃﾞ,4310411,22
内浦,ｳﾁｳﾗ,4310412,22
梅田,ｳﾒﾀﾞ,4310425,22
駅南,ｴｷﾐﾅﾐ,4310427,22
太田,ｵｵﾀ,4310404,22
大知波,ｵｵﾁﾊﾞ,4310403,22
岡崎,ｵｶｻｷ,4310422,22
風の杜,ｶｾﾞﾉﾓﾘ,4310432,22
神座,ｶﾝｻﾞ,4310405,22
吉美,ｷﾋﾞ,4310441,22
古見,ｺﾐ,4310442,22
境宿,ｻｶｲｼﾞｭｸ,4310452,22
白須賀,ｼﾗｽｶ,4310451,22
新所,ｼﾝｼﾞｮ,4310421,22
新所・岡崎・梅田入会地,ｼﾝｼﾞｮ･ｵｶｻｷ･ｳﾒﾀﾞﾆｭｳｶｲﾁ,4310423,22
新所原,ｼﾝｼﾞｮﾊﾗ,4310424,22
新所原東,ｼﾝｼﾞｮﾊﾗﾋｶﾞｼ,4310426,22
ときわ,ﾄｷﾜ,4310428,22
坊瀬,ﾎﾞｳｾﾞ,4310444,22
南台,ﾐﾅﾐﾀﾞｲ,4310429,22
山口,ﾔﾏｸﾞﾁ,4310443,22
横山,ﾖｺﾔﾏ,4310401,22
利木,ﾘｷ,4310402,22
鷲津,ﾜｼﾂﾞ,4310431,22
