another_name,another_name_kana,post_id,prefecture_id
,,0000000,28
青葉台,ｱｵﾊﾞﾀﾞｲ,6511231,28
赤松台,ｱｶﾏﾂﾀﾞｲ,6511516,28
有野台,ｱﾘﾉﾀﾞｲ,6511321,28
有野町有野,ｱﾘﾉﾁｮｳｱﾘﾉ,6511312,28
有野町唐櫃,ｱﾘﾉﾁｮｳｶﾗﾄ,6511331,28
有野町二郎,ｱﾘﾉﾁｮｳﾆﾛｳ,6511311,28
有野中町,ｱﾘﾉﾅｶﾏﾁ,6511313,28
有馬町,ｱﾘﾏﾁｮｳ,6511401,28
泉台,ｲｽﾞﾐﾀﾞｲ,6511141,28
淡河町淡河,ｵｳｺﾞﾁｮｳｵｳｺﾞ,6511603,28
淡河町勝雄,ｵｳｺﾞﾁｮｳｶﾂｵ,6511604,28
淡河町北僧尾,ｵｳｺﾞﾁｮｳｷﾀｿｵ,6511601,28
淡河町北畑,ｵｳｺﾞﾁｮｳｷﾀﾊﾀ,6511616,28
淡河町木津,ｵｳｺﾞﾁｮｳｷﾂﾞ,6511614,28
淡河町行原,ｵｳｺﾞﾁｮｳｷﾞｮｳﾉﾊﾗ,6511613,28
淡河町神田,ｵｳｺﾞﾁｮｳｺｳﾀﾞ,6511622,28
淡河町中山,ｵｳｺﾞﾁｮｳﾅｶﾔﾏ,6511611,28
淡河町野瀬,ｵｳｺﾞﾁｮｳﾉｾ,6511623,28
淡河町萩原,ｵｳｺﾞﾁｮｳﾊｷﾞﾜﾗ,6511615,28
淡河町東畑,ｵｳｺﾞﾁｮｳﾋｶﾞｼﾊﾞﾀ,6511612,28
淡河町神影,ｵｳｺﾞﾁｮｳﾐｶｹﾞ,6511621,28
淡河町南僧尾,ｵｳｺﾞﾁｮｳﾐﾅﾐｿｵ,6511602,28
大池見山台,ｵｵｲｹﾐﾔﾏﾀﾞｲ,6511206,28
大沢町市原,ｵｵｿﾞｳﾁｮｳｲﾁﾊﾗ,6511521,28
大沢町上大沢,ｵｵｿﾞｳﾁｮｳｶﾐｵｵｿﾞｳ,6511522,28
大沢町神付,ｵｵｿﾞｳﾁｮｳｶﾝﾂﾞｹ,6511523,28
大沢町簾,ｵｵｿﾞｳﾁｮｳｽﾀﾞﾚ,6511526,28
大沢町中大沢,ｵｵｿﾞｳﾁｮｳﾅｶｵｵｿﾞｳ,6511524,28
大沢町日西原,ｵｵｿﾞｳﾁｮｳﾋｻｲﾊﾞﾗ,6511525,28
大原,ｵｵﾊﾗ,6511222,28
大脇台,ｵｵﾜｷﾀﾞｲ,6511144,28
小倉台,ｵｸﾞﾗﾀﾞｲ,6511211,28
柏尾台,ｶｼｵﾀﾞｲ,6511255,28
桂木,ｶﾂﾗｷﾞ,6511223,28
鹿の子台南町,ｶﾉｺﾀﾞｲﾐﾅﾐﾏﾁ,6511514,28
鹿の子台北町,ｶﾉｺﾀﾞｲｷﾀﾏﾁ,6511513,28
唐櫃台,ｶﾗﾄﾀﾞｲ,6511332,28
唐櫃六甲台,ｶﾗﾄﾛｯｺｳﾀﾞｲ,6511334,28
北五葉,ｷﾀｺﾞﾖｳ,6511131,28
君影町,ｷﾐｶｹﾞﾁｮｳ,6511122,28
京地,ｷｮｳｼﾞ,6511304,28
甲栄台,ｺｳｴｲﾀﾞｲ,6511142,28
上津台,ｺｳﾂﾞﾀﾞｲ,6511515,28
幸陽町,ｺｳﾖｳﾁｮｳ,6511203,28
広陵町,ｺｳﾘｮｳﾁｮｳ,6511213,28
桜森町,ｻｸﾗｼﾝﾏﾁ,6511214,28
しあわせの村,ｼｱﾜｾﾉﾑﾗ,6511106,28
菖蒲が丘,ｼｮｳﾌﾞｶﾞｵｶ,6511306,28
杉尾台,ｽｷﾞｵﾀﾞｲ,6511146,28
鈴蘭台東町,ｽｽﾞﾗﾝﾀﾞｲﾋｶﾞｼﾏﾁ,6511112,28
鈴蘭台西町,ｽｽﾞﾗﾝﾀﾞｲﾆｼﾏﾁ,6511114,28
