another_name,another_name_kana,post_id,prefecture_id
,,0000000,25
甲賀町油日,ｺｳｶﾁｮｳｱﾌﾞﾗﾋ,5203413,25
甲賀町櫟野,ｺｳｶﾁｮｳｲﾁﾉ,5203412,25
甲賀町岩室,ｺｳｶﾁｮｳｲﾜﾑﾛ,5203401,25
甲賀町上野,ｺｳｶﾁｮｳｳｴﾉ,5203421,25
甲賀町大久保,ｺｳｶﾁｮｳｵｵｸﾎﾞ,5203414,25
甲賀町大原市場,ｺｳｶﾁｮｳｵｵﾊﾗｲﾁﾊﾞ,5203433,25
甲賀町大原上田,ｺｳｶﾁｮｳｵｵﾊﾗｳｴﾀﾞ,5203415,25
甲賀町大原中,ｺｳｶﾁｮｳｵｵﾊﾗﾅｶ,5203431,25
甲賀町隠岐,ｺｳｶﾁｮｳｵｷ,5203405,25
甲賀町鹿深台,ｺｳｶﾁｮｳｶﾌｶﾀﾞｲ,5203427,25
甲賀町神,ｺｳｶﾁｮｳｶﾐ,5203411,25
甲賀町小佐治,ｺｳｶﾁｮｳｺｻｼﾞ,5203402,25
甲賀町五反田,ｺｳｶﾁｮｳｺﾞﾀﾝﾀﾞ,5203423,25
甲賀町相模,ｺｳｶﾁｮｳｻｶﾞﾐ,5203435,25
甲賀町神保,ｺｳｶﾁｮｳｼﾞﾝﾎﾞ,5203404,25
甲賀町高野,ｺｳｶﾁｮｳﾀｶﾉ,5203434,25
甲賀町高嶺,ｺｳｶﾁｮｳﾀｶﾐﾈ,5203424,25
甲賀町滝,ｺｳｶﾁｮｳﾀｷ,5203432,25
甲賀町田堵野,ｺｳｶﾁｮｳﾀﾄﾞﾉ,5203426,25
甲賀町鳥居野,ｺｳｶﾁｮｳﾄﾘｲﾉ,5203403,25
甲賀町拝坂,ｺｳｶﾁｮｳﾊｲｻｶ,5203436,25
甲賀町毛枚,ｺｳｶﾁｮｳﾓﾋﾞﾗ,5203425,25
甲賀町和田,ｺｳｶﾁｮｳﾜﾀ,5203422,25
甲南町池田,ｺｳﾅﾝﾁｮｳｲｹﾀﾞ,5203302,25
甲南町磯尾,ｺｳﾅﾝﾁｮｳｲｿｵ,5203312,25
甲南町市原,ｺｳﾅﾝﾁｮｳｲﾁﾊﾗ,5203316,25
甲南町葛木,ｺｳﾅﾝﾁｮｳｶﾂﾞﾗｷ,5203321,25
甲南町上馬杉,ｺｳﾅﾝﾁｮｳｶﾐﾏｽｷﾞ,5203303,25
甲南町希望ケ丘,ｺｳﾅﾝﾁｮｳｷﾎﾞｳｶﾞｵｶ,5203333,25
甲南町希望ケ丘本町,ｺｳﾅﾝﾁｮｳｷﾎﾞｳｶﾞｵｶﾎﾝﾏﾁ,5203332,25
甲南町耕心,ｺｳﾅﾝﾁｮｳｺｳｼﾝ,5203326,25
甲南町柑子,ｺｳﾅﾝﾁｮｳｺｵｼﾞ,5203306,25
甲南町塩野,ｺｳﾅﾝﾁｮｳｼｵﾉ,5203315,25
甲南町下馬杉,ｺｳﾅﾝﾁｮｳｼﾓﾏｽｷﾞ,5203304,25
甲南町新治,ｺｳﾅﾝﾁｮｳｼﾝｼﾞ,5203313,25
甲南町杉谷,ｺｳﾅﾝﾁｮｳｽｷﾞﾀﾆ,5203314,25
甲南町寺庄,ｺｳﾅﾝﾁｮｳﾃﾗｼｮｳ,5203301,25
