another_name,another_name_kana,post_id,prefecture_id
,,0000000,11
愛の町,ｱｲﾉﾏﾁ,3650068,11
赤城,ｱｶｷﾞ,3650002,11
赤城台,ｱｶｷﾞﾀﾞｲ,3650001,11
赤見台,ｱｶﾐﾀﾞｲ,3650064,11
新井,ｱﾗｲ,3650011,11
安養寺,ｱﾝﾖｳｼﾞ,3650021,11
市ノ縄,ｲﾁﾉﾅﾜ,3650072,11
稲荷町,ｲﾅﾘﾁｮｳ,3650063,11
榎戸,ｴﾉｷﾄﾞ,3690123,11
生出塚,ｵｲﾈﾂﾞｶ,3650033,11
大芦,ｵｵｱｼ,3690137,11
大間,ｵｵﾏ,3650054,11
笠原,ｶｻﾊﾗ,3650023,11
鎌塚,ｶﾏﾂｶ,3690112,11
加美,ｶﾐ,3650078,11
上会下,ｶﾐｴｹﾞ,3650012,11
上生出塚,ｶﾐｵｲﾈﾂﾞｶ,3650034,11
上谷,ｶﾐﾔ,3650027,11
川面,ｶﾜﾂﾞﾗ,3650061,11
北新宿,ｷﾀｼﾝｼｭｸ,3690116,11
北中野,ｷﾀﾅｶﾉ,3650058,11
北根,ｷﾀﾈ,3650003,11
屈巣,ｸｽ,3650014,11
郷地,ｺﾞｳｼﾞ,3650022,11
鴻巣,ｺｳﾉｽ,3650028,11
小松,ｺﾏﾂ,3650041,11
小谷,ｺﾔ,3690133,11
幸町,ｻｲﾜｲﾁｮｳ,3650057,11
境,ｻｶｲ,3650013,11
栄町,ｻｶｴﾁｮｳ,3650055,11
逆川,ｻｶｻｶﾞﾜ,3650047,11
三町免,ｻﾝﾁｮｳﾒﾝ,3690134,11
下生出塚,ｼﾓｵｲﾈﾂﾞｶ,3650035,11
下忍,ｼﾓｵｼ,3690113,11
下谷,ｼﾓﾔ,3650025,11
常光,ｼﾞｮｳｺｳ,3650024,11
新宿,ｼﾝｼｭｸ,3690111,11
神明,ｼﾝﾒｲ,3650074,11
すみれ野,ｽﾐﾚﾉ,3650067,11
関新田,ｾｷｼﾝﾃﾞﾝ,3650004,11
滝馬室,ﾀｷﾏﾑﾛ,3650044,11
中央,ﾁｭｳｵｳ,3650032,11
筑波,ﾂｸﾊﾞ,3690114,11
堤町,ﾂﾂﾐﾁｮｳ,3650056,11
寺谷,ﾃﾗﾔ,3650071,11
天神,ﾃﾝｼﾞﾝ,3650036,11
中井,ﾅｶｲ,3650065,11
西中曽根,ﾆｼﾅｶｿﾞﾈ,3650026,11
人形,ﾆﾝｷﾞｮｳ,3650037,11
糠田,ﾇｶﾀ,3650059,11
登戸,ﾉﾎﾞﾘﾄ,3650052,11
八幡田,ﾊﾁﾏﾝﾃﾞﾝ,3650073,11
荊原,ﾊﾞﾗﾊﾗ,3690124,11
原馬室,ﾊﾗﾏﾑﾛ,3650043,11
氷川町,ﾋｶﾜﾁｮｳ,3650045,11
東,ﾋｶﾞｼ,3650039,11
ひばり野,ﾋﾊﾞﾘﾉ,3650031,11
広田,ﾋﾛﾀﾞ,3650005,11
吹上,ﾌｷｱｹﾞ,3690136,11
吹上富士見,ﾌｷｱｹﾞﾌｼﾞﾐ,3690121,11
吹上本町,ﾌｷｱｹﾞﾎﾝﾁｮｳ,3690115,11
袋,ﾌｸﾛ,3690131,11
富士見町,ﾌｼﾞﾐﾁｮｳ,3650046,11
本町,ﾎﾝﾁｮｳ,3650038,11
本宮町,ﾎﾝﾐﾔﾁｮｳ,3650076,11
前砂,ﾏｴｽﾅ,3690132,11
松原,ﾏﾂﾊﾞﾗ,3650042,11
箕田,ﾐﾀﾞ,3650062,11
三ツ木,ﾐﾂｷﾞ,3650066,11
緑町,ﾐﾄﾞﾘﾁｮｳ,3650053,11
南,ﾐﾅﾐ,3690122,11
宮地,ﾐﾔｼﾞ,3650075,11
宮前,ﾐﾔﾏｴ,3650051,11
明用,ﾐｮｳﾖｳ,3690135,11
雷電,ﾗｲﾃﾞﾝ,3650077,11
