another_name,another_name_kana,post_id,prefecture_id
,,0000000,7
赤木町,ｱｶｷﾞﾏﾁ,9638006,7
阿久津町,ｱｸﾂﾏﾁ,9630667,7
安積,ｱｻｶ,9630107,7
安積荒井,ｱｻｶｱﾗｲ,9630117,7
安積荒井本町,ｱｻｶｱﾗｲﾓﾄﾏﾁ,9630116,7
安積北井,ｱｻｶｷﾀｲ,9630118,7
安積町,ｱｻｶﾏﾁ,9630114,7
安積町柴宮東,ｱｻｶﾏﾁｼﾊﾞﾐﾔﾋｶﾞｼ,9630114,7
安積町荒井,ｱｻｶﾏﾁｱﾗｲ,9630111,7
安積町牛庭,ｱｻｶﾏﾁｳｼﾆﾜ,9630113,7
安積町大森町,ｱｻｶﾏﾁｵｵﾓﾘﾁｮｳ,9630103,7
安積町笹川,ｱｻｶﾏﾁｻｻｶﾞﾜ,9630102,7
安積町長久保,ｱｻｶﾏﾁﾅｶﾞｸﾎﾞ,9630105,7
安積町成田,ｱｻｶﾏﾁﾅﾘﾀ,9630112,7
安積町日出山,ｱｻｶﾏﾁﾋﾃﾞﾉﾔﾏ,9630101,7
安積町南長久保,ｱｻｶﾏﾁﾐﾅﾐﾅｶﾞｸﾎﾞ,9630104,7
安積町吉田,ｱｻｶﾏﾁﾖｼﾀ,9630109,7
朝日,ｱｻﾋ,9638024,7
愛宕町,ｱﾀｺﾞﾏﾁ,9638873,7
熱海町安子島,ｱﾀﾐﾏﾁｱｺｶﾞｼﾏ,9631304,7
熱海町熱海,ｱﾀﾐﾏﾁｱﾀﾐ,9631309,7
熱海町石筵,ｱﾀﾐﾏﾁｲｼﾑｼﾛ,9631301,7
熱海町上伊豆島,ｱﾀﾐﾏﾁｶﾐｲｽﾞｼﾏ,9631306,7
熱海町下伊豆島,ｱﾀﾐﾏﾁｼﾓｲｽﾞｼﾏ,9631305,7
熱海町高玉,ｱﾀﾐﾏﾁﾀｶﾀﾏ,9631302,7
熱海町玉川,ｱﾀﾐﾏﾁﾀﾏｶﾞﾜ,9631303,7
熱海町中山,ｱﾀﾐﾏﾁﾅｶﾔﾏ,9631308,7
熱海町長橋,ｱﾀﾐﾏﾁﾅｶﾞﾊｼ,9631307,7
あぶくま台,ｱﾌﾞｸﾏﾀﾞｲ,9630664,7
荒井町,ｱﾗｲﾏﾁ,9630704,7
新屋敷,ｱﾗﾔｼｷ,9638045,7
池ノ台,ｲｹﾉﾀﾞｲ,9638875,7
石塚,ｲｼﾂﾞｶ,9638825,7
石渕町,ｲｼﾌﾞﾁﾏﾁ,9638814,7
うねめ町,ｳﾈﾒﾏﾁ,9638036,7
駅前,ｴｷﾏｴ,9638002,7
逢瀬町河内,ｵｳｾﾏﾁｺｳｽﾞ,9630212,7
逢瀬町多田野,ｵｳｾﾏﾁﾀﾀﾞﾉ,9630213,7
逢瀬町夏出,ｵｳｾﾏﾁﾅﾂｲﾃﾞ,9630214,7
大河原,ｵｵｶﾜﾗ,9638828,7
大平町,ｵｵﾀﾞｲﾗﾏﾁ,9638817,7
大槻町,ｵｵﾂｷﾏﾁ,9630201,7
大町,ｵｵﾏﾁ,9638001,7
開成,ｶｲｾｲ,9638851,7
香久池,ｶｸﾞｲｹ,9638833,7
賀庄,ｶﾞｼｮｳ,9638844,7
柏山町,ｶｼﾜﾔﾏﾏﾁ,9630202,7
片平町,ｶﾀﾋﾗﾏﾁ,9630211,7
蒲倉町,ｶﾊﾞｸﾗﾏﾁ,9630703,7
上伊豆島,ｶﾐｲｽﾞｼﾏ,9631311,7
上亀田,ｶﾐｶﾒﾀﾞ,9638031,7
上野山,ｶﾐﾉﾔﾏ,9638816,7
亀田,ｶﾒﾀﾞ,9638033,7
亀田西,ｶﾒﾀﾞﾆｼ,9630221,7
榧の木,ｶﾔﾉｷ,9638829,7
川向,ｶﾜﾑｶｲ,9638843,7
喜久田町,ｷｸﾀﾏﾁ,9630551,7
喜久田町赤坂,ｷｸﾀﾏﾁｱｶｻｶ,9630545,7
喜久田町卸,ｷｸﾀﾏﾁｵﾛｼ,9630547,7
喜久田町坪沢,ｷｸﾀﾏﾁﾂﾎﾞｻﾜ,9630544,7
喜久田町原,ｷｸﾀﾏﾁﾊﾗ,9630542,7
喜久田町堀之内,ｷｸﾀﾏﾁﾎﾘﾉｳﾁ,9630541,7
喜久田町前田沢,ｷｸﾀﾏﾁﾏｴﾀｻﾞﾜ,9630543,7
喜久田町早稲原,ｷｸﾀﾏﾁﾜｾﾊﾗ,9630546,7
北畑,ｷﾀﾊﾞﾀｹ,9638804,7
希望ケ丘,ｷﾎﾞｳｶﾞｵｶ,9638035,7
久留米,ｸﾙﾒ,9638846,7
桑野,ｸﾜﾉ,9638025,7
桑野北町,ｸﾜﾉｷﾀﾏﾁ,9638038,7
桑野清水台,ｸﾜﾉｼﾐｽﾞﾀﾞｲ,9638866,7
小関谷地,ｺｾｷﾔｼﾞ,9638039,7
御前南,ｺﾞｾﾞﾝﾐﾅﾐ,9630209,7
湖南町赤津,ｺﾅﾝﾏﾁｱｶﾂ,9631631,7
湖南町舘,ｺﾅﾝﾏﾁﾀﾃ,9631412,7
湖南町中野,ｺﾅﾝﾏﾁﾅｶﾉ,9631521,7
湖南町浜路,ｺﾅﾝﾏﾁﾊﾏｼﾞ,9631414,7
湖南町馬入新田,ｺﾅﾝﾏﾁﾊﾞﾆｭｳｼﾝﾃﾞﾝ,9631632,7
湖南町福良,ｺﾅﾝﾏﾁﾌｸﾗ,9631633,7
湖南町舟津,ｺﾅﾝﾏﾁﾌﾅﾂ,9631411,7
湖南町三代,ｺﾅﾝﾏﾁﾐﾖ,9631522,7
湖南町横沢,ｺﾅﾝﾏﾁﾖｺｻﾜ,9631413,7
小原田,ｺﾊﾗﾀﾞ,9638835,7
五百渕西,ｺﾞﾋｬｸﾌﾞﾁﾆｼ,9638865,7
五百渕山,ｺﾞﾋｬｸﾌﾞﾁﾔﾏ,9638867,7
菜根,ｻｲｺﾝ,9638862,7
菜根屋敷,ｻｲｺﾝﾔｼｷ,9638863,7
栄町,ｻｶｴﾏﾁ,9638872,7
咲田,ｻｸﾀ,9638012,7
桜木,ｻｸﾗｷﾞ,9638021,7
笹川,ｻｻｶﾞﾜ,9630108,7
佐野良,ｻﾉﾗ,9638807,7
静西,ｼｽﾞｶﾆｼ,9630232,7
静町,ｼｽﾞｶﾏﾁ,9630203,7
島,ｼﾏ,9638034,7
清水台,ｼﾐｽﾞﾀﾞｲ,9638005,7
下亀田,ｼﾓｶﾒﾀﾞ,9638032,7
下白岩町,ｼﾓｼﾗｲﾜﾏﾁ,9630663,7
下舘野,ｼﾓﾀﾃﾉ,9638806,7
十貫河原,ｼﾞｭｯｶﾝｶﾞﾜﾗ,9638818,7
昭和,ｼｮｳﾜ,9638822,7
白岩町,ｼﾗｲﾜﾏﾁ,9630662,7
城清水,ｼﾛｼﾐｽﾞ,9638842,7
神明町,ｼﾝﾒｲﾁｮｳ,9638013,7
水門町,ｽｲﾓﾝﾏﾁ,9638815,7
図景,ｽﾞｹｲ,9638834,7
外河原,ｿﾄｶﾞﾜﾗ,9638827,7
台新,ﾀﾞｲｼﾝ,9638852,7
大名艮,ﾀﾞｲﾅｺﾞﾝ,9638007,7
台東,ﾀﾞｲﾋｶﾞｼ,9638864,7
田村町大供,ﾀﾑﾗﾏﾁｵｵﾄﾓ,9631153,7
田村町金沢,ﾀﾑﾗﾏﾁｶﾈｻﾞﾜ,9631151,7
田村町金屋,ﾀﾑﾗﾏﾁｶﾅﾔ,9630725,7
田村町上道渡,ﾀﾑﾗﾏﾁｶﾐﾐﾁﾜﾀｼ,9631248,7
田村町上行合,ﾀﾑﾗﾏﾁｶﾐﾕｷｱｲ,9630724,7
田村町川曲,ﾀﾑﾗﾏﾁｶﾜﾏｶﾞﾘ,9631241,7
田村町岩作,ﾀﾑﾗﾏﾁｶﾞﾝｻﾞｸ,9631154,7
田村町小川,ﾀﾑﾗﾏﾁｺｶﾞﾜ,9630722,7
田村町桜ケ丘,ﾀﾑﾗﾏﾁｻｸﾗｶﾞｵｶ,9630723,7
田村町山中,ﾀﾑﾗﾏﾁｻﾝﾁｭｳ,9631162,7
田村町下道渡,ﾀﾑﾗﾏﾁｼﾓﾐﾁﾜﾀｼ,9631247,7
田村町下行合,ﾀﾑﾗﾏﾁｼﾓﾕｷｱｲ,9630726,7
田村町正直,ﾀﾑﾗﾏﾁｼｮｳｼﾞｷ,9631163,7
田村町田母神,ﾀﾑﾗﾏﾁﾀﾓｶﾞﾐ,9631243,7
田村町大善寺,ﾀﾑﾗﾏﾁﾀﾞｲｾﾞﾝｼﾞ,9631161,7
田村町手代木,ﾀﾑﾗﾏﾁﾃｼﾛｷﾞ,9630721,7
田村町徳定,ﾀﾑﾗﾏﾁﾄｸｻﾀﾞ,9631165,7
田村町栃本,ﾀﾑﾗﾏﾁﾄﾁﾓﾄ,9631244,7
田村町栃山神,ﾀﾑﾗﾏﾁﾄﾁﾔﾏｶﾐ,9631245,7
田村町糠塚,ﾀﾑﾗﾏﾁﾇｶﾂﾞｶ,9631242,7
田村町東山,ﾀﾑﾗﾏﾁﾋｶﾞｼﾔﾏ,9631156,7
田村町細田,ﾀﾑﾗﾏﾁﾎｿﾀﾞ,9631152,7
田村町御代田,ﾀﾑﾗﾏﾁﾐﾖﾀﾞ,9631164,7
田村町守山,ﾀﾑﾗﾏﾁﾓﾘﾔﾏ,9631155,7
田村町谷田川,ﾀﾑﾗﾏﾁﾔﾀｶﾞﾜ,9631246,7
長者,ﾁｮｳｼﾞｬ,9638017,7
土瓜,ﾂﾁｳﾘ,9630204,7
堤,ﾂﾂﾐ,9630205,7
堤下町,ﾂﾂﾐｼﾀﾏﾁ,9638878,7
鶴見坦,ﾂﾙﾐﾀﾞﾝ,9638861,7
東宿,ﾄｳｼﾞｭｸ,9638008,7
道場,ﾄﾞｳﾊﾞ,9638824,7
堂前町,ﾄﾞｳﾏｴﾏﾁ,9638877,7
富田東,ﾄﾐﾀﾋｶﾞｼ,9638047,7
