another_name,another_name_kana,post_id,prefecture_id
,,0000000,34
相田,ｱｲﾀ,7310141,34
大塚東,ｵｵﾂﾞｶﾋｶﾞｼ,7313166,34
大塚東町,ｵｵﾂﾞｶﾋｶﾞｼﾏﾁ,7313173,34
大塚西,ｵｵﾂﾞｶﾆｼ,7313167,34
大塚西町,ｵｵﾂﾞｶﾆｼﾏﾁ,7313174,34
大町,ｵｵﾏﾁ,7310126,34
大町東,ｵｵﾏﾁﾋｶﾞｼ,7310124,34
大町西,ｵｵﾏﾁﾆｼ,7310125,34
上安,ｶﾐﾔｽ,7310154,34
上安町,ｶﾐﾔｽﾁｮｳ,7310154,34
川内,ｶﾜｳﾁ,7310102,34
祇園,ｷﾞｵﾝ,7310138,34
高取南,ﾀｶﾄﾘﾐﾅﾐ,7310142,34
高取南町,ﾀｶﾄﾘﾐﾅﾐﾏﾁ,7310142,34
高取北,ﾀｶﾄﾘｷﾀ,7310144,34
長楽寺,ﾁｮｳﾗｸｼﾞ,7310143,34
長楽寺町,ﾁｮｳﾗｸｼﾞﾁｮｳ,7310143,34
伴北,ﾄﾓｷﾀ,7313163,34
伴北町,ﾄﾓｷﾀﾏﾁ,7313171,34
伴中央,ﾄﾓﾁｭｳｵｳ,7313165,34
伴西,ﾄﾓﾆｼ,7313169,34
伴西町,ﾄﾓﾆｼﾏﾁ,7313175,34
伴東,ﾄﾓﾋｶﾞｼ,7313164,34
伴東町,ﾄﾓﾋｶﾞｼﾏﾁ,7313172,34
伴南,ﾄﾓﾐﾅﾐ,7313168,34
中須,ﾅｶｽ,7310121,34
中筋,ﾅｶｽｼﾞ,7310122,34
長束,ﾅｶﾞﾂｶ,7310135,34
長束西,ﾅｶﾞﾂｶﾆｼ,7310136,34
西原,ﾆｼﾊﾗ,7310113,34
沼田町阿戸,ﾇﾏﾀﾁｮｳｱﾄ,7313271,34
沼田町伴,ﾇﾏﾀﾁｮｳﾄﾓ,7313161,34
沼田町吉山,ﾇﾏﾀﾁｮｳﾖｼﾔﾏ,7313272,34
東野,ﾋｶﾞｼﾉ,7310111,34
東原,ﾋｶﾞｼﾊﾗ,7310112,34
毘沙門台,ﾋﾞｼｬﾓﾝﾀﾞｲ,7310152,34
毘沙門台東,ﾋﾞｼｬﾓﾝﾀﾞｲﾋｶﾞｼ,7310151,34
古市,ﾌﾙｲﾁ,7310123,34
緑井,ﾐﾄﾞﾘｲ,7310103,34
八木,ﾔｷﾞ,7310101,34
八木町,ﾔｷﾞﾁｮｳ,7310101,34
安東,ﾔｽﾋｶﾞｼ,7310153,34
山本,ﾔﾏﾓﾄ,7310137,34
山本新町,ﾔﾏﾓﾄｼﾝﾏﾁ,7310139,34
山本町,ﾔﾏﾓﾄﾁｮｳ,7310137,34
