another_name,another_name_kana,post_id,prefecture_id
,,0000000,34
榎町,ｴﾉﾏﾁ,7300851,34
江波沖町,ｴﾊﾞｵｷﾏﾁ,7300837,34
江波栄町,ｴﾊﾞｻｶｴﾏﾁ,7300836,34
江波二本松,ｴﾊﾞﾆﾎﾝﾏﾂ,7300834,34
江波本町,ｴﾊﾞﾎﾝﾏﾁ,7300833,34
江波東,ｴﾊﾞﾋｶﾞｼ,7300832,34
江波西,ｴﾊﾞﾆｼ,7300831,34
江波南,ｴﾊﾞﾐﾅﾐ,7300835,34
胡町,ｴﾋﾞｽﾁｮｳ,7300021,34
大手町,ｵｵﾃﾏﾁ,7300051,34
加古町,ｶｺﾏﾁ,7300812,34
銀山町,ｶﾅﾔﾏﾁｮｳ,7300022,34
上幟町,ｶﾐﾉﾎﾞﾘﾁｮｳ,7300014,34
上八丁堀,ｶﾐﾊｯﾁｮｳﾎﾞﾘ,7300012,34
紙屋町,ｶﾐﾔﾁｮｳ,7300031,34
河原町,ｶﾜﾗﾏﾁ,7300856,34
小網町,ｺｱﾐﾁｮｳ,7300855,34
光南,ｺｳﾅﾝ,7300825,34
国泰寺町,ｺｸﾀｲｼﾞﾏﾁ,7300042,34
小町,ｺﾏﾁ,7300041,34
堺町,ｻｶｲﾏﾁ,7300853,34
昭和町,ｼｮｳﾜﾏﾁ,7300046,34
新天地,ｼﾝﾃﾝﾁ,7300034,34
住吉町,ｽﾐﾖｼﾁｮｳ,7300813,34
千田町,ｾﾝﾀﾞﾏﾁ,7300052,34
宝町,ﾀｶﾗﾏﾁ,7300044,34
竹屋町,ﾀｹﾔﾁｮｳ,7300048,34
立町,ﾀﾃﾏﾁ,7300032,34
田中町,ﾀﾅｶﾏﾁ,7300026,34
鶴見町,ﾂﾙﾐﾁｮｳ,7300045,34
鉄砲町,ﾃｯﾎﾟｳﾁｮｳ,7300017,34
寺町,ﾃﾗﾏﾁ,7300801,34
十日市町,ﾄｳｶｲﾁﾏﾁ,7300805,34
土橋町,ﾄﾞﾊｼﾁｮｳ,7300854,34
中島町,ﾅｶｼﾞﾏﾁｮｳ,7300811,34
中町,ﾅｶﾏﾁ,7300037,34
流川町,ﾅｶﾞﾚｶﾜﾁｮｳ,7300028,34
西川口町,ﾆｼｶﾜｸﾞﾁﾁｮｳ,7300846,34
西十日市町,ﾆｼﾄｳｶｲﾁﾏﾁ,7300806,34
西白島町,ﾆｼﾊｸｼﾏﾁｮｳ,7300005,34
西平塚町,ﾆｼﾋﾗﾂｶﾁｮｳ,7300024,34
猫屋町,ﾈｺﾔﾁｮｳ,7300852,34
幟町,ﾉﾎﾞﾘﾁｮｳ,7300016,34
白島北町,ﾊｸｼﾏｷﾀﾏﾁ,7300001,34
白島九軒町,ﾊｸｼﾏｸｹﾝﾁｮｳ,7300003,34
白島中町,ﾊｸｼﾏﾅｶﾏﾁ,7300002,34
羽衣町,ﾊｺﾞﾛﾓﾁｮｳ,7300814,34
橋本町,ﾊｼﾓﾄﾁｮｳ,7300015,34
八丁堀,ﾊｯﾁｮｳﾎﾞﾘ,7300013,34
東千田町,ﾋｶﾞｼｾﾝﾀﾞﾏﾁ,7300053,34
東白島町,ﾋｶﾞｼﾊｸｼﾏﾁｮｳ,7300004,34
東平塚町,ﾋｶﾞｼﾋﾗﾂｶﾁｮｳ,7300025,34
平野町,ﾋﾗﾉﾏﾁ,7300047,34
広瀬北町,ﾋﾛｾｷﾀﾏﾁ,7300803,34
広瀬町,ﾋﾛｾﾏﾁ,7300804,34
袋町,ﾌｸﾛﾏﾁ,7300036,34
富士見町,ﾌｼﾞﾐﾁｮｳ,7300043,34
舟入川口町,ﾌﾅｲﾘｶﾜｸﾞﾁﾁｮｳ,7300845,34
舟入幸町,ﾌﾅｲﾘｻｲﾜｲﾁｮｳ,7300844,34
舟入中町,ﾌﾅｲﾘﾅｶﾏﾁ,7300842,34
舟入本町,ﾌﾅｲﾘﾎﾝﾏﾁ,7300843,34
舟入南,ﾌﾅｲﾘﾐﾅﾐ,7300847,34
舟入町,ﾌﾅｲﾘﾏﾁ,7300841,34
堀川町,ﾎﾘｶﾜﾁｮｳ,7300033,34
本川町,ﾎﾝｶﾜﾁｮｳ,7300802,34
本通,ﾎﾝﾄﾞｵﾘ,7300035,34
三川町,ﾐｶﾜﾁｮｳ,7300029,34
南千田東町,ﾐﾅﾐｾﾝﾀﾞﾋｶﾞｼﾏﾁ,7300054,34
南千田西町,ﾐﾅﾐｾﾝﾀﾞﾆｼﾏﾁ,7300055,34
南竹屋町,ﾐﾅﾐﾀｹﾔﾁｮｳ,7300049,34
南吉島,ﾐﾅﾐﾖｼｼﾞﾏ,7300826,34
基町,ﾓﾄﾏﾁ,7300011,34
薬研堀,ﾔｹﾞﾝﾎﾞﾘ,7300027,34
弥生町,ﾔﾖｲﾁｮｳ,7300023,34
吉島新町,ﾖｼｼﾞﾏｼﾝﾏﾁ,7300824,34
吉島東,ﾖｼｼﾞﾏﾋｶﾞｼ,7300822,34
吉島西,ﾖｼｼﾞﾏﾆｼ,7300823,34
吉島町,ﾖｼｼﾞﾏﾁｮｳ,7300821,34
