another_name,another_name_kana,post_id,prefecture_id
,,0000000,34
曙,ｱｹﾎﾞﾉ,7320045,34
愛宕町,ｱﾀｺﾞﾏﾁ,7320054,34
牛田旭,ｳｼﾀｱｻﾋ,7320067,34
牛田新町,ｳｼﾀｼﾝﾏﾁ,7320068,34
牛田中,ｳｼﾀﾅｶ,7320065,34
牛田本町,ｳｼﾀﾎﾝﾏﾁ,7320066,34
牛田早稲田,ｳｼﾀﾜｾﾀﾞ,7320062,34
牛田東,ｳｼﾀﾋｶﾞｼ,7320063,34
牛田南,ｳｼﾀﾐﾅﾐ,7320064,34
牛田山,ｳｼﾀﾔﾏ,7320061,34
馬木,ｳﾏｷ,7320031,34
馬木町,ｳﾏｷﾁｮｳ,7320035,34
尾長東,ｵﾅｶﾞﾋｶﾞｼ,7320046,34
尾長西,ｵﾅｶﾞﾆｼ,7320047,34
尾長町,ｵﾅｶﾞﾏﾁ,7320049,34
上大須賀町,ｶﾐｵｵｽｶﾞﾁｮｳ,7320056,34
上温品,ｶﾐﾇｸｼﾅ,7320032,34
中山鏡が丘,ﾅｶﾔﾏｶｶﾞﾐｶﾞｵｶ,7320022,34
中山上,ﾅｶﾔﾏｶﾐ,7320027,34
中山北町,ﾅｶﾔﾏｷﾀﾏﾁ,7320028,34
中山新町,ﾅｶﾔﾏｼﾝﾏﾁ,7320021,34
中山中町,ﾅｶﾔﾏﾅｶﾏﾁ,7320026,34
中山東,ﾅｶﾔﾏﾋｶﾞｼ,7320023,34
中山西,ﾅｶﾔﾏﾆｼ,7320025,34
中山南,ﾅｶﾔﾏﾐﾅﾐ,7320024,34
温品,ﾇｸｼﾅ,7320033,34
温品町,ﾇｸｼﾅﾁｮｳ,7320034,34
光が丘,ﾋｶﾘｶﾞｵｶ,7320051,34
光町,ﾋｶﾘﾏﾁ,7320052,34
東蟹屋町,ﾋｶﾞｼｶﾆﾔﾁｮｳ,7320055,34
東山町,ﾋｶﾞｼﾔﾏﾁｮｳ,7320043,34
福田,ﾌｸﾀﾞ,7320029,34
福田町,ﾌｸﾀﾞﾁｮｳ,7320036,34
二葉の里,ﾌﾀﾊﾞﾉｻﾄ,7320057,34
戸坂出江,ﾍｻｶｲﾂﾞｴ,7320016,34
戸坂大上,ﾍｻｶｵｵｱｹﾞ,7320014,34
戸坂数甲,ﾍｻｶｶｽﾞｺｳ,7320017,34
戸坂くるめ木,ﾍｻｶｸﾙﾒｷﾞ,7320008,34
戸坂桜上町,ﾍｻｶｻｸﾗｳｴﾏﾁ,7320007,34
戸坂桜東町,ﾍｻｶｻｸﾗﾋｶﾞｼﾏﾁ,7320005,34
戸坂桜西町,ﾍｻｶｻｸﾗﾆｼﾏﾁ,7320006,34
戸坂城山町,ﾍｻｶｼﾛﾔﾏﾁｮｳ,7320015,34
戸坂新町,ﾍｻｶｼﾝﾏﾁ,7320012,34
戸坂千足,ﾍｻｶｾﾝｿﾞｸ,7320009,34
戸坂惣田,ﾍｻｶｿｳﾀﾞ,7320001,34
戸坂長尾台,ﾍｻｶﾅｶﾞｵﾀﾞｲ,7320018,34
戸坂中町,ﾍｻｶﾅｶﾏﾁ,7320003,34
戸坂山崎町,ﾍｻｶﾔﾏｻｷﾁｮｳ,7320004,34
戸坂山根,ﾍｻｶﾔﾏﾈ,7320002,34
戸坂南,ﾍｻｶﾐﾅﾐ,7320013,34
戸坂町,ﾍｻｶﾁｮｳ,7320011,34
矢賀,ﾔｶﾞ,7320042,34
矢賀新町,ﾔｶﾞｼﾝﾏﾁ,7320044,34
矢賀町,ﾔｶﾞﾏﾁ,7320041,34
山根町,ﾔﾏﾈﾁｮｳ,7320048,34
若草町,ﾜｶｸｻﾁｮｳ,7320053,34
