another_name,another_name_kana,post_id,prefecture_id
,,0000000,13
青海,ｱｵﾐ,1350064,13
有明,ｱﾘｱｹ,1350063,13
石島,ｲｼｼﾞﾏ,1350014,13
海の森,ｳﾐﾉﾓﾘ,1350066,13
海辺,ｳﾐﾍﾞ,1350012,13
永代,ｴｲﾀｲ,1350034,13
枝川,ｴﾀﾞｶﾞﾜ,1350051,13
越中島,ｴｯﾁｭｳｼﾞﾏ,1350044,13
扇橋,ｵｳｷﾞﾊﾞｼ,1350011,13
大島,ｵｵｼﾞﾏ,1360072,13
亀戸,ｶﾒｲﾄﾞ,1360071,13
北砂,ｷﾀｽﾅ,1360073,13
木場,ｷﾊﾞ,1350042,13
清澄,ｷﾖｽﾐ,1350024,13
佐賀,ｻｶﾞ,1350031,13
猿江,ｻﾙｴ,1350003,13
塩浜,ｼｵﾊﾏ,1350043,13
潮見,ｼｵﾐ,1350052,13
東雲,ｼﾉﾉﾒ,1350062,13
白河,ｼﾗｶﾜ,1350021,13
新大橋,ｼﾝｵｵﾊｼ,1350007,13
新木場,ｼﾝｷﾊﾞ,1360082,13
新砂,ｼﾝｽﾅ,1360075,13
住吉,ｽﾐﾖｼ,1350002,13
千石,ｾﾝｺﾞｸ,1350015,13
千田,ｾﾝﾀﾞ,1350013,13
高橋,ﾀｶﾊﾞｼ,1350005,13
辰巳,ﾀﾂﾐ,1350053,13
中央防波堤,ﾁｭｳｵｳﾎﾞｳﾊﾃｲ,1350065,13
東陽,ﾄｳﾖｳ,1350016,13
常盤,ﾄｷﾜ,1350006,13
富岡,ﾄﾐｵｶ,1350047,13
豊洲,ﾄﾖｽ,1350061,13
豊洲豊洲センタービル,ﾄﾖｽﾄﾖｽｾﾝﾀｰﾋﾞﾙ,1356090,13
豊洲豊洲センタービル　１階,ﾄﾖｽﾄﾖｽｾﾝﾀｰﾋﾞﾙ1ｶｲ,1356001,13
豊洲豊洲センタービル　２階,ﾄﾖｽﾄﾖｽｾﾝﾀｰﾋﾞﾙ2ｶｲ,1356002,13
豊洲豊洲センタービル　３階,ﾄﾖｽﾄﾖｽｾﾝﾀｰﾋﾞﾙ3ｶｲ,1356003,13
豊洲豊洲センタービル　４階,ﾄﾖｽﾄﾖｽｾﾝﾀｰﾋﾞﾙ4ｶｲ,1356004,13
豊洲豊洲センタービル　５階,ﾄﾖｽﾄﾖｽｾﾝﾀｰﾋﾞﾙ5ｶｲ,1356005,13
豊洲豊洲センタービル　６階,ﾄﾖｽﾄﾖｽｾﾝﾀｰﾋﾞﾙ6ｶｲ,1356006,13
豊洲豊洲センタービル　７階,ﾄﾖｽﾄﾖｽｾﾝﾀｰﾋﾞﾙ7ｶｲ,1356007,13
豊洲豊洲センタービル　８階,ﾄﾖｽﾄﾖｽｾﾝﾀｰﾋﾞﾙ8ｶｲ,1356008,13
豊洲豊洲センタービル　９階,ﾄﾖｽﾄﾖｽｾﾝﾀｰﾋﾞﾙ9ｶｲ,1356009,13
豊洲豊洲センタービル　１０階,ﾄﾖｽﾄﾖｽｾﾝﾀｰﾋﾞﾙ10ｶｲ,1356010,13
豊洲豊洲センタービル　１１階,ﾄﾖｽﾄﾖｽｾﾝﾀｰﾋﾞﾙ11ｶｲ,1356011,13
豊洲豊洲センタービル　１２階,ﾄﾖｽﾄﾖｽｾﾝﾀｰﾋﾞﾙ12ｶｲ,1356012,13
豊洲豊洲センタービル　１３階,ﾄﾖｽﾄﾖｽｾﾝﾀｰﾋﾞﾙ13ｶｲ,1356013,13
豊洲豊洲センタービル　１４階,ﾄﾖｽﾄﾖｽｾﾝﾀｰﾋﾞﾙ14ｶｲ,1356014,13
豊洲豊洲センタービル　１５階,ﾄﾖｽﾄﾖｽｾﾝﾀｰﾋﾞﾙ15ｶｲ,1356015,13
豊洲豊洲センタービル　１６階,ﾄﾖｽﾄﾖｽｾﾝﾀｰﾋﾞﾙ16ｶｲ,1356016,13
豊洲豊洲センタービル　１７階,ﾄﾖｽﾄﾖｽｾﾝﾀｰﾋﾞﾙ17ｶｲ,1356017,13
豊洲豊洲センタービル　１８階,ﾄﾖｽﾄﾖｽｾﾝﾀｰﾋﾞﾙ18ｶｲ,1356018,13
豊洲豊洲センタービル　１９階,ﾄﾖｽﾄﾖｽｾﾝﾀｰﾋﾞﾙ19ｶｲ,1356019,13
豊洲豊洲センタービル　２０階,ﾄﾖｽﾄﾖｽｾﾝﾀｰﾋﾞﾙ20ｶｲ,1356020,13
豊洲豊洲センタービル　２１階,ﾄﾖｽﾄﾖｽｾﾝﾀｰﾋﾞﾙ21ｶｲ,1356021,13
