another_name,another_name_kana,post_id,prefecture_id
,,0000000,21
相生町,ｱｲｵｲﾏﾁ,5060014,21
赤保木町,ｱｶﾎｷﾏﾁ,5060045,21
曙町,ｱｹﾎﾞﾉﾏﾁ,5060806,21
旭ケ丘町,ｱｻﾋｶﾞｵｶﾏﾁ,5060042,21
朝日町青屋,ｱｻﾋﾁｮｳｱｵﾔ,5093301,21
朝日町上ケ見,ｱｻﾋﾁｮｳｱｹﾞﾐ,5093324,21
朝日町浅井,ｱｻﾋﾁｮｳｱｻｲ,5093303,21
朝日町一之宿,ｱｻﾋﾁｮｳｲﾁﾉｼｭｸ,5093311,21
朝日町大廣,ｱｻﾋﾁｮｳｵｵﾋﾛ,5093322,21
朝日町甲,ｱｻﾋﾁｮｳｶﾌﾞﾄ,5093326,21
朝日町黍生谷,ｱｻﾋﾁｮｳｷﾋﾞｭｳﾀﾞﾆ,5093316,21
朝日町胡桃島,ｱｻﾋﾁｮｳｸﾙﾐｼﾏ,5093313,21
朝日町黒川,ｱｻﾋﾁｮｳｸﾛｶﾜ,5093321,21
朝日町桑之島,ｱｻﾋﾁｮｳｸﾜﾉｼﾏ,5093312,21
朝日町小瀬,ｱｻﾋﾁｮｳｺｾ,5093305,21
朝日町小瀬ケ洞,ｱｻﾋﾁｮｳｺｾｶﾞﾎﾗ,5093317,21
朝日町小谷,ｱｻﾋﾁｮｳｺﾀﾞﾆ,5093327,21
朝日町立岩,ｱｻﾋﾁｮｳﾀﾃｲﾜ,5093304,21
朝日町寺澤,ｱｻﾋﾁｮｳﾃﾗｻﾞﾜ,5093323,21
朝日町寺附,ｱｻﾋﾁｮｳﾃﾗﾂﾞｷ,5093302,21
朝日町西洞,ｱｻﾋﾁｮｳﾆｼﾎﾞﾗ,5093314,21
朝日町西洞スズラン高原,ｱｻﾋﾁｮｳﾆｼﾎﾞﾗｽｽﾞﾗﾝｺｳｹﾞﾝ,5093314,21
朝日町万石,ｱｻﾋﾁｮｳﾏﾝｺﾞｸ,5093325,21
朝日町見座,ｱｻﾋﾁｮｳﾐｻﾞ,5093306,21
朝日町宮之前,ｱｻﾋﾁｮｳﾐﾔﾉﾏｴ,5093315,21
朝日町,ｱｻﾋﾏﾁ,5060017,21
愛宕町,ｱﾀｺﾞﾏﾁ,5060855,21
石浦町,ｲｼｳﾗﾏﾁ,5060825,21
一之宮町,ｲﾁﾉﾐﾔﾏﾁ,5093505,21
岩井町,ｲﾜｲﾏﾁ,5060815,21
有楽町,ｳﾗﾏﾁ,5060013,21
漆垣内町,ｳﾙｼｶﾞｲﾄｳﾏﾁ,5060812,21
上野町,ｳﾜﾉﾏﾁ,5060801,21
越後町,ｴﾁｺﾞﾏﾁ,5060033,21
江名子町,ｴﾅｺﾏﾁ,5060818,21
大新町,ｵｵｼﾝﾏﾁ,5060851,21
大島町,ｵｵｼﾞﾏﾏﾁ,5060816,21
大洞町,ｵｵﾎﾞﾗﾏﾁ,5060811,21
岡本町,ｵｶﾓﾄﾏﾁ,5060054,21
奥飛騨温泉郷赤桶,ｵｸﾋﾀﾞｵﾝｾﾝｺﾞｳｱｶｵｹ,5061429,21
奥飛騨温泉郷今見,ｵｸﾋﾀﾞｵﾝｾﾝｺﾞｳｲﾏﾐ,5061425,21
奥飛騨温泉郷柏当,ｵｸﾋﾀﾞｵﾝｾﾝｺﾞｳｶｼｱﾃ,5061424,21
奥飛騨温泉郷神坂,ｵｸﾋﾀﾞｵﾝｾﾝｺﾞｳｶﾝｻｶ,5061421,21
奥飛騨温泉郷神坂新穂高,ｵｸﾋﾀﾞｵﾝｾﾝｺﾞｳｶﾝｻｶｼﾝﾎﾀﾞｶ,5061421,21
奥飛騨温泉郷笹嶋,ｵｸﾋﾀﾞｵﾝｾﾝｺﾞｳｻｻｼﾞﾏ,5061428,21
奥飛騨温泉郷田頃家,ｵｸﾋﾀﾞｵﾝｾﾝｺﾞｳﾀｺﾞﾛｹ,5061427,21
奥飛騨温泉郷蓼之俣,ｵｸﾋﾀﾞｵﾝｾﾝｺﾞｳﾀﾃﾉﾏﾀ,5061426,21
奥飛騨温泉郷栃尾,ｵｸﾋﾀﾞｵﾝｾﾝｺﾞｳﾄﾁｵ,5061423,21
奥飛騨温泉郷中尾,ｵｸﾋﾀﾞｵﾝｾﾝｺﾞｳﾅｶｵ,5061422,21
奥飛騨温泉郷一重ケ根,ｵｸﾋﾀﾞｵﾝｾﾝｺﾞｳﾋﾄｴｶﾞﾈ,5061432,21
奥飛騨温泉郷平湯,ｵｸﾋﾀﾞｵﾝｾﾝｺﾞｳﾋﾗﾕ,5061433,21
奥飛騨温泉郷福地,ｵｸﾋﾀﾞｵﾝｾﾝｺﾞｳﾌｸｼﾞ,5061434,21
奥飛騨温泉郷村上,ｵｸﾋﾀﾞｵﾝｾﾝｺﾞｳﾑﾗｶﾐ,5061431,21
春日町,ｶｽｶﾞﾏﾁ,5060835,21
片野町,ｶﾀﾉﾏﾁ,5060824,21
片原町,ｶﾀﾊﾗﾏﾁ,5060847,21
上一之町,ｶﾐ1ﾉﾏﾁ,5060844,21
上二之町,ｶﾐ2ﾉﾏﾁ,5060845,21
上三之町,ｶﾐ3ﾉﾏﾁ,5060846,21
上岡本町,ｶﾐｵｶﾓﾄﾏﾁ,5060055,21
上川原町,ｶﾐｶﾜﾊﾗﾏﾁ,5060024,21
上切町,ｶﾐｷﾞﾘﾏﾁ,5060044,21
上宝町新田,ｶﾐﾀｶﾗﾁｮｳｱﾗﾀ,5061312,21
上宝町荒原,ｶﾐﾀｶﾗﾁｮｳｱﾗﾊﾗ,5061315,21
上宝町岩井戸,ｶﾐﾀｶﾗﾁｮｳｲﾜｲﾄﾞ,5061303,21
上宝町芋生茂,ｶﾐﾀｶﾗﾁｮｳｵｲﾓ,5061318,21
上宝町金木戸,ｶﾐﾀｶﾗﾁｮｳｶﾅｷﾄﾞ,5061308,21
上宝町葛山,ｶﾐﾀｶﾗﾁｮｳｸｽﾞﾔﾏ,5061301,21
上宝町蔵柱,ｶﾐﾀｶﾗﾁｮｳｸﾗﾊﾞｼﾗ,5061314,21
上宝町在家,ｶﾐﾀｶﾗﾁｮｳｻﾞｲｹ,5061313,21
上宝町下佐谷,ｶﾐﾀｶﾗﾁｮｳｼﾓｻﾀﾞﾆ,5061319,21
上宝町双六,ｶﾐﾀｶﾗﾁｮｳｽｺﾞﾛｸ,5061307,21
上宝町長倉,ｶﾐﾀｶﾗﾁｮｳﾅｶﾞｸﾗ,5061302,21
上宝町中山,ｶﾐﾀｶﾗﾁｮｳﾅｶﾔﾏ,5061305,21
上宝町鼠餅,ｶﾐﾀｶﾗﾁｮｳﾈｽﾞﾓﾁ,5061311,21
