another_name,another_name_kana,post_id,prefecture_id
,,0000000,8
相川,ｱｲｶﾜ,3193534,8
浅川,ｱｻｶﾜ,3193541,8
芦野倉,ｱｼﾉｸﾗ,3193538,8
池田,ｲｹﾀﾞ,3193551,8
内大野,ｳﾁｵｵﾉ,3193515,8
上岡,ｳﾜｵｶ,3193531,8
大沢,ｵｵｻﾜ,3193366,8
大生瀬,ｵｵﾅﾏｾ,3193513,8
上金沢,ｶﾐｶﾈｻﾜ,3193535,8
上郷,ｶﾐｺﾞｳ,3193703,8
上野宮,ｶﾐﾉﾐﾔ,3193704,8
川山,ｶﾜﾔﾏ,3193556,8
北田気,ｷﾀﾀｹﾞ,3193521,8
北富田,ｷﾀﾄﾐﾀ,3193363,8
北吉沢,ｷﾀﾖｼｻﾞﾜ,3193701,8
久野瀬,ｸﾉｾ,3193522,8
小生瀬,ｺﾅﾏｾ,3193512,8
頃藤,ｺﾛﾌｼﾞ,3193361,8
西金,ｻｲｶﾞﾈ,3193362,8
左貫,ｻﾇｷ,3193543,8
下金沢,ｼﾓｶﾈｻﾜ,3193533,8
下津原,ｼﾓﾂﾊﾗ,3193524,8
下野宮,ｼﾓﾉﾐﾔ,3193555,8
外大野,ｿﾄｵｵﾉ,3193514,8
大子,ﾀﾞｲｺﾞ,3193526,8
高柴,ﾀｶｼﾊﾞ,3193511,8
高田,ﾀｶﾀﾞ,3193554,8
田野沢,ﾀﾉｻﾜ,3193536,8
栃原,ﾄﾁﾊﾗ,3193365,8
中郷,ﾅｶｺﾞｳ,3193705,8
初原,ﾊﾂﾊﾞﾗ,3193542,8
塙,ﾊﾅﾜ,3193537,8
袋田,ﾌｸﾛﾀﾞ,3193523,8
槇野地,ﾏｷﾞﾉﾁ,3193544,8
町付,ﾏﾁﾂｷ,3193702,8
南田気,ﾐﾅﾐﾀｹﾞ,3193525,8
冥賀,ﾐｮｳｶﾞ,3193553,8
盛金,ﾓﾘｶﾞﾈ,3193364,8
矢田,ﾔﾀﾞ,3193552,8
山田,ﾔﾏﾀﾞ,3193532,8
