another_name,another_name_kana,post_id,prefecture_id
,,0000000,11
青毛,ｱｵｹﾞ,3460011,11
青葉,ｱｵﾊﾞ,3460013,11
新井,ｱﾗｲ,3491115,11
伊坂,ｲｻｶ,3491121,11
上内,ｳｴｳﾁ,3400211,11
江面,ｴﾂﾞﾗ,3460029,11
太田袋,ｵｵﾀﾌﾞｸﾛ,3460023,11
上川崎,ｶﾐｶﾜｻｷ,3400204,11
上清久,ｶﾐｷﾖｸ,3460038,11
上早見,ｶﾐﾊﾔﾐ,3460021,11
上町,ｶﾐﾏﾁ,3460006,11
河原井町,ｶﾜﾗｲﾁｮｳ,3460028,11
河原代,ｶﾜﾗﾀﾞｲ,3491114,11
北青柳,ｷﾀｱｵﾔｷﾞ,3460024,11
北中曽根,ｷﾀﾅｶｿﾈ,3460036,11
北広島,ｷﾀﾋﾛｼﾏ,3491111,11
狐塚,ｷﾂﾈﾂﾞｶ,3491113,11
久本寺,ｷｭｳﾎﾝｼﾞ,3400212,11
清久町,ｷﾖｸﾁｮｳ,3460035,11
久喜北,ｸｷｷﾀ,3460007,11
久喜新,ｸｷｼﾝ,3460032,11
久喜中央,ｸｷﾁｭｳｵｳ,3460003,11
久喜東,ｸｷﾋｶﾞｼ,3460016,11
久喜本,ｸｷﾎﾝ,3460031,11
葛梅,ｸｽﾞﾒ,3400214,11
栗橋,ｸﾘﾊｼ,3491104,11
栗橋北,ｸﾘﾊｼｷﾀ,3491101,11
栗橋中央,ｸﾘﾊｼﾁｭｳｵｳ,3491102,11
栗橋東,ｸﾘﾊｼﾋｶﾞｼ,3491103,11
栗原,ｸﾘﾊﾗ,3460012,11
小右衛門,ｺｴﾓﾝ,3491105,11
古久喜,ｺｸﾞｷ,3460001,11
栄,ｻｶｴ,3400215,11
桜田,ｻｸﾗﾀﾞ,3400203,11
佐間,ｻﾏ,3491124,11
島川,ｼﾏｶﾞﾜ,3491116,11
下清久,ｼﾓｷﾖｸ,3460033,11
下早見,ｼﾓﾊﾔﾐ,3460022,11
菖蒲町小林,ｼｮｳﾌﾞﾁｮｳｵﾊﾞﾔｼ,3460115,11
菖蒲町上大崎,ｼｮｳﾌﾞﾁｮｳｶﾐｵｵｻｷ,3460111,11
菖蒲町上栢間,ｼｮｳﾌﾞﾁｮｳｶﾐｶﾔﾏ,3460114,11
菖蒲町河原井,ｼｮｳﾌﾞﾁｮｳｶﾜﾊﾗｲ,3460102,11
菖蒲町三箇,ｼｮｳﾌﾞﾁｮｳｻﾝｶﾞ,3460104,11
菖蒲町柴山枝郷,ｼｮｳﾌﾞﾁｮｳｼﾊﾞﾔﾏｼｺﾞｳ,3460112,11
菖蒲町下栢間,ｼｮｳﾌﾞﾁｮｳｼﾓｶﾔﾏ,3460113,11
菖蒲町菖蒲,ｼｮｳﾌﾞﾁｮｳｼｮｳﾌﾞ,3460106,11
菖蒲町昭和沼,ｼｮｳﾌﾞﾁｮｳｼｮｳﾜﾇﾏ,3460101,11
菖蒲町台,ｼｮｳﾌﾞﾁｮｳﾀﾞｲ,3460103,11
菖蒲町新堀,ｼｮｳﾌﾞﾁｮｳﾆｲﾎﾞﾘ,3460105,11
砂原,ｽﾅﾊﾗ,3400218,11
外野,ｿﾄﾉ,3400205,11
高柳,ﾀｶﾔﾅｷﾞ,3491125,11
所久喜,ﾄｺﾛｸﾞｷ,3460034,11
中里,ﾅｶｻﾞﾄ,3491112,11
中妻,ﾅｶﾂﾞﾏ,3400213,11
西,ﾆｼ,3460015,11
西大輪,ﾆｼｵｵﾜ,3400206,11
野久喜,ﾉｸﾞｷ,3460002,11
八甫,ﾊｯﾎﾟｳ,3400201,11
原,ﾊﾗ,3460026,11
東大輪,ﾋｶﾞｼｵｵﾜ,3400202,11
樋ノ口,ﾋﾉｸﾁ,3460025,11
本町,ﾎﾝﾁｮｳ,3460005,11
間鎌,ﾏｶﾞﾏ,3491123,11
松永,ﾏﾂﾅｶﾞ,3491122,11
緑,ﾐﾄﾞﾘ,3491106,11
南,ﾐﾅﾐ,3460004,11
南栗橋,ﾐﾅﾐｸﾘﾊｼ,3491117,11
除堀,ﾖｹﾎﾞﾘ,3460027,11
吉羽,ﾖｼﾊﾞ,3460014,11
六万部,ﾛｸﾏﾝﾌﾞ,3460037,11
鷲宮,ﾜｼﾉﾐﾔ,3400217,11
鷲宮中央,ﾜｼﾉﾐﾔﾁｭｳｵｳ,3400216,11
