another_name,another_name_kana,post_id,prefecture_id
,,0000000,11
相上,ｱｲｱｹﾞ,3690106,11
赤城町,ｱｶｷﾞﾁｮｳ,3600826,11
曙町,ｱｹﾎﾞﾉﾁｮｳ,3600033,11
飯塚,ｲｲﾂﾞｶ,3600231,11
池上,ｲｹｶﾞﾐ,3600011,11
石原,ｲｼﾊﾗ,3600816,11
伊勢町,ｲｾﾁｮｳ,3600821,11
板井,ｲﾀｲ,3600105,11
市ノ坪,ｲﾁﾉﾂﾎﾞ,3600236,11
今井,ｲﾏｲ,3600005,11
江波,ｴﾅﾐ,3600212,11
榎町,ｴﾉｷﾁｮｳ,3600823,11
円光,ｴﾝｺｳ,3600813,11
小江川,ｵｴｶﾞﾜ,3600103,11
大麻生,ｵｵｱｿｳ,3600835,11
太井,ｵｵｲ,3600025,11
大塚,ｵｵﾂｶ,3600002,11
大野,ｵｵﾉ,3600221,11
大原,ｵｵﾊﾗ,3600812,11
押切,ｵｼｷﾘ,3600111,11
小曽根,ｵｿﾞﾈ,3600017,11
男沼,ｵﾇﾏ,3600242,11
柿沼,ｶｷﾇﾏ,3600803,11
籠原南,ｶｺﾞﾊﾗﾐﾅﾐ,3600847,11
冑山,ｶﾌﾞﾄﾔﾏ,3690104,11
鎌倉町,ｶﾏｸﾗﾁｮｳ,3600046,11
上江袋,ｶﾐｴﾌﾞｸﾛ,3600234,11
上恩田,ｶﾐｵﾝﾀﾞ,3600125,11
上川上,ｶﾐｶﾜｶﾐ,3600004,11
上新田,ｶﾐｼﾝﾃﾞﾝ,3600117,11
上須戸,ｶﾐｽﾄﾞ,3600213,11
上中条,ｶﾐﾁｭｳｼﾞｮｳ,3600001,11
上奈良,ｶﾐﾅﾗ,3600805,11
上根,ｶﾐﾈ,3600217,11
上之,ｶﾐﾉ,3600012,11
川原明戸,ｶﾜﾊﾗｱｹﾄ,3600837,11
河原町,ｶﾜﾗﾁｮｳ,3600035,11
吉所敷,ｷｼｮｼｷ,3600136,11
銀座,ｷﾞﾝｻﾞ,3600032,11
久下,ｸｹﾞ,3600026,11
葛和田,ｸｽﾞﾜﾀﾞ,3600222,11
屈戸,ｸｯﾄ,3600131,11
久保島,ｸﾎﾞｼﾞﾏ,3600831,11
熊谷,ｸﾏｶﾞﾔ,3600016,11
小泉,ｺｲｽﾞﾐ,3600122,11
肥塚,ｺｲﾂﾞｶ,3600015,11
江南中央,ｺｳﾅﾝﾁｭｳｵｳ,3600114,11
小島,ｺｼﾞﾏ,3600832,11
小八林,ｺﾔﾂﾊﾞﾔｼ,3690103,11
桜木町,ｻｸﾗｷﾞﾁｮｳ,3600036,11
桜町,ｻｸﾗﾁｮｳ,3600814,11
佐谷田,ｻﾔﾀﾞ,3600023,11
塩,ｼｵ,3600104,11
柴,ｼﾊﾞ,3600106,11
四方寺,ｼﾎｳｼﾞ,3600006,11
下恩田,ｼﾓｵﾝﾀﾞ,3600123,11
下川上,ｼﾓｶﾜｶﾐ,3600003,11
下奈良,ｼﾓﾅﾗ,3600802,11
下増田,ｼﾓﾏｽﾀﾞ,3600851,11
拾六間,ｼﾞｭｳﾛｯｹﾝ,3600846,11
新川,ｼﾝｶﾜ,3600027,11
末広,ｽｴﾋﾛ,3600031,11
須賀広,ｽｶﾞﾋﾛ,3600102,11
瀬南,ｾﾅﾐ,3600834,11
善ケ島,ｾﾞﾝｶﾞｼﾏ,3600211,11
千代,ｾﾝﾀﾞｲ,3600107,11
代,ﾀﾞｲ,3600804,11
高本,ﾀｶﾓﾄ,3600134,11
高柳,ﾀｶﾔﾅｷﾞ,3600855,11
田島,ﾀｼﾞﾏ,3600215,11
玉井,ﾀﾏｲ,3600853,11
玉井南,ﾀﾏｲﾐﾅﾐ,3600854,11
玉作,ﾀﾏﾂｸﾘ,3690102,11
俵瀬,ﾀﾜﾗｾ,3600223,11
中央,ﾁｭｳｵｳ,3600018,11
月見町,ﾂｷﾐﾁｮｳ,3600825,11
筑波,ﾂｸﾊﾞ,3600037,11
津田,ﾂﾀﾞ,3690101,11
津田新田,ﾂﾀﾞｼﾝﾃﾞﾝ,3600132,11
出来島,ﾃﾞｷｼﾞﾏ,3600244,11
手島,ﾃｼﾏ,3600121,11
道ケ谷戸,ﾄﾞｳｶﾞﾔﾄ,3600232,11
戸出,ﾄﾃﾞ,3600022,11
問屋町,ﾄﾝﾔﾁｮｳ,3600024,11
永井太田,ﾅｶﾞｲｵｵﾀ,3600237,11
中恩田,ﾅｶｵﾝﾀﾞ,3600124,11
中曽根,ﾅｶｿﾞﾈ,3600133,11
仲町,ﾅｶﾁｮｳ,3600047,11
中奈良,ﾅｶﾅﾗ,3600801,11
中西,ﾅｶﾆｼ,3600013,11
奈良新田,ﾅﾗｼﾝﾃﾞﾝ,3600806,11
成沢,ﾅﾘｻﾜ,3600115,11
